Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012148357	3985.44285	3985.44285	3985.44285	3985.44285	0	0	0	0	0	0	3
2	4	0	0.024296714	424.977681	2205.21027	424.977681	3985.44285	1780.23259	0	0	0	0	0	3
3	5	0	0.036445071	124.321648	1511.58073	124.321648	3985.44285	2473.86213	0	0	0	0	0	3
4	5	0	0.0485934281	83.7735748	1154.62894	83.7735748	3985.44285	2830.81391	0	0	0	0	0	3
5	6	0	0.0607417851	92.3698804	942.177127	83.7735748	3985.44285	3043.26573	0	0	0	0	0	3
6	7	0	0.0728901421	80.8122021	798.616306	80.8122021	3985.44285	3186.82655	0	0	0	0	0	3
7	8	0	0.0850384991	81.7644246	696.208895	80.8122021	3985.44285	3289.23396	0	0	0	0	0	3
8	8	0	0.0971868561	76.2569651	618.714904	76.2569651	3985.44285	3366.72795	0	0	0	0	0	3
9	9	0	0.109335213	82.0756142	559.088316	76.2569651	3985.44285	3426.35454	0	0	0	0	0	3
10	10	0	0.12148357	77.6388308	510.943367	76.2569651	3985.44285	3474.49949	0	0	0	0	0	3
11	10	0	0.133631927	77.5479463	471.543784	76.2569651	3985.44285	3513.89907	0	0	0	0	0	3
12	11	0	0.145780284	73.8190865	438.400059	73.8190865	3985.44285	3547.04279	0	0	0	0	0	3
13	12	0	0.157928641	72.9395388	410.287711	72.9395388	3985.44285	3575.15514	0	0	0	0	0	3
14	12	0	0.170076998	77.4686204	386.514919	72.9395388	3985.44285	3598.92793	0	0	0	0	0	3
15	13	0	0.182225355	74.698975	365.727189	72.9395388	3985.44285	3619.71566	0	0	0	0	0	3
16	14	0	0.194373712	67.5632425	347.091943	67.5632425	3985.44285	3638.35091	0	0	0	0	0	3
17	15	0	0.206522069	72.1769058	330.92047	67.5632425	3985.44285	3654.52238	0	0	0	0	0	3
18	15	0	0.218670426	67.7492438	316.299846	67.5632425	3985.44285	3669.14301	0	0	0	0	0	3
19	16	0	0.230818783	66.4793893	303.151401	66.4793893	3985.44285	3682.29145	0	0	0	0	0	3
20	17	0	0.24296714	67.1987504	291.353769	66.4793893	3985.44285	3694.08908	0	0	0	0	0	3
21	17	0	0.255115497	65.7915363	280.61271	65.7915363	3985.44285	3704.83014	0	0	0	0	0	3
22	18	0	0.267263854	70.2024961	271.048609	65.7915363	3985.44285	3714.39424	0	0	0	0	0	3
23	19	0	0.279412211	68.754128	262.253197	65.7915363	3985.44285	3723.18966	0	0	0	0	0	3
24	20	0	0.291560568	70.4132017	254.259864	65.7915363	3985.44285	3731.18299	0	0	0	0	0	3
25	20	0	0.303708925	69.5257952	246.870501	65.7915363	3985.44285	3738.57235	0	0	0	0	0	3
26	21	0	0.315857282	69.7158647	240.056861	65.7915363	3985.44285	3745.38599	0	0	0	0	0	3
27	22	0	0.328005639	68.8361977	233.715355	65.7915363	3985.44285	3751.7275	0	0	0	0	0	3
28	23	0	0.340153996	69.3854935	227.846432	65.7915363	3985.44285	3757.59642	0	0	0	0	0	3
29	23	0	0.352302353	68.7459298	222.360207	65.7915363	3985.44285	3763.08265	0	0	0	0	0	3
30	24	0	0.36445071	68.6243778	217.23568	65.7915363	3985.44285	3768.20717	0	0	0	0	0	3
31	25	0	0.376599067	67.7870681	212.414757	65.7915363	3985.44285	3773.0281	0	0	0	0	0	3
32	26	0	0.388747425	67.600548	207.889313	65.7915363	3985.44285	3777.55354	0	0	0	0	0	3
33	26	0	0.400895782	66.8430145	203.615183	65.7915363	3985.44285	3781.82767	0	0	0	0	0	3
34	27	0	0.413044139	66.8401858	199.592389	65.7915363	3985.44285	3785.85046	0	0	0	0	0	3
35	28	0	0.425192496	66.3431977	195.785269	65.7915363	3985.44285	3789.65758	0	0	0	0	0	3
36	29	0	0.437340853	66.4255738	192.191944	65.7915363	3985.44285	3793.25091	0	0	0	0	0	3
37	29	0	0.44948921	66.423127	188.792787	65.7915363	3985.44285	3796.65007	0	0	0	0	0	3
38	30	0	0.461637567	66.6783432	185.579249	65.7915363	3985.44285	3799.8636	0	0	0	0	0	3
39	31	0	0.473785924	66.3520589	182.522141	65.7915363	3985.44285	3802.92071	0	0	0	0	0	3
40	32	0	0.485934281	65.980063	179.608589	65.7915363	3985.44285	3805.83426	0	0	0	0	0	3
41	33	0	0.498082638	65.5780776	176.827357	65.5780776	3985.44285	3808.6155	0	0	0	0	0	3
42	34	0	0.510230995	65.4371685	174.17521	65.4371685	3985.44285	3811.26764	0	0	0	0	0	3
43	35	0	0.522379352	65.58615	80.8452885	65.4371685	424.977681	359.540512	0	0	0	0	0	3
44	35	0	0.534527709	65.9265744	72.2964526	65.4371685	124.321648	58.8844794	0	0	0	0	0	3
45	36	0	0.546676066	65.8322135	70.903847	65.4371685	92.3698804	26.932712	0	0	0	0	0	3
46	37	0	0.558824423	66.0414094	70.4816526	65.4371685	92.3698804	26.932712	0	0	0	0	0	3
47	38	0	0.57097278	65.9593762	69.8528311	65.4371685	82.0756142	16.6384457	0	0	0	0	0	3
48	39	0	0.583121137	66.1205128	69.503029	65.4371685	82.0756142	16.6384457	0	0	0	0	0	3
49	39	0	0.595269494	65.9858298	69.1273481	65.4371685	82.0756142	16.6384457	0	0	0	0	0	3
50	40	0	0.607417851	66.126977	68.8861579	65.4371685	82.0756142	16.6384457	0	0	0	0	0	3
51	41	0	0.619566208	66.0910909	68.5055741	65.4371685	77.6388308	12.2016623	0	0	0	0	0	3
52	42	0	0.631714565	66.0904091	68.2306116	65.4371685	77.5479463	12.1107779	0	0	0	0	0	3
53	43	0	0.643862922	66.1513572	67.9592643	65.4371685	77.4686204	12.0314519	0	0	0	0	0	3
54	43	0	0.656011279	65.9350424	67.7715489	65.4371685	77.4686204	12.0314519	0	0	0	0	0	3
55	44	0	0.668159636	65.760388	67.6006168	65.4371685	77.4686204	12.0314519	0	0	0	0	0	3
56	45	0	0.680307993	65.5576216	67.3170216	65.4371685	74.698975	9.26180654	0	0	0	0	0	3
57	46	0	0.69245635	65.3780006	67.0950936	65.3780006	72.1769058	6.79890523	0	0	0	0	0	3
58	46	0	0.704604707	65.4488821	67.0447517	65.3780006	72.1769058	6.79890523	0	0	0	0	0	3
59	47	0	0.716753064	65.5316918	66.8865323	65.3780006	70.4132017	5.03520108	0	0	0	0	0	3
60	48	0	0.728901421	65.6657197	66.8369246	65.3780006	70.4132017	5.03520108	0	0	0	0	0	3
61	49	0	0.741049778	65.4012472	66.8112545	65.3780006	70.4132017	5.03520108	0	0	0	0	0	3
62	50	0	0.753198135	65.4729196	66.7701633	65.3780006	70.4132017	5.03520108	0	0	0	0	0	3
63	50	0	0.765346492	65.5234519	66.7637804	65.3780006	70.4132017	5.03520108	0	0	0	0	0	3
64	51	0	0.777494849	65.6814497	66.6561364	65.3780006	70.4132017	5.03520108	0	0	0	0	0	3
65	52	0	0.789643206	65.4209208	66.5767743	65.3780006	70.4132017	5.03520108	0	0	0	0	0	3
66	53	0	0.801791563	65.6922498	66.4643707	65.3780006	69.7158647	4.33786406	0	0	0	0	0	3
67	53	0	0.81393992	65.5662781	66.3700965	65.3780006	69.7158647	4.33786406	0	0	0	0	0	3
68	54	0	0.826088277	65.6901482	66.2742461	65.3780006	69.3854935	4.00749291	0	0	0	0	0	3
69	55	0	0.838236634	65.5179997	66.1952414	65.3780006	69.3854935	4.00749291	0	0	0	0	0	3
70	56	0	0.850384991	65.4900871	66.1024936	65.3780006	68.7459298	3.36792918	0	0	0	0	0	3
71	57	0	0.862533348	65.3145324	66.0207937	65.3145324	68.6243778	3.30984532	0	0	0	0	0	3
72	57	0	0.874681705	65.4924825	65.9462247	65.3145324	67.7870681	2.47253567	0	0	0	0	0	3
73	58	0	0.886830062	65.3368318	65.8878858	65.3145324	67.600548	2.2860156	0	0	0	0	0	3
74	59	0	0.898978419	65.3505236	65.8343138	65.3145324	66.8430145	1.52848203	0	0	0	0	0	3
75	60	0	0.911126776	65.3725594	65.7993029	65.3145324	66.8401858	1.52565333	0	0	0	0	0	3
76	60	0	0.923275133	65.7474401	65.7732852	65.3145324	66.6783432	1.36381073	0	0	0	0	0	3
77	61	0	0.93542349	65.6761021	65.757402	65.3145324	66.6783432	1.36381073	0	0	0	0	0	3
78	62	0	0.947571847	65.9414001	65.745874	65.3145324	66.6783432	1.36381073	0	0	0	0	0	3
79	63	0	0.959720204	65.8355953	65.7318852	65.3145324	66.6783432	1.36381073	0	0	0	0	0	3
80	63	0	0.971868561	66.0091616	65.7159523	65.3145324	66.3520589	1.03752648	0	0	0	0	0	3
81	64	0	0.984016918	66.0851767	65.7095979	65.3145324	66.1513572	0.836824733	0	0	0	0	0	3
82	65	0	0.996165275	66.1461854	65.7135532	65.3145324	66.1513572	0.836824733	0	0	0	0	0	3
83	66	0	1.00831363	65.9838419	65.7232143	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
84	66	0	1.02046199	65.8701131	65.7335225	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
85	67	0	1.03261035	65.5906626	65.7336299	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
86	68	0	1.0447587	65.8736864	65.7323707	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
87	69	0	1.05690706	65.6887231	65.7289542	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
88	69	0	1.06905542	65.7342174	65.7216402	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
89	70	0	1.08120377	65.3914032	65.708117	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
90	71	0	1.09335213	65.5261125	65.6939646	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
91	72	0	1.10550049	65.6568936	65.6861328	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
92	72	0	1.11764885	65.7777989	65.677819	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
93	73	0	1.1297972	65.667202	65.6677264	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
94	74	0	1.14194556	65.9217164	65.6637099	65.3145324	66.1513572	0.836824733	1.77021346	0	100	0	0	3
95	75	0	1.15409392	65.875482	65.6571415	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
96	75	0	1.16624227	65.9091785	65.6565257	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
97	76	0	1.17839063	65.4672569	65.6495464	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
98	77	0	1.19053899	65.4821892	65.6477504	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
99	77	0	1.20268734	65.3785248	65.6477628	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
100	78	0	1.2148357	65.5419605	65.649979	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
101	79	0	1.22698406	65.3781673	65.6463236	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
102	80	0	1.23913242	65.7029002	65.6472089	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
103	81	0	1.25128077	65.8174057	65.6571174	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
104	82	0	1.26342913	66.0279588	65.6703326	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
105	82	0	1.27557749	66.0029745	65.6817499	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
106	83	0	1.28772584	65.9654818	65.6885125	65.3145324	66.1461854	0.831653004	1.77021346	0	100	0	0	3
107	84	0	1.2998742	65.8760626	65.6993492	65.3145324	66.1461854	0.81804707	1.77021346	0	100	0	0	3
108	85	0	1.31202256	66.0481672	65.7078235	65.3145324	66.1461854	0.723772854	1.77021346	0	100	0	0	3
109	85	0	1.32417091	65.8935664	65.715616	65.3145324	66.1461854	0.627922461	1.77021346	0	100	0	0	3
110	86	0	1.33631927	65.8828491	65.7202042	65.3145324	66.1461854	0.548917745	1.77021346	0	100	0	0	3
111	87	0	1.34846763	65.7001522	65.7245411	65.3145324	66.1461854	0.456169972	1.77021346	0	100	0	0	3
112	87	0	1.36061599	65.7755505	65.7313379	65.3145324	66.1461854	0.374470035	1.77021346	0	100	0	0	3
113	88	0	1.37276434	65.5300939	65.7364703	65.3368318	66.1461854	0.2999011	1.77021346	0	100	0	0	3
