Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012148357	-5429.1238	-5429.1238	-5429.1238	-5429.1238	0	0	0	0	0	0	3
2	4	0	0.024296714	-1200.54261	-3314.83321	-5429.1238	-1200.54261	2114.2906	0	0	0	0	0	3
3	5	0	0.036445071	-398.343454	-2342.66996	-5429.1238	-398.343454	3086.45385	0	0	0	0	0	3
4	5	0	0.0485934281	-351.011082	-1844.75524	-5429.1238	-351.011082	3584.36857	0	0	0	0	0	3
5	6	0	0.0607417851	-312.615528	-1538.3273	-5429.1238	-312.615528	3890.79651	0	0	0	0	0	3
6	7	0	0.0728901421	-312.107245	-1333.95729	-5429.1238	-312.107245	4095.16652	0	0	0	0	0	3
7	8	0	0.0850384991	-295.167567	-1185.55876	-5429.1238	-295.167567	4243.56505	0	0	0	0	0	3
8	8	0	0.0971868561	-300.489685	-1074.92512	-5429.1238	-295.167567	4354.19868	0	0	0	0	0	3
9	9	0	0.109335213	-265.573272	-984.997139	-5429.1238	-265.573272	4444.12666	0	0	0	0	0	3
10	10	0	0.12148357	-290.672824	-915.564707	-5429.1238	-265.573272	4513.5591	0	0	0	0	0	3
11	10	0	0.133631927	-284.66998	-858.210641	-5429.1238	-265.573272	4570.91316	0	0	0	0	0	3
12	11	0	0.145780284	-306.766832	-812.25699	-5429.1238	-265.573272	4616.86681	0	0	0	0	0	3
13	12	0	0.157928641	-304.67101	-773.211915	-5429.1238	-265.573272	4655.91189	0	0	0	0	0	3
14	12	0	0.170076998	-304.407084	-739.725856	-5429.1238	-265.573272	4689.39795	0	0	0	0	0	3
15	13	0	0.182225355	-307.753968	-710.92773	-5429.1238	-265.573272	4718.19607	0	0	0	0	0	3
16	14	0	0.194373712	-307.976879	-685.743302	-5429.1238	-265.573272	4743.3805	0	0	0	0	0	3
17	15	0	0.206522069	-318.704725	-664.152797	-5429.1238	-265.573272	4764.97101	0	0	0	0	0	3
18	15	0	0.218670426	-315.453115	-644.780593	-5429.1238	-265.573272	4784.34321	0	0	0	0	0	3
19	16	0	0.230818783	-327.467923	-628.079926	-5429.1238	-265.573272	4801.04388	0	0	0	0	0	3
20	17	0	0.24296714	-320.590012	-612.70543	-5429.1238	-265.573272	4816.41837	0	0	0	0	0	3
21	17	0	0.255115497	-328.489262	-599.171327	-5429.1238	-265.573272	4829.95248	0	0	0	0	0	3
22	18	0	0.267263854	-329.079687	-586.894434	-5429.1238	-265.573272	4842.22937	0	0	0	0	0	3
23	19	0	0.279412211	-329.174004	-575.689198	-5429.1238	-265.573272	4853.43461	0	0	0	0	0	3
24	20	0	0.291560568	-328.003802	-565.368973	-5429.1238	-265.573272	4863.75483	0	0	0	0	0	3
25	20	0	0.303708925	-326.320129	-555.807019	-5429.1238	-265.573272	4873.31678	0	0	0	0	0	3
26	21	0	0.315857282	-325.538747	-546.950547	-5429.1238	-265.573272	4882.17326	0	0	0	0	0	3
27	22	0	0.328005639	-328.861553	-538.873177	-5429.1238	-265.573272	4890.25063	0	0	0	0	0	3
28	23	0	0.340153996	-328.80258	-531.370656	-5429.1238	-265.573272	4897.75315	0	0	0	0	0	3
29	23	0	0.352302353	-330.423203	-524.441433	-5429.1238	-265.573272	4904.68237	0	0	0	0	0	3
30	24	0	0.36445071	-327.994139	-517.89319	-5429.1238	-265.573272	4911.23061	0	0	0	0	0	3
31	25	0	0.376599067	-331.313869	-511.874502	-5429.1238	-265.573272	4917.2493	0	0	0	0	0	3
32	26	0	0.388747425	-330.463704	-506.205415	-5429.1238	-265.573272	4922.91839	0	0	0	0	0	3
33	26	0	0.400895782	-331.050576	-500.897693	-5429.1238	-265.573272	4928.22611	0	0	0	0	0	3
34	27	0	0.413044139	-330.509262	-495.886268	-5429.1238	-265.573272	4933.23754	0	0	0	0	0	3
35	28	0	0.425192496	-332.939718	-491.230652	-5429.1238	-265.573272	4937.89315	0	0	0	0	0	3
36	29	0	0.437340853	-332.769708	-486.82896	-5429.1238	-265.573272	4942.29484	0	0	0	0	0	3
37	29	0	0.44948921	-333.529028	-482.685718	-5429.1238	-265.573272	4946.43809	0	0	0	0	0	3
38	30	0	0.461637567	-331.713437	-478.712763	-5429.1238	-265.573272	4950.41104	0	0	0	0	0	3
39	31	0	0.473785924	-333.361679	-474.985813	-5429.1238	-265.573272	4954.13799	0	0	0	0	0	3
40	32	0	0.485934281	-333.686241	-471.453323	-5429.1238	-265.573272	4957.67048	0	0	0	0	0	3
41	33	0	0.498082638	-336.029711	-468.150308	-5429.1238	-265.573272	4960.9735	0	0	0	0	0	3
