Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012148357	2998.04203	2998.04203	2998.04203	2998.04203	0	0	0	0	0	0	3
2	4	0	0.024296714	376.997767	1687.5199	376.997767	2998.04203	1310.52213	0	0	0	0	0	3
3	5	0	0.036445071	139.244356	1171.42805	139.244356	2998.04203	1826.61398	0	0	0	0	0	3
4	5	0	0.0485934281	97.8837933	903.041986	97.8837933	2998.04203	2095.00004	0	0	0	0	0	3
5	6	0	0.0607417851	108.018367	744.037262	97.8837933	2998.04203	2254.00476	0	0	0	0	0	3
6	7	0	0.0728901421	97.0976881	636.214	97.0976881	2998.04203	2361.82803	0	0	0	0	0	3
7	8	0	0.0850384991	94.6397854	558.846255	94.6397854	2998.04203	2439.19577	0	0	0	0	0	3
8	8	0	0.0971868561	90.775333	500.337389	90.775333	2998.04203	2497.70464	0	0	0	0	0	3
9	9	0	0.109335213	84.2593772	454.106499	84.2593772	2998.04203	2543.93553	0	0	0	0	0	3
10	10	0	0.12148357	86.4277611	417.338625	84.2593772	2998.04203	2580.7034	0	0	0	0	0	3
11	10	0	0.133631927	81.4944439	386.807336	81.4944439	2998.04203	2611.23469	0	0	0	0	0	3
12	11	0	0.145780284	84.2848146	361.597126	81.4944439	2998.04203	2636.4449	0	0	0	0	0	3
13	12	0	0.157928641	74.4772694	339.510983	74.4772694	2998.04203	2658.53104	0	0	0	0	0	3
14	12	0	0.170076998	83.1391107	321.198707	74.4772694	2998.04203	2676.84332	0	0	0	0	0	3
15	13	0	0.182225355	75.5206669	304.820171	74.4772694	2998.04203	2693.22186	0	0	0	0	0	3
16	14	0	0.194373712	76.0695809	290.523259	74.4772694	2998.04203	2707.51877	0	0	0	0	0	3
17	15	0	0.206522069	74.6786027	277.826514	74.4772694	2998.04203	2720.21551	0	0	0	0	0	3
18	15	0	0.218670426	83.4582407	267.028277	74.4772694	2998.04203	2731.01375	0	0	0	0	0	3
19	16	0	0.230818783	74.4516477	256.892665	74.4516477	2998.04203	2741.14936	0	0	0	0	0	3
20	17	0	0.24296714	77.8289563	247.939479	74.4516477	2998.04203	2750.10255	0	0	0	0	0	3
21	17	0	0.255115497	72.9441418	239.606368	72.9441418	2998.04203	2758.43566	0	0	0	0	0	3
22	18	0	0.267263854	75.248801	232.13557	72.9441418	2998.04203	2765.90646	0	0	0	0	0	3
23	19	0	0.279412211	69.3727295	225.058924	69.3727295	2998.04203	2772.9831	0	0	0	0	0	3
24	20	0	0.291560568	73.9898723	218.764381	69.3727295	2998.04203	2779.27765	0	0	0	0	0	3
25	20	0	0.303708925	67.6283734	212.71894	67.6283734	2998.04203	2785.32309	0	0	0	0	0	3
26	21	0	0.315857282	70.7277639	207.257741	67.6283734	2998.04203	2790.78428	0	0	0	0	0	3
27	22	0	0.328005639	67.4275445	202.078845	67.4275445	2998.04203	2795.96318	0	0	0	0	0	3
28	23	0	0.340153996	70.0942889	197.365111	67.4275445	2998.04203	2800.67692	0	0	0	0	0	3
29	23	0	0.352302353	67.870924	192.899794	67.4275445	2998.04203	2805.14223	0	0	0	0	0	3
30	24	0	0.36445071	70.7781093	188.829071	67.4275445	2998.04203	2809.21295	0	0	0	0	0	3
31	25	0	0.376599067	67.7846876	184.924414	67.4275445	2998.04203	2813.11761	0	0	0	0	0	3
32	26	0	0.388747425	68.6316804	181.290266	67.4275445	2998.04203	2816.75176	0	0	0	0	0	3
33	26	0	0.400895782	65.1631533	177.771262	65.1631533	2998.04203	2820.27076	0	0	0	0	0	3
34	27	0	0.413044139	66.8952048	174.510202	65.1631533	2998.04203	2823.53182	0	0	0	0	0	3
35	28	0	0.425192496	64.6501391	171.371343	64.6501391	2998.04203	2826.67068	0	0	0	0	0	3
36	29	0	0.437340853	65.8546035	168.440322	64.6501391	2998.04203	2829.6017	0	0	0	0	0	3
37	29	0	0.44948921	64.3265813	165.626437	64.3265813	2998.04203	2832.41559	0	0	0	0	0	3
38	30	0	0.461637567	64.9723902	162.977647	64.3265813	2998.04203	2835.06438	0	0	0	0	0	3
39	31	0	0.473785924	64.0989778	160.442296	64.0989778	2998.04203	2837.59973	0	0	0	0	0	3
40	32	0	0.485934281	65.4163074	158.066647	64.0989778	2998.04203	2839.97538	0	0	0	0	0	3
41	33	0	0.498082638	64.4811893	155.784074	64.0989778	2998.04203	2842.25795	0	0	0	0	0	3
42	34	0	0.510230995	64.7722288	153.617126	64.0989778	2998.04203	2844.4249	0	0	0	0	0	3
43	35	0	0.522379352	63.738479	83.7527555	63.738479	376.997767	313.259288	0	0	0	0	0	3
44	35	0	0.534527709	63.5753227	76.2903164	63.5753227	139.244356	75.6690331	0	0	0	0	0	3
45	36	0	0.546676066	62.985026	74.4746181	62.985026	108.018367	45.0333406	0	0	0	0	0	3
46	37	0	0.558824423	63.8421676	73.6641032	62.985026	108.018367	45.0333406	0	0	0	0	0	3
47	38	0	0.57097278	63.4746278	72.6035379	62.985026	97.0976881	34.1126621	0	0	0	0	0	3
48	39	0	0.583121137	64.2075506	71.8204394	62.985026	94.6397854	31.6547594	0	0	0	0	0	3
49	39	0	0.595269494	63.3250191	71.0748498	62.985026	90.775333	27.790307	0	0	0	0	0	3
50	40	0	0.607417851	64.1906514	70.4418812	62.985026	86.4277611	23.4427351	0	0	0	0	0	3
51	41	0	0.619566208	63.3925927	69.9450529	62.985026	86.4277611	23.4427351	0	0	0	0	0	3
52	42	0	0.631714565	64.0916737	69.4132413	62.985026	84.2848146	21.2997886	0	0	0	0	0	3
53	43	0	0.643862922	63.2988295	68.9800124	62.985026	84.2848146	21.2997886	0	0	0	0	0	3
54	43	0	0.656011279	64.0186191	68.497484	62.985026	83.4582407	20.4732147	0	0	0	0	0	3
55	44	0	0.668159636	62.9939492	68.2240716	62.985026	83.4582407	20.4732147	0	0	0	0	0	3
56	45	0	0.680307993	63.383931	67.7537102	62.985026	83.4582407	20.4732147	0	0	0	0	0	3
57	46	0	0.69245635	62.446258	67.4424147	62.446258	83.4582407	21.0119827	0	0	0	0	0	3
58	46	0	0.704604707	62.7357795	67.1249432	62.446258	83.4582407	21.0119827	0	0	0	0	0	3
59	47	0	0.716753064	62.1203064	66.8259362	62.1203064	83.4582407	21.3379344	0	0	0	0	0	3
60	48	0	0.728901421	62.9317596	66.3372104	62.1203064	77.8289563	15.7086499	0	0	0	0	0	3
61	49	0	0.741049778	62.5569911	66.0540043	62.1203064	77.8289563	15.7086499	0	0	0	0	0	3
62	50	0	0.753198135	63.4377119	65.7113557	62.1203064	75.248801	13.1284946	0	0	0	0	0	3
63	50	0	0.765346492	63.0487019	65.47575	62.1203064	75.248801	13.1284946	0	0	0	0	0	3
64	51	0	0.777494849	63.9005965	65.2055546	62.1203064	73.9898723	11.869566	0	0	0	0	0	3
65	52	0	0.789643206	63.2845937	65.060599	62.1203064	73.9898723	11.869566	0	0	0	0	0	3
66	53	0	0.801791563	63.906063	64.8205083	62.1203064	70.7781093	8.6578029	0	0	0	0	0	3
67	53	0	0.81393992	62.8838375	64.7075431	62.1203064	70.7781093	8.6578029	0	0	0	0	0	3
68	54	0	0.826088277	63.3760108	64.5325014	62.1203064	70.7781093	8.6578029	0	0	0	0	0	3
69	55	0	0.838236634	62.5794684	64.417071	62.1203064	70.7781093	8.6578029	0	0	0	0	0	3
70	56	0	0.850384991	63.4742723	64.2594516	62.1203064	70.7781093	8.6578029	0	0	0	0	0	3
71	57	0	0.862533348	62.6189122	64.1344037	62.1203064	70.7781093	8.6578029	0	0	0	0	0	3
72	57	0	0.874681705	63.9494783	63.9718172	62.1203064	68.6316804	6.51137402	0	0	0	0	0	3
73	58	0	0.886830062	62.9558725	63.8568454	62.1203064	68.6316804	6.51137402	0	0	0	0	0	3
74	59	0	0.898978419	63.2691675	63.7291666	62.1203064	66.8952048	4.77489839	0	0	0	0	0	3
75	60	0	0.911126776	62.4331758	63.6641671	62.1203064	66.8952048	4.77489839	0	0	0	0	0	3
76	60	0	0.923275133	63.1115298	63.5740796	62.1203064	65.8546035	3.73429708	0	0	0	0	0	3
77	61	0	0.93542349	62.3201687	63.5186041	62.1203064	65.8546035	3.73429708	0	0	0	0	0	3
78	62	0	0.947571847	63.2348691	63.4562295	62.1203064	65.4163074	3.29600101	0	0	0	0	0	3
79	63	0	0.959720204	62.715349	63.4178668	62.1203064	65.4163074	3.29600101	0	0	0	0	0	3
