Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012148357	3665.5245	3665.5245	3665.5245	3665.5245	0	0	0	0	0	0	3
2	4	0	0.024296714	335.055255	2000.28988	335.055255	3665.5245	1665.23462	0	0	0	0	0	3
3	5	0	0.036445071	31.0801928	1343.88665	31.0801928	3665.5245	2321.63785	0	0	0	0	0	3
4	5	0	0.0485934281	39.7317077	1017.84791	31.0801928	3665.5245	2647.67658	0	0	0	0	0	3
5	6	0	0.0607417851	10.3894345	816.356218	10.3894345	3665.5245	2849.16828	0	0	0	0	0	3
6	7	0	0.0728901421	11.7794944	682.260097	10.3894345	3665.5245	2983.2644	0	0	0	0	0	3
7	8	0	0.0850384991	-14.4619967	582.728369	-14.4619967	3665.5245	3082.79613	0	0	0	0	0	3
8	8	0	0.0971868561	-19.808754	507.411229	-19.808754	3665.5245	3158.11327	0	0	0	0	0	3
9	9	0	0.109335213	-40.6347898	446.517227	-40.6347898	3665.5245	3219.00727	0	0	0	0	0	3
10	10	0	0.12148357	-33.4713983	398.518364	-40.6347898	3665.5245	3267.00613	0	0	0	0	0	3
11	10	0	0.133631927	-33.3908718	359.253888	-40.6347898	3665.5245	3306.27061	0	0	0	0	0	3
12	11	0	0.145780284	-23.8401284	327.329387	-40.6347898	3665.5245	3338.19511	0	0	0	0	0	3
13	12	0	0.157928641	-33.5934796	299.56609	-40.6347898	3665.5245	3365.95841	0	0	0	0	0	3
14	12	0	0.170076998	-33.2055385	275.796688	-40.6347898	3665.5245	3389.72781	0	0	0	0	0	3
15	13	0	0.182225355	-34.9406096	255.080868	-40.6347898	3665.5245	3410.44363	0	0	0	0	0	3
16	14	0	0.194373712	-22.6011549	237.725741	-40.6347898	3665.5245	3427.79876	0	0	0	0	0	3
17	15	0	0.206522069	-25.0995113	222.265432	-40.6347898	3665.5245	3443.25907	0	0	0	0	0	3
18	15	0	0.218670426	-14.3710282	209.118962	-40.6347898	3665.5245	3456.40554	0	0	0	0	0	3
19	16	0	0.230818783	-21.5452881	196.978739	-40.6347898	3665.5245	3468.54576	0	0	0	0	0	3
20	17	0	0.24296714	-23.327746	185.963414	-40.6347898	3665.5245	3479.56108	0	0	0	0	0	3
21	17	0	0.255115497	-21.4186419	176.088078	-40.6347898	3665.5245	3489.43642	0	0	0	0	0	3
22	18	0	0.267263854	-28.0537028	166.808906	-40.6347898	3665.5245	3498.71559	0	0	0	0	0	3
23	19	0	0.279412211	-33.4393504	158.102461	-40.6347898	3665.5245	3507.42204	0	0	0	0	0	3
24	20	0	0.291560568	-32.0376822	150.179955	-40.6347898	3665.5245	3515.34454	0	0	0	0	0	3
25	20	0	0.303708925	-37.2220974	142.683873	-40.6347898	3665.5245	3522.84063	0	0	0	0	0	3
26	21	0	0.315857282	-32.903964	135.930494	-40.6347898	3665.5245	3529.594	0	0	0	0	0	3
