Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012148357	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.024296714	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.036445071	0	0	0	0	0	0	0	0	0	0	3
4	5	0	0.0485934281	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.0607417851	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0728901421	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.0850384991	0	0	0	0	0	0	0	0	0	0	3
8	8	0	0.0971868561	0	0	0	0	0	0	0	0	0	0	3
9	9	0	0.109335213	0	0	0	0	0	0	0	0	0	0	3
10	10	0	0.12148357	0	0	0	0	0	0	0	0	0	0	3
11	10	0	0.133631927	0	0	0	0	0	0	0	0	0	0	3
12	11	0	0.145780284	0	0	0	0	0	0	0	0	0	0	3
13	12	0	0.157928641	0	0	0	0	0	0	0	0	0	0	3
14	12	0	0.170076998	0	0	0	0	0	0	0	0	0	0	3
15	13	0	0.182225355	0	0	0	0	0	0	0	0	0	0	3
16	14	0	0.194373712	0	0	0	0	0	0	0	0	0	0	3
17	15	0	0.206522069	0	0	0	0	0	0	0	0	0	0	3
18	15	0	0.218670426	0	0	0	0	0	0	0	0	0	0	3
19	16	0	0.230818783	0	0	0	0	0	0	0	0	0	0	3
20	17	0	0.24296714	0	0	0	0	0	0	0	0	0	0	3
21	17	0	0.255115497	0	0	0	0	0	0	0	0	0	0	3
22	18	0	0.267263854	0	0	0	0	0	0	0	0	0	0	3
23	19	0	0.279412211	0	0	0	0	0	0	0	0	0	0	3
24	20	0	0.291560568	0	0	0	0	0	0	0	0	0	0	3
25	20	0	0.303708925	0	0	0	0	0	0	0	0	0	0	3
26	21	0	0.315857282	0	0	0	0	0	0	0	0	0	0	3
27	22	0	0.328005639	0	0	0	0	0	0	0	0	0	0	3
28	23	0	0.340153996	0	0	0	0	0	0	0	0	0	0	3
29	23	0	0.352302353	0	0	0	0	0	0	0	0	0	0	3
30	24	0	0.36445071	0	0	0	0	0	0	0	0	0	0	3
31	25	0	0.376599067	0	0	0	0	0	0	0	0	0	0	3
32	26	0	0.388747425	0	0	0	0	0	0	0	0	0	0	3
33	26	0	0.400895782	0	0	0	0	0	0	0	0	0	0	3
34	27	0	0.413044139	0	0	0	0	0	0	0	0	0	0	3
35	28	0	0.425192496	0	0	0	0	0	0	0	0	0	0	3
36	29	0	0.437340853	0	0	0	0	0	0	0	0	0	0	3
37	29	0	0.44948921	0	0	0	0	0	0	0	0	0	0	3
38	30	0	0.461637567	0	0	0	0	0	0	0	0	0	0	3
39	31	0	0.473785924	0	0	0	0	0	0	0	0	0	0	3
40	32	0	0.485934281	0	0	0	0	0	0	0	0	0	0	3
41	33	0	0.498082638	0	0	0	0	0	0	0	0	0	0	3
