Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012148357	101326.478	101326.478	101326.478	101326.478	0	0	0	0	0	0	3
2	4	0	0.024296714	101324.93	101325.704	101324.93	101326.478	0.773935966	0	0	0	0	0	3
3	5	0	0.036445071	101325.135	101325.514	101324.93	101326.478	0.963601337	0	0	0	0	0	3
4	5	0	0.0485934281	101325.019	101325.391	101324.93	101326.478	1.08732923	0	0	0	0	0	3
5	6	0	0.0607417851	101325.067	101325.326	101324.93	101326.478	1.15209587	0	0	0	0	0	3
6	7	0	0.0728901421	101325.026	101325.276	101324.93	101326.478	1.20204238	0	0	0	0	0	3
7	8	0	0.0850384991	101325.07	101325.247	101324.93	101326.478	1.23143301	0	0	0	0	0	3
8	8	0	0.0971868561	101325.035	101325.22	101324.93	101326.478	1.25784254	0	0	0	0	0	3
9	9	0	0.109335213	101325.067	101325.203	101324.93	101326.478	1.27480875	0	0	0	0	0	3
10	10	0	0.12148357	101325.036	101325.186	101324.93	101326.478	1.29154216	0	0	0	0	0	3
11	10	0	0.133631927	101325.062	101325.175	101324.93	101326.478	1.30287153	0	0	0	0	0	3
12	11	0	0.145780284	101325.034	101325.163	101324.93	101326.478	1.31460138	0	0	0	0	0	3
13	12	0	0.157928641	101325.052	101325.155	101324.93	101326.478	1.32320285	0	0	0	0	0	3
14	12	0	0.170076998	101325.032	101325.146	101324.93	101326.478	1.33193709	0	0	0	0	0	3
15	13	0	0.182225355	101325.049	101325.14	101324.93	101326.478	1.33839435	0	0	0	0	0	3
16	14	0	0.194373712	101325.026	101325.132	101324.93	101326.478	1.3455035	0	0	0	0	0	3
17	15	0	0.206522069	101325.04	101325.127	101324.93	101326.478	1.35093569	0	0	0	0	0	3
18	15	0	0.218670426	101325.026	101325.121	101324.93	101326.478	1.3565586	0	0	0	0	0	3
19	16	0	0.230818783	101325.037	101325.117	101324.93	101326.478	1.36099219	0	0	0	0	0	3
20	17	0	0.24296714	101325.029	101325.113	101324.93	101326.478	1.3653731	0	0	0	0	0	3
21	17	0	0.255115497	101325.038	101325.109	101324.93	101326.478	1.36894417	0	0	0	0	0	3
22	18	0	0.267263854	101325.037	101325.106	101324.93	101326.478	1.37223828	0	0	0	0	0	3
23	19	0	0.279412211	101325.038	101325.103	101324.93	101326.478	1.37516663	0	0	0	0	0	3
24	20	0	0.291560568	101325.035	101325.1	101324.93	101326.478	1.37800169	0	0	0	0	0	3
25	20	0	0.303708925	101325.034	101325.097	101324.93	101326.478	1.38064487	0	0	0	0	0	3
26	21	0	0.315857282	101325.029	101325.095	101324.93	101326.478	1.38329007	0	0	0	0	0	3
27	22	0	0.328005639	101325.021	101325.092	101324.93	101326.478	1.38601828	0	0	0	0	0	3
28	23	0	0.340153996	101325.013	101325.089	101324.93	101326.478	1.38885352	0	0	0	0	0	3
29	23	0	0.352302353	101325.006	101325.086	101324.93	101326.478	1.39172672	0	0	0	0	0	3
30	24	0	0.36445071	101324.999	101325.083	101324.93	101326.478	1.39464218	0	0	0	0	0	3
31	25	0	0.376599067	101324.995	101325.08	101324.93	101326.478	1.39748582	0	0	0	0	0	3
32	26	0	0.388747425	101324.991	101325.078	101324.93	101326.478	1.40028308	0	0	0	0	0	3
