Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012148357	293.199982	293.199982	293.199982	293.199982	0	0	0	0	0	0	3
2	4	0	0.024296714	293.199965	293.199973	293.199965	293.199982	8.33348469e-06	0	0	0	0	0	3
3	5	0	0.036445071	293.199964	293.19997	293.199964	293.199982	1.14580865e-05	0	0	0	0	0	3
4	5	0	0.0485934281	293.199959	293.199967	293.199959	293.199982	1.42466768e-05	0	0	0	0	0	3
5	6	0	0.0607417851	293.199955	293.199965	293.199955	293.199982	1.66813731e-05	0	0	0	0	0	3
6	7	0	0.0728901421	293.199947	293.199962	293.199947	293.199982	1.96153965e-05	0	0	0	0	0	3
7	8	0	0.0850384991	293.199939	293.199959	293.199939	293.199982	2.2953048e-05	0	0	0	0	0	3
8	8	0	0.0971868561	293.199929	293.199955	293.199929	293.199982	2.66172785e-05	0	0	0	0	0	3
9	9	0	0.109335213	293.199921	293.199951	293.199921	293.199982	3.04070742e-05	0	0	0	0	0	3
10	10	0	0.12148357	293.199913	293.199947	293.199913	293.199982	3.42883841e-05	0	0	0	0	0	3
11	10	0	0.133631927	293.199903	293.199943	293.199903	293.199982	3.83588629e-05	0	0	0	0	0	3
12	11	0	0.145780284	293.199893	293.199939	293.199893	293.199982	4.25227618e-05	0	0	0	0	0	3
13	12	0	0.157928641	293.199885	293.199935	293.199885	293.199982	4.66805694e-05	0	0	0	0	0	3
14	12	0	0.170076998	293.199878	293.199931	293.199878	293.199982	5.07735429e-05	0	0	0	0	0	3
15	13	0	0.182225355	293.199871	293.199927	293.199871	293.199982	5.47631415e-05	0	0	0	0	0	3
16	14	0	0.194373712	293.199863	293.199923	293.199863	293.199982	5.8751468e-05	0	0	0	0	0	3
17	15	0	0.206522069	293.199856	293.199919	293.199856	293.199982	6.26901575e-05	0	0	0	0	0	3
18	15	0	0.218670426	293.199849	293.199915	293.199849	293.199982	6.65570019e-05	0	0	0	0	0	3
19	16	0	0.230818783	293.199843	293.199911	293.199843	293.199982	7.03541985e-05	0	0	0	0	0	3
20	17	0	0.24296714	293.199837	293.199908	293.199837	293.199982	7.40934237e-05	0	0	0	0	0	3
21	17	0	0.255115497	293.199826	293.199904	293.199826	293.199982	7.79610071e-05	0	0	0	0	0	3
22	18	0	0.267263854	293.199816	293.1999	293.199816	293.199982	8.19717521e-05	0	0	0	0	0	3
23	19	0	0.279412211	293.199804	293.199896	293.199804	293.199982	8.61485826e-05	0	0	0	0	0	3
24	20	0	0.291560568	293.199791	293.199891	293.199791	293.199982	9.051608e-05	0	0	0	0	0	3
25	20	0	0.303708925	293.199777	293.199887	293.199777	293.199982	9.51022828e-05	0	0	0	0	0	3
26	21	0	0.315857282	293.199752	293.199881	293.199752	293.199982	0.000100269554	0	0	0	0	0	3
27	22	0	0.328005639	293.199726	293.199876	293.199726	293.199982	0.000106041741	0	0	0	0	0	3
28	23	0	0.340153996	293.199697	293.199869	293.199697	293.199982	0.00011242179	0	0	0	0	0	3
29	23	0	0.352302353	293.199667	293.199862	293.199667	293.199982	0.000119401704	0	0	0	0	0	3
30	24	0	0.36445071	293.199635	293.199855	293.199635	293.199982	0.000126968317	0	0	0	0	0	3
31	25	0	0.376599067	293.19959	293.199846	293.19959	293.199982	0.000135523079	0	0	0	0	0	3
32	26	0	0.388747425	293.199548	293.199837	293.199548	293.199982	0.000144849858	0	0	0	0	0	3
33	26	0	0.400895782	293.199512	293.199827	293.199512	293.199982	0.0001546923	0	0	0	0	0	3
34	27	0	0.413044139	293.199484	293.199817	293.199484	293.199982	0.00016477455	0	0	0	0	0	3
35	28	0	0.425192496	293.199465	293.199807	293.199465	293.199982	0.000174828466	0	0	0	0	0	3
36	29	0	0.437340853	293.199451	293.199797	293.199451	293.199982	0.000184719918	0	0	0	0	0	3
37	29	0	0.44948921	293.199447	293.199788	293.199447	293.199982	0.000194178818	0	0	0	0	0	3
38	30	0	0.461637567	293.199449	293.199779	293.199447	293.199982	0.000203092307	0	0	0	0	0	3
39	31	0	0.473785924	293.199454	293.19977	293.199447	293.199982	0.000211417339	0	0	0	0	0	3
40	32	0	0.485934281	293.19946	293.199763	293.199447	293.199982	0.000219183801	0	0	0	0	0	3
41	33	0	0.498082638	293.199466	293.199755	293.199447	293.199982	0.000226428797	0	0	0	0	0	3
42	34	0	0.510230995	293.199473	293.199749	293.199447	293.199982	0.000233152314	0	0	0	0	0	3
43	35	0	0.522379352	293.199477	293.199737	293.199447	293.199965	0.000236835017	0	0	0	0	0	3
44	35	0	0.534527709	293.199479	293.199725	293.199447	293.199964	0.000245277028	0	0	0	0	0	3
45	36	0	0.546676066	293.199481	293.199714	293.199447	293.199959	0.000253993021	0	0	0	0	0	3
46	37	0	0.558824423	293.199483	293.199702	293.199447	293.199955	0.000262885432	0	0	0	0	0	3
47	38	0	0.57097278	293.199484	293.199691	293.199447	293.199947	0.00027117274	0	0	0	0	0	3
48	39	0	0.583121137	293.199484	293.19968	293.199447	293.199939	0.000278858049	0	0	0	0	0	3
49	39	0	0.595269494	293.199485	293.199669	293.199447	293.199929	0.000286005581	0	0	0	0	0	3
50	40	0	0.607417851	293.199485	293.199659	293.199447	293.199921	0.000292809764	0	0	0	0	0	3
51	41	0	0.619566208	293.199485	293.199648	293.199447	293.199913	0.000299310868	0	0	0	0	0	3
52	42	0	0.631714565	293.199485	293.199638	293.199447	293.199903	0.000305420751	0	0	0	0	0	3
53	43	0	0.643862922	293.199485	293.199628	293.199447	293.199893	0.000311207884	0	0	0	0	0	3
54	43	0	0.656011279	293.199484	293.199618	293.199447	293.199885	0.000316798492	0	0	0	0	0	3
