Iteration	CPUTime	PhysTime	Travels
1	3	0	0.012148357
2	4	0	0.024296714
3	5	0	0.036445071
4	5	0	0.0485934281
5	6	0	0.0607417851
6	7	0	0.0728901421
7	8	0	0.0850384991
8	8	0	0.0971868561
9	9	0	0.109335213
10	10	0	0.12148357
11	10	0	0.133631927
12	11	0	0.145780284
13	12	0	0.157928641
14	12	0	0.170076998
15	13	0	0.182225355
16	14	0	0.194373712
17	15	0	0.206522069
18	15	0	0.218670426
19	16	0	0.230818783
20	17	0	0.24296714
21	17	0	0.255115497
22	18	0	0.267263854
23	19	0	0.279412211
24	20	0	0.291560568
25	20	0	0.303708925
26	21	0	0.315857282
27	22	0	0.328005639
28	23	0	0.340153996
29	23	0	0.352302353
30	24	0	0.36445071
31	25	0	0.376599067
32	26	0	0.388747425
33	26	0	0.400895782
34	27	0	0.413044139
35	28	0	0.425192496
36	29	0	0.437340853
37	29	0	0.44948921
38	30	0	0.461637567
39	31	0	0.473785924
40	32	0	0.485934281
41	33	0	0.498082638
42	34	0	0.510230995
43	35	0	0.522379352
44	35	0	0.534527709
45	36	0	0.546676066
46	37	0	0.558824423
47	38	0	0.57097278
48	39	0	0.583121137
49	39	0	0.595269494
50	40	0	0.607417851
51	41	0	0.619566208
52	42	0	0.631714565
53	43	0	0.643862922
54	43	0	0.656011279
55	44	0	0.668159636
56	45	0	0.680307993
57	46	0	0.69245635
58	46	0	0.704604707
59	47	0	0.716753064
60	48	0	0.728901421
61	49	0	0.741049778
62	50	0	0.753198135
63	50	0	0.765346492
64	51	0	0.777494849
65	52	0	0.789643206
66	53	0	0.801791563
67	53	0	0.81393992
68	54	0	0.826088277
69	55	0	0.838236634
70	56	0	0.850384991
71	57	0	0.862533348
72	57	0	0.874681705
73	58	0	0.886830062
74	59	0	0.898978419
75	60	0	0.911126776
76	60	0	0.923275133
77	61	0	0.93542349
78	62	0	0.947571847
79	63	0	0.959720204
80	63	0	0.971868561
81	64	0	0.984016918
82	65	0	0.996165275
83	66	0	1.00831363
84	66	0	1.02046199
85	67	0	1.03261035
86	68	0	1.0447587
87	69	0	1.05690706
88	69	0	1.06905542
89	70	0	1.08120377
90	71	0	1.09335213
91	72	0	1.10550049
92	72	0	1.11764885
93	73	0	1.1297972
94	74	0	1.14194556
95	75	0	1.15409392
96	75	0	1.16624227
97	76	0	1.17839063
98	77	0	1.19053899
99	77	0	1.20268734
100	78	0	1.2148357
101	79	0	1.22698406
102	80	0	1.23913242
103	81	0	1.25128077
104	82	0	1.26342913
105	82	0	1.27557749
106	83	0	1.28772584
107	84	0	1.2998742
108	85	0	1.31202256
109	85	0	1.32417091
110	86	0	1.33631927
111	87	0	1.34846763
112	87	0	1.36061599
113	88	0	1.37276434
