Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120153542	10.1454728	10.1454728	10.1454728	10.1454728	0	0	0	0	0	0	3
2	4	0	0.0240307084	11.802433	10.9739529	10.1454728	11.802433	0.828480105	0	0	0	0	0	3
3	5	0	0.0360460626	15.3734963	12.4404674	10.1454728	15.3734963	2.29499457	0	0	0	0	0	3
4	6	0	0.0480614168	4.90039376	10.555449	4.90039376	15.3734963	2.29499457	0	0	0	0	0	3
5	6	0	0.060076771	16.2255385	11.6894669	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
6	7	0	0.0720921252	7.30296086	10.9583826	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
7	8	0	0.0841074794	9.35029992	10.7286565	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
8	8	0	0.0961228336	9.0357417	10.5170421	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
9	9	0	0.108138188	13.1088848	10.8050246	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
10	10	0	0.120153542	8.5058166	10.5751038	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
11	10	0	0.132168896	12.3170169	10.7334596	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
12	11	0	0.14418425	10.5816861	10.7208118	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
13	12	0	0.156199605	11.9484965	10.8152491	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
14	12	0	0.168214959	10.1695828	10.76913	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
15	13	0	0.180230313	11.7096578	10.8318319	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
16	14	0	0.192245667	12.8338947	10.9569608	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
17	15	0	0.204261021	11.1389454	10.9676658	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
18	15	0	0.216276376	13.1350021	11.0880734	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
19	16	0	0.22829173	10.750734	11.0703187	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
20	17	0	0.240307084	13.4756621	11.1905858	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
21	17	0	0.252322438	11.6839315	11.2140785	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
22	18	0	0.264337792	12.978321	11.2942713	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
23	19	0	0.276353147	11.3875933	11.2983288	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
24	20	0	0.288368501	12.9958934	11.3690607	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
25	20	0	0.300383855	12.002299	11.3943902	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
26	21	0	0.312399209	12.7977248	11.4483646	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
27	22	0	0.324414563	11.9527913	11.4670471	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
28	23	0	0.336429918	12.5886236	11.5071034	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
29	23	0	0.348445272	12.2598527	11.5330602	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
30	24	0	0.360460626	13.1187192	11.5859155	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
31	25	0	0.37247598	11.9879879	11.5988856	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
32	25	0	0.384491334	12.380461	11.6233099	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
33	26	0	0.396506688	11.9065958	11.6318943	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
34	27	0	0.408522043	12.4749666	11.6566905	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
35	28	0	0.420537397	11.9202081	11.6642196	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
36	29	0	0.432552751	12.3316898	11.6827604	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
37	29	0	0.444568105	12.2678936	11.6985748	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
38	30	0	0.456583459	12.9549049	11.7316362	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
39	31	0	0.468598814	12.4858417	11.7509748	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
40	32	0	0.480614168	12.7626585	11.7762669	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
41	33	0	0.492629522	12.4046054	11.7915922	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
42	33	0	0.504644876	12.7100056	11.8134592	4.90039376	16.2255385	2.29499457	0	0	0	0	0	3
43	34	0	0.51666023	12.3110639	11.8650209	4.90039376	16.2255385	1.92342528	0	0	0	0	0	3
44	35	0	0.528675585	12.3992768	11.8792314	4.90039376	16.2255385	1.92342528	0	0	0	0	0	3
45	36	0	0.540690939	12.0394875	11.7998503	4.90039376	16.2255385	1.36218932	0	0	0	0	0	3
46	37	0	0.552706293	12.4045226	11.97852	7.30296086	16.2255385	1.46147789	0	0	0	0	0	3
47	37	0	0.564721647	11.9479938	11.8766737	7.30296086	13.4756621	1.46147789	0	0	0	0	0	3
48	38	0	0.576737001	12.2722761	11.9949907	8.5058166	13.4756621	1.47794862	0	0	0	0	0	3
49	39	0	0.588752356	12.0082919	12.0582763	8.5058166	13.4756621	1.54123414	0	0	0	0	0	3
50	40	0	0.60076771	12.3801889	12.1379059	8.5058166	13.4756621	1.56280211	0	0	0	0	0	3
51	41	0	0.612783064	12.1189974	12.1143372	8.5058166	13.4756621	1.56280211	0	0	0	0	0	3
52	41	0	0.624798418	12.2683743	12.2039219	10.1695828	13.4756621	1.48311012	0	0	0	0	0	3
53	42	0	0.636813772	11.9518946	12.1952285	10.1695828	13.4756621	1.48311012	0	0	0	0	0	3
54	43	0	0.648829127	12.3960227	12.238427	10.1695828	13.4756621	1.46929696	0	0	0	0	0	3
55	44	0	0.660844481	11.9756342	12.2390731	10.1695828	13.4756621	1.4699431	0	0	0	0	0	3
56	44	0	0.672859835	12.1960426	12.2873222	10.750734	13.4756621	1.45549029	0	0	0	0	0	3
57	45	0	0.684875189	11.9730428	12.2935933	10.750734	13.4756621	1.33663244	0	0	0	0	0	3
58	46	0	0.696890543	12.3236214	12.2814439	10.750734	13.4756621	1.32592747	0	0	0	0	0	3
59	47	0	0.708905898	11.8958956	12.2994665	10.750734	13.4756621	1.22914786	0	0	0	0	0	3
60	48	0	0.720921252	12.1464225	12.2759289	10.750734	13.4756621	1.22914786	0	0	0	0	0	3
61	48	0	0.732936606	11.8990181	12.303269	11.3875933	13.4756621	1.11268318	0	0	0	0	0	3
62	49	0	0.74495196	12.2497069	12.2740796	11.3875933	13.1187192	1.08919053	0	0	0	0	0	3
63	50	0	0.756967314	11.9712828	12.2809213	11.3875933	13.1187192	1.00899769	0	0	0	0	0	3
64	51	0	0.768982669	12.1971502	12.262322	11.3875933	13.1187192	1.00494021	0	0	0	0	0	3
65	52	0	0.780998023	11.9047979	12.2746364	11.8958956	13.1187192	0.934208355	0	0	0	0	0	3
66	53	0	0.793013377	12.23893	12.2566135	11.8958956	13.1187192	0.908878819	0	0	0	0	0	3
67	54	0	0.805028731	11.8575846	12.2531679	11.8575846	13.1187192	0.854904412	0	0	0	0	0	3
68	54	0	0.817044085	12.0355681	12.2350213	11.8575846	13.1187192	0.836221941	0	0	0	0	0	3
69	55	0	0.82905944	11.7883347	12.2311056	11.7883347	13.1187192	0.796165636	0	0	0	0	0	3
70	56	0	0.841074794	12.1634222	12.2209818	11.7883347	13.1187192	0.770208762	0	0	0	0	0	3
71	57	0	0.853090148	11.7848338	12.2096718	11.7848338	13.1187192	0.717353462	0	0	0	0	0	3
