Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120153542	2243.14213	2243.14213	2243.14213	2243.14213	0	0	0	0	0	0	3
2	4	0	0.0240307084	140.080207	1191.61117	140.080207	2243.14213	1051.53096	0	0	0	0	0	3
3	5	0	0.0360460626	49.0992591	810.773866	49.0992591	2243.14213	1432.36826	0	0	0	0	0	3
4	6	0	0.0480614168	18.0179379	612.584884	18.0179379	2243.14213	1630.55725	0	0	0	0	0	3
5	6	0	0.060076771	1.40521938	490.348951	1.40521938	2243.14213	1752.79318	0	0	0	0	0	3
6	7	0	0.0720921252	-40.5272829	401.869579	-40.5272829	2243.14213	1841.27255	0	0	0	0	0	3
7	8	0	0.0841074794	-44.4043164	338.116165	-44.4043164	2243.14213	1905.02597	0	0	0	0	0	3
8	8	0	0.0961228336	-74.656983	286.519521	-74.656983	2243.14213	1956.62261	0	0	0	0	0	3
9	9	0	0.108138188	-67.0525761	247.233733	-74.656983	2243.14213	1995.9084	0	0	0	0	0	3
10	10	0	0.120153542	-88.6319174	213.647168	-88.6319174	2243.14213	2029.49496	0	0	0	0	0	3
11	10	0	0.132168896	-70.948018	187.774878	-88.6319174	2243.14213	2055.36725	0	0	0	0	0	3
12	11	0	0.14418425	-88.9428512	164.715067	-88.9428512	2243.14213	2078.42706	0	0	0	0	0	3
13	12	0	0.156199605	-61.0453376	147.348882	-88.9428512	2243.14213	2095.79325	0	0	0	0	0	3
14	12	0	0.168214959	-84.3632045	130.798019	-88.9428512	2243.14213	2112.34411	0	0	0	0	0	3
15	13	0	0.180230313	-57.7327515	118.229301	-88.9428512	2243.14213	2124.91283	0	0	0	0	0	3
16	14	0	0.192245667	-82.539636	105.681242	-88.9428512	2243.14213	2137.46089	0	0	0	0	0	3
17	15	0	0.204261021	-60.2336221	95.9215445	-88.9428512	2243.14213	2147.22059	0	0	0	0	0	3
18	15	0	0.216276376	-81.0032547	86.092389	-88.9428512	2243.14213	2157.04974	0	0	0	0	0	3
19	16	0	0.22829173	-65.2445014	78.1272895	-88.9428512	2243.14213	2165.01484	0	0	0	0	0	3
20	17	0	0.240307084	-77.5973984	70.3410551	-88.9428512	2243.14213	2172.80108	0	0	0	0	0	3
21	17	0	0.252322438	-69.6413919	63.6752243	-88.9428512	2243.14213	2179.46691	0	0	0	0	0	3
22	18	0	0.264337792	-75.8392599	57.3336569	-88.9428512	2243.14213	2185.80847	0	0	0	0	0	3
23	19	0	0.276353147	-72.380797	51.693898	-88.9428512	2243.14213	2191.44823	0	0	0	0	0	3
24	20	0	0.288368501	-74.5135775	46.4352532	-88.9428512	2243.14213	2196.70688	0	0	0	0	0	3
25	20	0	0.300383855	-74.0930556	41.6141208	-88.9428512	2243.14213	2201.52801	0	0	0	0	0	3
26	21	0	0.312399209	-74.6689179	37.1416963	-88.9428512	2243.14213	2206.00043	0	0	0	0	0	3
27	22	0	0.324414563	-74.5838979	33.0037113	-88.9428512	2243.14213	2210.13842	0	0	0	0	0	3
28	23	0	0.336429918	-73.214693	29.2101969	-88.9428512	2243.14213	2213.93193	0	0	0	0	0	3
29	23	0	0.348445272	-72.3715327	25.7073786	-88.9428512	2243.14213	2217.43475	0	0	0	0	0	3
30	24	0	0.360460626	-71.428646	22.4695111	-88.9428512	2243.14213	2220.67262	0	0	0	0	0	3
31	25	0	0.37247598	-71.0786568	19.4518283	-88.9428512	2243.14213	2223.6903	0	0	0	0	0	3
32	25	0	0.384491334	-70.8024711	16.6313814	-88.9428512	2243.14213	2226.51075	0	0	0	0	0	3
33	26	0	0.396506688	-70.0029712	14.006098	-88.9428512	2243.14213	2229.13603	0	0	0	0	0	3
34	27	0	0.408522043	-69.1872687	11.5592343	-88.9428512	2243.14213	2231.5829	0	0	0	0	0	3
35	28	0	0.420537397	-68.4830992	9.27231047	-88.9428512	2243.14213	2233.86982	0	0	0	0	0	3
36	29	0	0.432552751	-68.6512357	7.10776752	-88.9428512	2243.14213	2236.03436	0	0	0	0	0	3
37	29	0	0.444568105	-68.6887968	5.05921173	-88.9428512	2243.14213	2238.08292	0	0	0	0	0	3
38	30	0	0.456583459	-68.5007917	3.12342216	-88.9428512	2243.14213	2240.01871	0	0	0	0	0	3
39	31	0	0.468598814	-68.2256458	1.29395888	-88.9428512	2243.14213	2241.84817	0	0	0	0	0	3
40	32	0	0.480614168	-67.8448783	-0.434512052	-88.9428512	2243.14213	2243.57664	0	0	0	0	0	3
41	33	0	0.492629522	-67.8069723	-2.07774279	-88.9428512	2243.14213	2245.21987	0	0	0	0	0	3
42	33	0	0.504644876	-67.8098196	-3.64279224	-88.9428512	2243.14213	2246.78492	0	0	0	0	0	3
43	34	0	0.51666023	-67.7229208	-58.6633887	-88.9428512	140.080207	229.023058	0	0	0	0	0	3
44	35	0	0.528675585	-67.8832417	-63.6148994	-88.9428512	49.0992591	138.04211	0	0	0	0	0	3
45	36	0	0.540690939	-67.9952092	-66.4028629	-88.9428512	18.0179379	106.960789	0	0	0	0	0	3
46	37	0	0.552706293	-68.1179319	-68.453717	-88.9428512	1.40521938	90.3480706	0	0	0	0	0	3
47	37	0	0.564721647	-67.9917999	-70.1060269	-88.9428512	-40.5272829	48.4155683	0	0	0	0	0	3
48	38	0	0.576737001	-67.8807664	-70.7573004	-88.9428512	-44.4043164	44.5385348	0	0	0	0	0	3
49	39	0	0.588752356	-67.524706	-71.3077858	-88.9428512	-57.7327515	31.2100998	0	0	0	0	0	3
50	40	0	0.60076771	-67.4194455	-71.1354635	-88.9428512	-57.7327515	31.2100998	0	0	0	0	0	3
51	41	0	0.612783064	-67.3510432	-71.1425699	-88.9428512	-57.7327515	31.2100998	0	0	0	0	0	3
52	41	0	0.624798418	-67.4020185	-70.6370961	-88.9428512	-57.7327515	31.2100998	0	0	0	0	0	3
53	42	0	0.636813772	-67.1783853	-70.5473429	-88.9428512	-57.7327515	31.2100998	0	0	0	0	0	3
54	43	0	0.648829127	-67.3140906	-70.0323724	-84.3632045	-57.7327515	26.6304531	0	0	0	0	0	3
55	44	0	0.660844481	-67.0637783	-70.1756686	-84.3632045	-57.7327515	26.6304531	0	0	0	0	0	3
56	44	0	0.672859835	-67.3497471	-69.7705863	-82.539636	-57.7327515	24.8068845	0	0	0	0	0	3
57	45	0	0.684875189	-67.3126926	-69.9986801	-82.539636	-60.2336221	22.3060139	0	0	0	0	0	3
58	46	0	0.696890543	-67.6436509	-69.6440138	-81.0032547	-60.2336221	20.7696325	0	0	0	0	0	3
59	47	0	0.708905898	-67.8183183	-69.8246018	-81.0032547	-65.2445014	15.7587532	0	0	0	0	0	3
60	48	0	0.720921252	-68.2152873	-69.5201264	-77.5973984	-65.2445014	12.352897	0	0	0	0	0	3
61	48	0	0.732936606	-67.9707225	-69.5850364	-77.5973984	-67.0637783	10.5336201	0	0	0	0	0	3
62	49	0	0.74495196	-68.1022934	-69.3589625	-75.8392599	-67.0637783	8.77548156	0	0	0	0	0	3
63	50	0	0.756967314	-67.9696658	-69.3191595	-75.8392599	-67.0637783	8.77548156	0	0	0	0	0	3
64	51	0	0.768982669	-68.1333623	-69.1356858	-74.6689179	-67.0637783	7.60513957	0	0	0	0	0	3
65	52	0	0.780998023	-67.8853078	-69.0286503	-74.6689179	-67.0637783	7.60513957	0	0	0	0	0	3
66	53	0	0.793013377	-68.3364425	-68.8815757	-74.6689179	-67.0637783	7.60513957	0	0	0	0	0	3
67	54	0	0.805028731	-68.4231813	-68.7465787	-74.6689179	-67.0637783	7.60513957	0	0	0	0	0	3
68	54	0	0.817044085	-68.7421238	-68.6054645	-74.5838979	-67.0637783	7.52011958	0	0	0	0	0	3
69	55	0	0.82905944	-68.8880158	-68.4698483	-73.214693	-67.0637783	6.15091467	0	0	0	0	0	3
70	56	0	0.841074794	-69.1674391	-68.3734851	-72.3715327	-67.0637783	5.30775439	0	0	0	0	0	3
71	57	0	0.853090148	-69.0615557	-68.2946761	-71.428646	-67.0637783	4.36486763	0	0	0	0	0	3
72	57	0	0.865105502	-69.0530699	-68.2381148	-71.0786568	-67.0637783	4.01487844	0	0	0	0	0	3
73	58	0	0.877120856	-68.7881181	-68.1835781	-70.8024711	-67.0637783	3.7386928	0	0	0	0	0	3
74	59	0	0.889136211	-68.7794869	-68.1354118	-70.0029712	-67.0637783	2.93919288	0	0	0	0	0	3
75	60	0	0.901151565	-68.5898147	-68.1017653	-69.1872687	-67.0637783	2.12349037	0	0	0	0	0	3
