Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120153542	-2585.21181	-2585.21181	-2585.21181	-2585.21181	0	0	0	0	0	0	3
2	4	0	0.0240307084	-317.558867	-1451.38534	-2585.21181	-317.558867	1133.82647	0	0	0	0	0	3
3	5	0	0.0360460626	-115.670602	-1006.14709	-2585.21181	-115.670602	1579.06472	0	0	0	0	0	3
4	6	0	0.0480614168	-73.318177	-772.939864	-2585.21181	-73.318177	1812.27195	0	0	0	0	0	3
5	6	0	0.060076771	-83.9832066	-635.148532	-2585.21181	-73.318177	1950.06328	0	0	0	0	0	3
6	7	0	0.0720921252	-73.8376675	-541.596722	-2585.21181	-73.318177	2043.61509	0	0	0	0	0	3
7	8	0	0.0841074794	-76.9924389	-475.224681	-2585.21181	-73.318177	2109.98713	0	0	0	0	0	3
8	8	0	0.0961228336	-68.9412026	-424.439246	-2585.21181	-68.9412026	2160.77256	0	0	0	0	0	3
9	9	0	0.108138188	-70.880307	-385.15492	-2585.21181	-68.9412026	2200.05689	0	0	0	0	0	3
10	10	0	0.120153542	-64.9694354	-353.136371	-2585.21181	-64.9694354	2232.07544	0	0	0	0	0	3
11	10	0	0.132168896	-66.0439521	-327.03706	-2585.21181	-64.9694354	2258.17475	0	0	0	0	0	3
12	11	0	0.14418425	-61.7535288	-304.9301	-2585.21181	-61.7535288	2280.28171	0	0	0	0	0	3
13	12	0	0.156199605	-63.723727	-286.375763	-2585.21181	-61.7535288	2298.83605	0	0	0	0	0	3
14	12	0	0.168214959	-59.653611	-270.181324	-2585.21181	-59.653611	2315.03049	0	0	0	0	0	3
15	13	0	0.180230313	-62.1895214	-256.315204	-2585.21181	-59.653611	2328.89661	0	0	0	0	0	3
16	14	0	0.192245667	-58.2852441	-243.938331	-2585.21181	-58.2852441	2341.27348	0	0	0	0	0	3
17	15	0	0.204261021	-59.9595819	-233.116052	-2585.21181	-58.2852441	2352.09576	0	0	0	0	0	3
18	15	0	0.216276376	-56.8649232	-223.324322	-2585.21181	-56.8649232	2361.88749	0	0	0	0	0	3
19	16	0	0.22829173	-57.995375	-214.622799	-2585.21181	-56.8649232	2370.58901	0	0	0	0	0	3
20	17	0	0.240307084	-56.1369919	-206.698508	-2585.21181	-56.1369919	2378.5133	0	0	0	0	0	3
21	17	0	0.252322438	-56.1910835	-199.531488	-2585.21181	-56.1369919	2385.68032	0	0	0	0	0	3
22	18	0	0.264337792	-55.5383071	-192.986344	-2585.21181	-55.5383071	2392.22547	0	0	0	0	0	3
23	19	0	0.276353147	-55.2339435	-186.997109	-2585.21181	-55.2339435	2398.2147	0	0	0	0	0	3
24	20	0	0.288368501	-54.8922343	-181.492739	-2585.21181	-54.8922343	2403.71907	0	0	0	0	0	3
25	20	0	0.300383855	-54.6108598	-176.417464	-2585.21181	-54.6108598	2408.79435	0	0	0	0	0	3
26	21	0	0.312399209	-54.5843007	-171.731573	-2585.21181	-54.5843007	2413.48024	0	0	0	0	0	3
27	22	0	0.324414563	-53.9577833	-167.369581	-2585.21181	-53.9577833	2417.84223	0	0	0	0	0	3
28	23	0	0.336429918	-53.9302726	-163.318177	-2585.21181	-53.9302726	2421.89363	0	0	0	0	0	3
29	23	0	0.348445272	-53.5951033	-159.534623	-2585.21181	-53.5951033	2425.67719	0	0	0	0	0	3
30	24	0	0.360460626	-53.5733836	-156.002581	-2585.21181	-53.5733836	2429.20923	0	0	0	0	0	3
31	25	0	0.37247598	-53.1896747	-152.686036	-2585.21181	-53.1896747	2432.52577	0	0	0	0	0	3
32	25	0	0.384491334	-52.9779289	-149.570158	-2585.21181	-52.9779289	2435.64165	0	0	0	0	0	3
33	26	0	0.396506688	-52.7338502	-146.635724	-2585.21181	-52.7338502	2438.57609	0	0	0	0	0	3
34	27	0	0.408522043	-52.5014641	-143.867069	-2585.21181	-52.5014641	2441.34474	0	0	0	0	0	3
35	28	0	0.420537397	-52.1992489	-141.247989	-2585.21181	-52.1992489	2443.96382	0	0	0	0	0	3
36	29	0	0.432552751	-51.5474489	-138.756307	-2585.21181	-51.5474489	2446.4555	0	0	0	0	0	3
37	29	0	0.444568105	-51.7391526	-136.404492	-2585.21181	-51.5474489	2448.80732	0	0	0	0	0	3
38	30	0	0.456583459	-51.8005468	-134.178073	-2585.21181	-51.5474489	2451.03374	0	0	0	0	0	3
39	31	0	0.468598814	-51.6258773	-132.06135	-2585.21181	-51.5474489	2453.15046	0	0	0	0	0	3
40	32	0	0.480614168	-51.5452405	-130.048447	-2585.21181	-51.5452405	2455.16336	0	0	0	0	0	3
41	33	0	0.492629522	-51.3747651	-128.129577	-2585.21181	-51.3747651	2457.08223	0	0	0	0	0	3
42	33	0	0.504644876	-51.2631358	-126.299423	-2585.21181	-51.2631358	2458.91239	0	0	0	0	0	3
43	34	0	0.51666023	-51.0005046	-65.9610588	-317.558867	-51.0005046	266.558363	0	0	0	0	0	3
44	35	0	0.528675585	-50.9291444	-59.6127321	-115.670602	-50.9291444	64.7414572	0	0	0	0	0	3
45	36	0	0.540690939	-50.6014628	-58.0634669	-83.9832066	-50.6014628	33.3817439	0	0	0	0	0	3
46	37	0	0.552706293	-50.5797106	-57.5220748	-83.9832066	-50.5797106	33.403496	0	0	0	0	0	3
47	37	0	0.564721647	-50.3583414	-56.7214828	-76.9924389	-50.3583414	26.6340975	0	0	0	0	0	3
48	38	0	0.576737001	-50.4499692	-56.1646328	-76.9924389	-50.3583414	26.6340975	0	0	0	0	0	3
49	39	0	0.588752356	-50.2795312	-55.5286112	-70.880307	-50.2795312	20.6007759	0	0	0	0	0	3
50	40	0	0.60076771	-50.4070095	-55.0873209	-70.880307	-50.2795312	20.6007759	0	0	0	0	0	3
51	41	0	0.612783064	-50.211894	-54.5952158	-66.0439521	-50.211894	15.8320581	0	0	0	0	0	3
52	41	0	0.624798418	-50.256212	-54.244901	-66.0439521	-50.211894	15.8320581	0	0	0	0	0	3
53	42	0	0.636813772	-50.0869049	-53.8649713	-63.723727	-50.0869049	13.6368221	0	0	0	0	0	3
54	43	0	0.648829127	-50.1427611	-53.5885244	-63.723727	-50.0869049	13.6368221	0	0	0	0	0	3
55	44	0	0.660844481	-49.9567239	-53.2607387	-62.1895214	-49.9567239	12.2327975	0	0	0	0	0	3
56	44	0	0.672859835	-50.0123667	-53.0311852	-62.1895214	-49.9567239	12.2327975	0	0	0	0	0	3
57	45	0	0.684875189	-49.8264844	-52.7368272	-59.9595819	-49.8264844	10.1330975	0	0	0	0	0	3
58	46	0	0.696890543	-49.9307307	-52.5379102	-59.9595819	-49.8264844	10.1330975	0	0	0	0	0	3
59	47	0	0.708905898	-49.7384355	-52.2945496	-57.995375	-49.7384355	8.25693945	0	0	0	0	0	3
60	48	0	0.720921252	-49.7389698	-52.124884	-57.995375	-49.7384355	8.25693945	0	0	0	0	0	3
61	48	0	0.732936606	-49.6504177	-51.9261946	-56.1910835	-49.6504177	6.54066583	0	0	0	0	0	3
62	49	0	0.74495196	-49.7570116	-51.7742903	-56.1910835	-49.6504177	6.54066583	0	0	0	0	0	3
63	50	0	0.756967314	-49.6321582	-51.6181254	-55.5383071	-49.6321582	5.90614891	0	0	0	0	0	3
64	51	0	0.768982669	-49.7218601	-51.4796385	-55.2339435	-49.6321582	5.60178533	0	0	0	0	0	3
65	52	0	0.780998023	-49.6221601	-51.3460247	-54.8922343	-49.6221601	5.27007417	0	0	0	0	0	3
66	53	0	0.793013377	-49.6866739	-51.2220827	-54.6108598	-49.6221601	4.9886997	0	0	0	0	0	3
67	54	0	0.805028731	-49.4768449	-51.0998443	-54.5843007	-49.4768449	5.1074558	0	0	0	0	0	3
68	54	0	0.817044085	-49.5913066	-50.9809635	-53.9577833	-49.4768449	4.4809384	0	0	0	0	0	3
69	55	0	0.82905944	-49.3951675	-50.8723298	-53.9302726	-49.3951675	4.53510512	0	0	0	0	0	3
70	56	0	0.841074794	-49.5401206	-50.7678023	-53.5951033	-49.3951675	4.19993581	0	0	0	0	0	3
71	57	0	0.853090148	-49.3617282	-50.6670077	-53.5733836	-49.3617282	4.2116554	0	0	0	0	0	3
72	57	0	0.865105502	-49.5445291	-50.5710826	-53.1896747	-49.3617282	3.8279465	0	0	0	0	0	3
73	58	0	0.877120856	-49.4394031	-50.4817904	-52.9779289	-49.3617282	3.61620074	0	0	0	0	0	3
74	59	0	0.889136211	-49.6196501	-50.4018314	-52.7338502	-49.3617282	3.37212199	0	0	0	0	0	3
75	60	0	0.901151565	-49.4753572	-50.3242482	-52.5014641	-49.3617282	3.13973592	0	0	0	0	0	3
76	60	0	0.913166919	-49.6290722	-50.2558579	-52.1992489	-49.3617282	2.83752077	0	0	0	0	0	3
77	61	0	0.925182273	-49.5138404	-50.1919196	-51.8005468	-49.3617282	2.4388186	0	0	0	0	0	3
78	62	0	0.937197627	-49.6526758	-50.146806	-51.8005468	-49.3617282	2.4388186	0	0	0	0	0	3
79	62	0	0.949212982	-49.5148994	-50.0938476	-51.8005468	-49.3617282	2.4388186	0	0	0	0	0	3
80	63	0	0.961228336	-49.6712679	-50.0431505	-51.6258773	-49.3617282	2.26414909	0	0	0	0	0	3
81	64	0	0.97324369	-49.5360033	-49.9933916	-51.5452405	-49.3617282	2.18351234	0	0	0	0	0	3
82	65	0	0.985259044	-49.6733183	-49.948822	-51.3747651	-49.3617282	2.01303695	0	0	0	0	0	3
83	65	0	0.997274398	-49.5308882	-49.9049202	-51.2631358	-49.3617282	1.90140761	0	0	0	0	0	3
84	66	0	1.00928975	-49.6685233	-49.8669532	-51.0005046	-49.3617282	1.63877645	1.9892662	0	100	0	0	3
85	67	0	1.02130511	-49.5484554	-49.8323806	-50.9291444	-49.3617282	1.56741622	1.9892662	0	100	0	0	3
86	68	0	1.03332046	-49.6986159	-49.8030823	-50.6014628	-49.3617282	1.2397346	1.9892662	0	100	0	0	3
87	68	0	1.04533582	-49.5387847	-49.7777804	-50.5797106	-49.3617282	1.21798244	1.9892662	0	100	0	0	3
88	69	0	1.05735117	-49.6806263	-49.7563737	-50.4499692	-49.3617282	1.08824106	1.9892662	0	100	0	0	3
89	70	0	1.06936652	-49.5528852	-49.7371961	-50.4499692	-49.3617282	1.08824106	1.9892662	0	100	0	0	3
