Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120153542	-6982.94533	-6982.94533	-6982.94533	-6982.94533	0	0	0	0	0	0	3
2	4	0	0.0240307084	-1194.57608	-4088.76071	-6982.94533	-1194.57608	2894.18463	0	0	0	0	0	3
3	5	0	0.0360460626	-528.906286	-2902.14257	-6982.94533	-528.906286	4080.80277	0	0	0	0	0	3
4	6	0	0.0480614168	-351.302532	-2264.43256	-6982.94533	-351.302532	4718.51278	0	0	0	0	0	3
5	6	0	0.060076771	-303.958703	-1872.33779	-6982.94533	-303.958703	5110.60755	0	0	0	0	0	3
6	7	0	0.0720921252	-201.563643	-1593.87543	-6982.94533	-201.563643	5389.0699	0	0	0	0	0	3
7	8	0	0.0841074794	-185.1191	-1392.62453	-6982.94533	-185.1191	5590.32081	0	0	0	0	0	3
8	8	0	0.0961228336	-103.42351	-1231.4744	-6982.94533	-103.42351	5751.47094	0	0	0	0	0	3
9	9	0	0.108138188	-124.175964	-1108.44124	-6982.94533	-103.42351	5874.5041	0	0	0	0	0	3
10	10	0	0.120153542	-71.5525067	-1004.75237	-6982.94533	-71.5525067	5978.19297	0	0	0	0	0	3
11	10	0	0.132168896	-128.157163	-925.061893	-6982.94533	-71.5525067	6057.88344	0	0	0	0	0	3
12	11	0	0.14418425	-87.06175	-855.228548	-6982.94533	-71.5525067	6127.71679	0	0	0	0	0	3
13	12	0	0.156199605	-162.560334	-801.946377	-6982.94533	-71.5525067	6180.99896	0	0	0	0	0	3
14	12	0	0.168214959	-109.3575	-752.475743	-6982.94533	-71.5525067	6230.46959	0	0	0	0	0	3
15	13	0	0.180230313	-177.881114	-714.169435	-6982.94533	-71.5525067	6268.7759	0	0	0	0	0	3
16	14	0	0.192245667	-123.222781	-677.235269	-6982.94533	-71.5525067	6305.71007	0	0	0	0	0	3
17	15	0	0.204261021	-173.558753	-647.607238	-6982.94533	-71.5525067	6335.3381	0	0	0	0	0	3
18	15	0	0.216276376	-133.271442	-619.033028	-6982.94533	-71.5525067	6363.91231	0	0	0	0	0	3
19	16	0	0.22829173	-163.554111	-595.060453	-6982.94533	-71.5525067	6387.88488	0	0	0	0	0	3
20	17	0	0.240307084	-141.419572	-572.378409	-6982.94533	-71.5525067	6410.56693	0	0	0	0	0	3
21	17	0	0.252322438	-157.329101	-552.614156	-6982.94533	-71.5525067	6430.33118	0	0	0	0	0	3
22	18	0	0.264337792	-147.178385	-534.185257	-6982.94533	-71.5525067	6448.76008	0	0	0	0	0	3
23	19	0	0.276353147	-153.210786	-517.62115	-6982.94533	-71.5525067	6465.32418	0	0	0	0	0	3
24	20	0	0.288368501	-150.250552	-502.314042	-6982.94533	-71.5525067	6480.63129	0	0	0	0	0	3
25	20	0	0.300383855	-149.369163	-488.196247	-6982.94533	-71.5525067	6494.74909	0	0	0	0	0	3
