Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120153542	2765.17832	2765.17832	2765.17832	2765.17832	0	0	0	0	0	0	3
2	4	0	0.0240307084	355.917492	1560.54791	355.917492	2765.17832	1204.63042	0	0	0	0	0	3
3	5	0	0.0360460626	160.478071	1093.85796	160.478071	2765.17832	1671.32036	0	0	0	0	0	3
4	6	0	0.0480614168	75.2125868	839.196618	75.2125868	2765.17832	1925.98171	0	0	0	0	0	3
5	6	0	0.060076771	128.697808	697.096856	75.2125868	2765.17832	2068.08147	0	0	0	0	0	3
6	7	0	0.0720921252	86.2927342	595.296169	75.2125868	2765.17832	2169.88215	0	0	0	0	0	3
7	8	0	0.0841074794	98.1002871	524.268186	75.2125868	2765.17832	2240.91014	0	0	0	0	0	3
8	8	0	0.0961228336	86.9831819	469.607561	75.2125868	2765.17832	2295.57076	0	0	0	0	0	3
9	9	0	0.108138188	100.756659	428.624127	75.2125868	2765.17832	2336.5542	0	0	0	0	0	3
10	10	0	0.120153542	80.5192374	393.813638	75.2125868	2765.17832	2371.36469	0	0	0	0	0	3
11	10	0	0.132168896	91.546758	366.334831	75.2125868	2765.17832	2398.84349	0	0	0	0	0	3
12	11	0	0.14418425	82.534794	342.684828	75.2125868	2765.17832	2422.4935	0	0	0	0	0	3
13	12	0	0.156199605	86.8932255	323.008551	75.2125868	2765.17832	2442.16977	0	0	0	0	0	3
14	12	0	0.168214959	79.3858448	305.606929	75.2125868	2765.17832	2459.5714	0	0	0	0	0	3
15	13	0	0.180230313	83.1290789	290.775072	75.2125868	2765.17832	2474.40325	0	0	0	0	0	3
16	14	0	0.192245667	82.8966862	277.782673	75.2125868	2765.17832	2487.39565	0	0	0	0	0	3
17	15	0	0.204261021	81.1729808	266.217397	75.2125868	2765.17832	2498.96093	0	0	0	0	0	3
18	15	0	0.216276376	82.6873423	256.021283	75.2125868	2765.17832	2509.15704	0	0	0	0	0	3
19	16	0	0.22829173	78.0616988	246.654989	75.2125868	2765.17832	2518.52333	0	0	0	0	0	3
20	17	0	0.240307084	82.5899382	238.451736	75.2125868	2765.17832	2526.72659	0	0	0	0	0	3
21	17	0	0.252322438	78.6700434	230.843084	75.2125868	2765.17832	2534.33524	0	0	0	0	0	3
22	18	0	0.264337792	81.6723896	224.062598	75.2125868	2765.17832	2541.11573	0	0	0	0	0	3
23	19	0	0.276353147	76.4795479	217.645944	75.2125868	2765.17832	2547.53238	0	0	0	0	0	3
24	20	0	0.288368501	79.2947131	211.881309	75.2125868	2765.17832	2553.29701	0	0	0	0	0	3
25	20	0	0.300383855	76.6880405	206.473578	75.2125868	2765.17832	2558.70475	0	0	0	0	0	3
26	21	0	0.312399209	78.7094854	201.559575	75.2125868	2765.17832	2563.61875	0	0	0	0	0	3
27	22	0	0.324414563	75.9411603	196.907041	75.2125868	2765.17832	2568.27128	0	0	0	0	0	3
28	23	0	0.336429918	77.6652453	192.648405	75.2125868	2765.17832	2572.52992	0	0	0	0	0	3
29	23	0	0.348445272	76.2246845	188.633794	75.2125868	2765.17832	2576.54453	0	0	0	0	0	3
30	24	0	0.360460626	78.8675474	184.97492	75.2125868	2765.17832	2580.2034	0	0	0	0	0	3
