Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120153542	2377.45983	2377.45983	2377.45983	2377.45983	0	0	0	0	0	0	3
2	4	0	0.0240307084	158.218718	1267.83927	158.218718	2377.45983	1109.62055	0	0	0	0	0	3
3	5	0	0.0360460626	66.2085792	867.295708	66.2085792	2377.45983	1510.16412	0	0	0	0	0	3
4	6	0	0.0480614168	21.0477163	655.73371	21.0477163	2377.45983	1721.72612	0	0	0	0	0	3
5	6	0	0.060076771	16.1587698	527.818722	16.1587698	2377.45983	1849.6411	0	0	0	0	0	3
6	7	0	0.0720921252	-37.722993	433.561769	-37.722993	2377.45983	1943.89806	0	0	0	0	0	3
7	8	0	0.0841074794	-39.9420632	365.918365	-39.9420632	2377.45983	2011.54146	0	0	0	0	0	3
8	8	0	0.0961228336	-70.9081276	311.315053	-70.9081276	2377.45983	2066.14477	0	0	0	0	0	3
9	9	0	0.108138188	-58.4728166	270.227512	-70.9081276	2377.45983	2107.23231	0	0	0	0	0	3
10	10	0	0.120153542	-87.8336273	234.421398	-87.8336273	2377.45983	2143.03843	0	0	0	0	0	3
11	10	0	0.132168896	-64.7233288	207.226423	-87.8336273	2377.45983	2170.2334	0	0	0	0	0	3
12	11	0	0.14418425	-85.2782862	182.851031	-87.8336273	2377.45983	2194.6088	0	0	0	0	0	3
13	12	0	0.156199605	-55.2288438	164.537194	-87.8336273	2377.45983	2212.92263	0	0	0	0	0	3
14	12	0	0.168214959	-80.896233	147.006235	-87.8336273	2377.45983	2230.45359	0	0	0	0	0	3
15	13	0	0.180230313	-52.1552951	133.7288	-87.8336273	2377.45983	2243.73103	0	0	0	0	0	3
16	14	0	0.192245667	-76.2609814	120.604438	-87.8336273	2377.45983	2256.85539	0	0	0	0	0	3
17	15	0	0.204261021	-54.6184852	110.297208	-87.8336273	2377.45983	2267.16262	0	0	0	0	0	3
18	15	0	0.216276376	-74.3366412	100.039771	-87.8336273	2377.45983	2277.42005	0	0	0	0	0	3
19	16	0	0.22829173	-60.3689972	91.5972047	-87.8336273	2377.45983	2285.86262	0	0	0	0	0	3
20	17	0	0.240307084	-69.9435351	83.5201677	-87.8336273	2377.45983	2293.93966	0	0	0	0	0	3
21	17	0	0.252322438	-63.1555273	76.5356108	-87.8336273	2377.45983	2300.92421	0	0	0	0	0	3
22	18	0	0.264337792	-68.3601133	69.9494415	-87.8336273	2377.45983	2307.51038	0	0	0	0	0	3
23	19	0	0.276353147	-66.4761843	64.0178926	-87.8336273	2377.45983	2313.44193	0	0	0	0	0	3
24	20	0	0.288368501	-66.6697696	58.5725733	-87.8336273	2377.45983	2318.88725	0	0	0	0	0	3
25	20	0	0.300383855	-67.1069444	53.5453926	-87.8336273	2377.45983	2323.91443	0	0	0	0	0	3
26	21	0	0.312399209	-66.7953023	48.9169043	-87.8336273	2377.45983	2328.54292	0	0	0	0	0	3
27	22	0	0.324414563	-67.4654391	44.6064472	-87.8336273	2377.45983	2332.85338	0	0	0	0	0	3
28	23	0	0.336429918	-65.2998994	40.6812205	-87.8336273	2377.45983	2336.77861	0	0	0	0	0	3
29	23	0	0.348445272	-64.5008004	37.0542543	-87.8336273	2377.45983	2340.40557	0	0	0	0	0	3
