Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120153542	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0240307084	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0360460626	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0480614168	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.060076771	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0720921252	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.0841074794	0	0	0	0	0	0	0	0	0	0	3
8	8	0	0.0961228336	0	0	0	0	0	0	0	0	0	0	3
9	9	0	0.108138188	0	0	0	0	0	0	0	0	0	0	3
10	10	0	0.120153542	0	0	0	0	0	0	0	0	0	0	3
11	10	0	0.132168896	0	0	0	0	0	0	0	0	0	0	3
12	11	0	0.14418425	0	0	0	0	0	0	0	0	0	0	3
13	12	0	0.156199605	0	0	0	0	0	0	0	0	0	0	3
14	12	0	0.168214959	0	0	0	0	0	0	0	0	0	0	3
15	13	0	0.180230313	0	0	0	0	0	0	0	0	0	0	3
16	14	0	0.192245667	0	0	0	0	0	0	0	0	0	0	3
17	15	0	0.204261021	0	0	0	0	0	0	0	0	0	0	3
18	15	0	0.216276376	0	0	0	0	0	0	0	0	0	0	3
19	16	0	0.22829173	0	0	0	0	0	0	0	0	0	0	3
20	17	0	0.240307084	0	0	0	0	0	0	0	0	0	0	3
21	17	0	0.252322438	0	0	0	0	0	0	0	0	0	0	3
22	18	0	0.264337792	0	0	0	0	0	0	0	0	0	0	3
23	19	0	0.276353147	0	0	0	0	0	0	0	0	0	0	3
24	20	0	0.288368501	0	0	0	0	0	0	0	0	0	0	3
25	20	0	0.300383855	0	0	0	0	0	0	0	0	0	0	3
26	21	0	0.312399209	0	0	0	0	0	0	0	0	0	0	3
27	22	0	0.324414563	0	0	0	0	0	0	0	0	0	0	3
28	23	0	0.336429918	0	0	0	0	0	0	0	0	0	0	3
29	23	0	0.348445272	0	0	0	0	0	0	0	0	0	0	3
30	24	0	0.360460626	0	0	0	0	0	0	0	0	0	0	3
31	25	0	0.37247598	0	0	0	0	0	0	0	0	0	0	3
32	25	0	0.384491334	0	0	0	0	0	0	0	0	0	0	3
33	26	0	0.396506688	0	0	0	0	0	0	0	0	0	0	3
34	27	0	0.408522043	0	0	0	0	0	0	0	0	0	0	3
35	28	0	0.420537397	0	0	0	0	0	0	0	0	0	0	3
36	29	0	0.432552751	0	0	0	0	0	0	0	0	0	0	3
37	29	0	0.444568105	0	0	0	0	0	0	0	0	0	0	3
38	30	0	0.456583459	0	0	0	0	0	0	0	0	0	0	3
39	31	0	0.468598814	0	0	0	0	0	0	0	0	0	0	3
40	32	0	0.480614168	0	0	0	0	0	0	0	0	0	0	3
41	33	0	0.492629522	0	0	0	0	0	0	0	0	0	0	3
42	33	0	0.504644876	0	0	0	0	0	0	0	0	0	0	3
43	34	0	0.51666023	0	0	0	0	0	0	0	0	0	0	3
44	35	0	0.528675585	0	0	0	0	0	0	0	0	0	0	3
45	36	0	0.540690939	0	0	0	0	0	0	0	0	0	0	3
46	37	0	0.552706293	0	0	0	0	0	0	0	0	0	0	3
47	37	0	0.564721647	0	0	0	0	0	0	0	0	0	0	3
