Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120153542	101326.736	101326.736	101326.736	101326.736	0	0	0	0	0	0	3
2	4	0	0.0240307084	101324.985	101325.861	101324.985	101326.736	0.875380835	0	0	0	0	0	3
3	5	0	0.0360460626	101325.104	101325.609	101324.985	101326.736	1.12770237	0	0	0	0	0	3
4	6	0	0.0480614168	101325.047	101325.468	101324.985	101326.736	1.26800099	0	0	0	0	0	3
5	6	0	0.060076771	101325.067	101325.388	101324.985	101326.736	1.34821834	0	0	0	0	0	3
6	7	0	0.0720921252	101325.041	101325.33	101324.985	101326.736	1.40602932	0	0	0	0	0	3
7	8	0	0.0841074794	101325.073	101325.293	101324.985	101326.736	1.44274822	0	0	0	0	0	3
8	8	0	0.0961228336	101325.046	101325.263	101324.985	101326.736	1.47371497	0	0	0	0	0	3
9	9	0	0.108138188	101325.074	101325.242	101324.985	101326.736	1.4946783	0	0	0	0	0	3
10	10	0	0.120153542	101325.043	101325.222	101324.985	101326.736	1.51452654	0	0	0	0	0	3
11	10	0	0.132168896	101325.069	101325.208	101324.985	101326.736	1.52839474	0	0	0	0	0	3
12	11	0	0.14418425	101325.039	101325.194	101324.985	101326.736	1.54243301	0	0	0	0	0	3
13	12	0	0.156199605	101325.066	101325.184	101324.985	101326.736	1.55227938	0	0	0	0	0	3
14	12	0	0.168214959	101325.035	101325.173	101324.985	101326.736	1.56295273	0	0	0	0	0	3
15	13	0	0.180230313	101325.063	101325.166	101324.985	101326.736	1.57032545	0	0	0	0	0	3
16	14	0	0.192245667	101325.033	101325.158	101324.985	101326.736	1.57865105	0	0	0	0	0	3
17	15	0	0.204261021	101325.05	101325.151	101324.985	101326.736	1.58497495	0	0	0	0	0	3
18	15	0	0.216276376	101325.033	101325.145	101324.985	101326.736	1.5915721	0	0	0	0	0	3
19	16	0	0.22829173	101325.043	101325.139	101324.985	101326.736	1.59693215	0	0	0	0	0	3
20	17	0	0.240307084	101325.036	101325.134	101324.985	101326.736	1.60209083	0	0	0	0	0	3
21	17	0	0.252322438	101325.042	101325.13	101324.985	101326.736	1.60648216	0	0	0	0	0	3
22	18	0	0.264337792	101325.041	101325.126	101324.985	101326.736	1.61051869	0	0	0	0	0	3
23	19	0	0.276353147	101325.04	101325.122	101324.985	101326.736	1.61422492	0	0	0	0	0	3
24	20	0	0.288368501	101325.039	101325.119	101324.985	101326.736	1.61769223	0	0	0	0	0	3
25	20	0	0.300383855	101325.037	101325.115	101324.985	101326.736	1.62096982	0	0	0	0	0	3
26	21	0	0.312399209	101325.034	101325.112	101324.985	101326.736	1.62410187	0	0	0	0	0	3
27	22	0	0.324414563	101325.026	101325.109	101324.985	101326.736	1.62728939	0	0	0	0	0	3
28	23	0	0.336429918	101325.016	101325.106	101324.985	101326.736	1.63061464	0	0	0	0	0	3
29	23	0	0.348445272	101325.008	101325.102	101324.985	101326.736	1.63397975	0	0	0	0	0	3
30	24	0	0.360460626	101325.002	101325.099	101324.985	101326.736	1.63732138	0	0	0	0	0	3
31	25	0	0.37247598	101324.996	101325.096	101324.985	101326.736	1.64063353	0	0	0	0	0	3
32	25	0	0.384491334	101324.992	101325.092	101324.985	101326.736	1.64387968	0	0	0	0	0	3
33	26	0	0.396506688	101324.989	101325.089	101324.985	101326.736	1.64700761	0	0	0	0	0	3
34	27	0	0.408522043	101324.989	101325.086	101324.985	101326.736	1.64994154	0	0	0	0	0	3
35	28	0	0.420537397	101324.99	101325.084	101324.985	101326.736	1.65267968	0	0	0	0	0	3
36	29	0	0.432552751	101324.993	101325.081	101324.985	101326.736	1.65520312	0	0	0	0	0	3
