Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120153542	293.19999	293.19999	293.19999	293.19999	0	0	0	0	0	0	3
2	4	0	0.0240307084	293.199971	293.19998	293.199971	293.19999	9.25534914e-06	0	0	0	0	0	3
3	5	0	0.0360460626	293.199969	293.199977	293.199969	293.19999	1.30048284e-05	0	0	0	0	0	3
4	6	0	0.0480614168	293.199964	293.199974	293.199964	293.19999	1.61038989e-05	0	0	0	0	0	3
5	6	0	0.060076771	293.19996	293.199971	293.19996	293.19999	1.88490703e-05	0	0	0	0	0	3
6	7	0	0.0720921252	293.199951	293.199968	293.199951	293.19999	2.20708969e-05	0	0	0	0	0	3
7	8	0	0.0841074794	293.199942	293.199964	293.199942	293.19999	2.57012625e-05	0	0	0	0	0	3
8	8	0	0.0961228336	293.199933	293.19996	293.199933	293.19999	2.96234256e-05	0	0	0	0	0	3
9	9	0	0.108138188	293.199924	293.199956	293.199924	293.19999	3.36417856e-05	0	0	0	0	0	3
10	10	0	0.120153542	293.199915	293.199952	293.199915	293.19999	3.77070364e-05	0	0	0	0	0	3
11	10	0	0.132168896	293.199907	293.199948	293.199907	293.19999	4.18159115e-05	0	0	0	0	0	3
12	11	0	0.14418425	293.199899	293.199944	293.199899	293.19999	4.59126181e-05	0	0	0	0	0	3
13	12	0	0.156199605	293.199891	293.19994	293.199891	293.19999	4.99577791e-05	0	0	0	0	0	3
14	12	0	0.168214959	293.199884	293.199936	293.199884	293.19999	5.39339426e-05	0	0	0	0	0	3
15	13	0	0.180230313	293.199878	293.199932	293.199878	293.19999	5.77635306e-05	0	0	0	0	0	3
16	14	0	0.192245667	293.19987	293.199928	293.19987	293.19999	6.16186148e-05	0	0	0	0	0	3
17	15	0	0.204261021	293.199864	293.199924	293.199864	293.19999	6.53936314e-05	0	0	0	0	0	3
18	15	0	0.216276376	293.199858	293.199921	293.199858	293.19999	6.90841564e-05	0	0	0	0	0	3
