Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0120153542
2	4	0	0.0240307084
3	5	0	0.0360460626
4	6	0	0.0480614168
5	6	0	0.060076771
6	7	0	0.0720921252
7	8	0	0.0841074794
8	8	0	0.0961228336
9	9	0	0.108138188
10	10	0	0.120153542
11	10	0	0.132168896
12	11	0	0.14418425
13	12	0	0.156199605
14	12	0	0.168214959
15	13	0	0.180230313
16	14	0	0.192245667
17	15	0	0.204261021
18	15	0	0.216276376
19	16	0	0.22829173
20	17	0	0.240307084
21	17	0	0.252322438
22	18	0	0.264337792
23	19	0	0.276353147
24	20	0	0.288368501
25	20	0	0.300383855
26	21	0	0.312399209
27	22	0	0.324414563
28	23	0	0.336429918
29	23	0	0.348445272
30	24	0	0.360460626
31	25	0	0.37247598
32	25	0	0.384491334
33	26	0	0.396506688
34	27	0	0.408522043
35	28	0	0.420537397
36	29	0	0.432552751
37	29	0	0.444568105
38	30	0	0.456583459
39	31	0	0.468598814
40	32	0	0.480614168
41	33	0	0.492629522
42	33	0	0.504644876
43	34	0	0.51666023
44	35	0	0.528675585
45	36	0	0.540690939
46	37	0	0.552706293
47	37	0	0.564721647
48	38	0	0.576737001
49	39	0	0.588752356
50	40	0	0.60076771
51	41	0	0.612783064
52	41	0	0.624798418
53	42	0	0.636813772
54	43	0	0.648829127
55	44	0	0.660844481
56	44	0	0.672859835
57	45	0	0.684875189
58	46	0	0.696890543
59	47	0	0.708905898
60	48	0	0.720921252
61	48	0	0.732936606
62	49	0	0.74495196
63	50	0	0.756967314
64	51	0	0.768982669
65	52	0	0.780998023
66	53	0	0.793013377
67	54	0	0.805028731
68	54	0	0.817044085
69	55	0	0.82905944
70	56	0	0.841074794
71	57	0	0.853090148
72	57	0	0.865105502
73	58	0	0.877120856
74	59	0	0.889136211
75	60	0	0.901151565
76	60	0	0.913166919
77	61	0	0.925182273
78	62	0	0.937197627
79	62	0	0.949212982
80	63	0	0.961228336
81	64	0	0.97324369
82	65	0	0.985259044
83	65	0	0.997274398
84	66	0	1.00928975
85	67	0	1.02130511
86	68	0	1.03332046
87	68	0	1.04533582
88	69	0	1.05735117
89	70	0	1.06936652
