Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0120156321	937.50179	937.50179	937.50179	937.50179	0	0	0	0	0	0	3
2	2	0	0.0240312642	116.113393	526.807591	116.113393	937.50179	410.694198	0	0	0	0	0	3
3	2	0	0.0360468963	46.3686506	366.661278	46.3686506	937.50179	570.840512	0	0	0	0	0	3
4	2	0	0.0480625284	4.80295111	276.196696	4.80295111	937.50179	661.305094	0	0	0	0	0	3
5	2	0	0.0600781605	-3.01335164	220.354687	-3.01335164	937.50179	717.147103	0	0	0	0	0	3
6	2	0	0.0720937926	-18.8285405	180.490815	-18.8285405	937.50179	757.010974	0	0	0	0	0	3
7	2	0	0.0841094248	-13.4286043	152.788041	-18.8285405	937.50179	784.713749	0	0	0	0	0	3
8	3	0	0.0961250569	-24.4002374	130.639506	-24.4002374	937.50179	806.862283	0	0	0	0	0	3
9	3	0	0.108140689	-14.1272887	114.554307	-24.4002374	937.50179	822.947483	0	0	0	0	0	3
10	3	0	0.120156321	-25.6725433	100.531622	-25.6725433	937.50179	836.970168	0	0	0	0	0	3
11	3	0	0.132171953	-15.2072724	90.0099042	-25.6725433	937.50179	847.491886	0	0	0	0	0	3
12	3	0	0.144187585	-23.5976474	80.5426082	-25.6725433	937.50179	856.959182	0	0	0	0	0	3
13	4	0	0.156203217	-13.6007206	73.3008137	-25.6725433	937.50179	864.200976	0	0	0	0	0	3
14	4	0	0.16821885	-16.9015947	66.8577845	-25.6725433	937.50179	870.644005	0	0	0	0	0	3
15	4	0	0.180234482	-13.2602188	61.5165843	-25.6725433	937.50179	875.985205	0	0	0	0	0	3
16	4	0	0.192250114	-15.3558847	56.712055	-25.6725433	937.50179	880.789735	0	0	0	0	0	3
17	4	0	0.204265746	-10.9536651	52.7317185	-25.6725433	937.50179	884.770071	0	0	0	0	0	3
18	5	0	0.216281378	-12.1807214	49.1254719	-25.6725433	937.50179	888.376318	0	0	0	0	0	3
19	5	0	0.22829701	-11.2211581	45.9493334	-25.6725433	937.50179	891.552456	0	0	0	0	0	3
20	5	0	0.240312642	-11.745479	43.0645928	-25.6725433	937.50179	894.437197	0	0	0	0	0	3
21	5	0	0.252328274	-12.3778445	40.4244768	-25.6725433	937.50179	897.077313	0	0	0	0	0	3
22	5	0	0.264343906	-8.30573754	38.209467	-25.6725433	937.50179	899.292323	0	0	0	0	0	3
23	6	0	0.276359538	-9.60961935	36.1303763	-25.6725433	937.50179	901.371413	0	0	0	0	0	3
24	6	0	0.288375171	-7.71379804	34.3035357	-25.6725433	937.50179	903.198254	0	0	0	0	0	3
25	6	0	0.300390803	-6.57007157	32.6685914	-25.6725433	937.50179	904.833198	0	0	0	0	0	3
26	6	0	0.312406435	-3.94243582	31.260475	-25.6725433	937.50179	906.241315	0	0	0	0	0	3
27	7	0	0.324422067	-7.39978156	29.8286136	-25.6725433	937.50179	907.673176	0	0	0	0	0	3
28	7	0	0.336437699	-8.85158248	28.4471781	-25.6725433	937.50179	909.054612	0	0	0	0	0	3
29	7	0	0.348453331	-6.3410879	27.2475827	-25.6725433	937.50179	910.254207	0	0	0	0	0	3
30	7	0	0.360468963	-8.20031586	26.0659861	-25.6725433	937.50179	911.435804	0	0	0	0	0	3
31	7	0	0.372484595	-6.98460921	24.9998378	-25.6725433	937.50179	912.501952	0	0	0	0	0	3
32	8	0	0.384500227	-9.29812745	23.9280264	-25.6725433	937.50179	913.573763	0	0	0	0	0	3
33	8	0	0.39651586	-8.07843602	22.9581336	-25.6725433	937.50179	914.543656	0	0	0	0	0	3
34	8	0	0.408531492	-8.39268623	22.0360507	-25.6725433	937.50179	915.465739	0	0	0	0	0	3
35	8	0	0.420547124	-6.9938466	21.206625	-25.6725433	937.50179	916.295165	0	0	0	0	0	3
36	9	0	0.432562756	-8.29770439	20.3870603	-25.6725433	937.50179	917.114729	0	0	0	0	0	3
37	9	0	0.444578388	-9.48138593	19.579805	-25.6725433	937.50179	917.921985	0	0	0	0	0	3
38	9	0	0.45659402	-9.32361622	18.8191887	-25.6725433	937.50179	918.682601	0	0	0	0	0	3
39	9	0	0.468609652	-9.23653334	18.0998112	-25.6725433	937.50179	919.401979	0	0	0	0	0	3
40	10	0	0.480625284	-8.47929781	17.4353335	-25.6725433	937.50179	920.066456	0	0	0	0	0	3
41	10	0	0.492640916	-5.88459167	16.8665548	-25.6725433	937.50179	920.635235	0	0	0	0	0	3
42	10	0	0.504656549	-5.18465795	16.3415259	-25.6725433	937.50179	921.160264	0	0	0	0	0	3
43	10	0	0.516672181	-4.24278486	-6.08096394	-25.6725433	116.113393	141.785936	0	0	0	0	0	3
44	11	0	0.528687813	-4.87210901	-8.96157113	-25.6725433	46.3686506	72.041194	0	0	0	0	0	3
45	11	0	0.540703445	-3.7966041	-10.155982	-25.6725433	4.80295111	30.4754944	0	0	0	0	0	3
46	11	0	0.552719077	-4.61307643	-10.3801731	-25.6725433	-3.01335164	22.6591917	0	0	0	0	0	3
