Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0120156321	-2333.3068	-2333.3068	-2333.3068	-2333.3068	0	0	0	0	0	0	3
2	3	0	0.0240312642	-287.996057	-1310.65143	-2333.3068	-287.996057	1022.65537	0	0	0	0	0	3
3	3	0	0.0360468963	-128.465229	-916.589361	-2333.3068	-128.465229	1416.71744	0	0	0	0	0	3
4	3	0	0.0480625284	-54.3187824	-701.021716	-2333.3068	-54.3187824	1632.28508	0	0	0	0	0	3
5	4	0	0.0600781605	-81.726049	-577.162583	-2333.3068	-54.3187824	1756.14421	0	0	0	0	0	3
6	4	0	0.0720937926	-56.4307994	-490.373952	-2333.3068	-54.3187824	1842.93284	0	0	0	0	0	3
7	5	0	0.0841094248	-63.8160033	-429.437102	-2333.3068	-54.3187824	1903.86969	0	0	0	0	0	3
8	5	0	0.0961250569	-52.2334619	-382.286647	-2333.3068	-52.2334619	1951.02015	0	0	0	0	0	3
9	6	0	0.108140689	-54.7872019	-345.89782	-2333.3068	-52.2334619	1987.40898	0	0	0	0	0	3
10	6	0	0.120156321	-49.0131771	-316.209356	-2333.3068	-49.0131771	2017.09744	0	0	0	0	0	3
11	7	0	0.132171953	-50.0691519	-292.014792	-2333.3068	-49.0131771	2041.292	0	0	0	0	0	3
12	7	0	0.144187585	-47.5791753	-271.645157	-2333.3068	-47.5791753	2061.66164	0	0	0	0	0	3
13	8	0	0.156203217	-48.818932	-254.504678	-2333.3068	-47.5791753	2078.80212	0	0	0	0	0	3
14	8	0	0.16821885	-46.7911929	-239.668001	-2333.3068	-46.7911929	2093.6388	0	0	0	0	0	3
15	8	0	0.180234482	-47.2548142	-226.840455	-2333.3068	-46.7911929	2106.46634	0	0	0	0	0	3
16	9	0	0.192250114	-45.8145229	-215.526334	-2333.3068	-45.8145229	2117.78046	0	0	0	0	0	3
17	9	0	0.204265746	-45.2734633	-205.511459	-2333.3068	-45.2734633	2127.79534	0	0	0	0	0	3
18	9	0	0.216281378	-43.7820333	-196.526491	-2333.3068	-43.7820333	2136.78031	0	0	0	0	0	3
19	10	0	0.22829701	-43.6413927	-188.479907	-2333.3068	-43.6413927	2144.82689	0	0	0	0	0	3
20	10	0	0.240312642	-43.1378109	-181.212802	-2333.3068	-43.1378109	2152.09399	0	0	0	0	0	3
21	10	0	0.252328274	-42.8558361	-174.624375	-2333.3068	-42.8558361	2158.68242	0	0	0	0	0	3
22	11	0	0.264343906	-42.1776841	-168.604071	-2333.3068	-42.1776841	2164.70273	0	0	0	0	0	3
23	11	0	0.276359538	-41.9011853	-163.09525	-2333.3068	-41.9011853	2170.21155	0	0	0	0	0	3
24	12	0	0.288375171	-41.5839285	-158.032278	-2333.3068	-41.5839285	2175.27452	0	0	0	0	0	3
25	12	0	0.300390803	-41.4687149	-153.369736	-2333.3068	-41.4687149	2179.93706	0	0	0	0	0	3
26	13	0	0.312406435	-40.9996934	-149.047811	-2333.3068	-40.9996934	2184.25899	0	0	0	0	0	3
27	14	0	0.324422067	-40.4623075	-145.026126	-2333.3068	-40.4623075	2188.28067	0	0	0	0	0	3
28	14	0	0.336437699	-40.5411954	-141.294521	-2333.3068	-40.4623075	2192.01228	0	0	0	0	0	3
29	14	0	0.348453331	-40.2623997	-137.810655	-2333.3068	-40.2623997	2195.49614	0	0	0	0	0	3
30	15	0	0.360468963	-39.9414162	-134.548347	-2333.3068	-39.9414162	2198.75845	0	0	0	0	0	3
31	15	0	0.372484595	-39.7432472	-131.490118	-2333.3068	-39.7432472	2201.81668	0	0	0	0	0	3
32	15	0	0.384500227	-39.5659613	-128.617488	-2333.3068	-39.5659613	2204.68931	0	0	0	0	0	3
