Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0120396291	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.0240792581	0	0	0	0	0	0	0	0	0	0	3
3	1	0	0.0361188872	0	0	0	0	0	0	0	0	0	0	3
4	1	0	0.0481585162	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.0601981453	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.0722377744	0	0	0	0	0	0	0	0	0	0	3
7	2	0	0.0842774034	0	0	0	0	0	0	0	0	0	0	3
8	2	0	0.0963170325	0	0	0	0	0	0	0	0	0	0	3
9	2	0	0.108356662	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.120396291	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.13243592	0	0	0	0	0	0	0	0	0	0	3
12	3	0	0.144475549	0	0	0	0	0	0	0	0	0	0	3
13	3	0	0.156515178	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.168554807	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.180594436	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.192634065	0	0	0	0	0	0	0	0	0	0	3
17	4	0	0.204673694	0	0	0	0	0	0	0	0	0	0	3
18	4	0	0.216713323	0	0	0	0	0	0	0	0	0	0	3
19	5	0	0.228752952	0	0	0	0	0	0	0	0	0	0	3
20	5	0	0.240792581	0	0	0	0	0	0	0	0	0	0	3
21	5	0	0.25283221	0	0	0	0	0	0	0	0	0	0	3
22	5	0	0.264871839	0	0	0	0	0	0	0	0	0	0	3
23	5	0	0.276911468	0	0	0	0	0	0	0	0	0	0	3
24	6	0	0.288951097	0	0	0	0	0	0	0	0	0	0	3
25	6	0	0.300990726	0	0	0	0	0	0	0	0	0	0	3
26	6	0	0.313030356	0	0	0	0	0	0	0	0	0	0	3
27	6	0	0.325069985	0	0	0	0	0	0	0	0	0	0	3
28	7	0	0.337109614	0	0	0	0	0	0	0	0	0	0	3
29	7	0	0.349149243	0	0	0	0	0	0	0	0	0	0	3
30	7	0	0.361188872	0	0	0	0	0	0	0	0	0	0	3
31	7	0	0.373228501	0	0	0	0	0	0	0	0	0	0	3
32	8	0	0.38526813	0	0	0	0	0	0	0	0	0	0	3
33	8	0	0.397307759	0	0	0	0	0	0	0	0	0	0	3
34	8	0	0.409347388	0	0	0	0	0	0	0	0	0	0	3
35	8	0	0.421387017	0	0	0	0	0	0	0	0	0	0	3
36	9	0	0.433426646	0	0	0	0	0	0	0	0	0	0	3
37	9	0	0.445466275	0	0	0	0	0	0	0	0	0	0	3
38	9	0	0.457505904	0	0	0	0	0	0	0	0	0	0	3
39	9	0	0.469545533	0	0	0	0	0	0	0	0	0	0	3
40	10	0	0.481585162	0	0	0	0	0	0	0	0	0	0	3
41	10	0	0.493624791	0	0	0	0	0	0	0	0	0	0	3
42	10	0	0.50566442	0	0	0	0	0	0	0	0	0	0	3
43	10	0	0.51770405	0	0	0	0	0	0	0	0	0	0	3
44	11	0	0.529743679	0	0	0	0	0	0	0	0	0	0	3
45	11	0	0.541783308	0	0	0	0	0	0	0	0	0	0	3
46	11	0	0.553822937	0	0	0	0	0	0	0	0	0	0	3
47	11	0	0.565862566	0	0	0	0	0	0	0	0	0	0	3
48	12	0	0.577902195	0	0	0	0	0	0	0	0	0	0	3
49	12	0	0.589941824	0	0	0	0	0	0	0	0	0	0	3
50	12	0	0.601981453	0	0	0	0	0	0	0	0	0	0	3
51	12	0	0.614021082	0	0	0	0	0	0	0	0	0	0	3
52	13	0	0.626060711	0	0	0	0	0	0	0	0	0	0	3
53	13	0	0.63810034	0	0	0	0	0	0	0	0	0	0	3
54	13	0	0.650139969	0	0	0	0	0	0	0	0	0	0	3
55	13	0	0.662179598	0	0	0	0	0	0	0	0	0	0	3
56	14	0	0.674219227	0	0	0	0	0	0	0	0	0	0	3
57	14	0	0.686258856	0	0	0	0	0	0	0	0	0	0	3
58	14	0	0.698298485	0	0	0	0	0	0	0	0	0	0	3
59	14	0	0.710338114	0	0	0	0	0	0	0	0	0	0	3
60	15	0	0.722377744	0	0	0	0	0	0	0	0	0	0	3
61	15	0	0.734417373	0	0	0	0	0	0	0	0	0	0	3
62	15	0	0.746457002	0	0	0	0	0	0	0	0	0	0	3
63	15	0	0.758496631	0	0	0	0	0	0	0	0	0	0	3
64	16	0	0.77053626	0	0	0	0	0	0	0	0	0	0	3
65	16	0	0.782575889	0	0	0	0	0	0	0	0	0	0	3
66	16	0	0.794615518	0	0	0	0	0	0	0	0	0	0	3
67	16	0	0.806655147	0	0	0	0	0	0	0	0	0	0	3
68	17	0	0.818694776	0	0	0	0	0	0	0	0	0	0	3
69	17	0	0.830734405	0	0	0	0	0	0	0	0	0	0	3
70	17	0	0.842774034	0	0	0	0	0	0	0	0	0	0	3
71	17	0	0.854813663	0	0	0	0	0	0	0	0	0	0	3
72	18	0	0.866853292	0	0	0	0	0	0	0	0	0	0	3
73	18	0	0.878892921	0	0	0	0	0	0	0	0	0	0	3
74	18	0	0.89093255	0	0	0	0	0	0	0	0	0	0	3
75	18	0	0.902972179	0	0	0	0	0	0	0	0	0	0	3
76	18	0	0.915011808	0	0	0	0	0	0	0	0	0	0	3
77	19	0	0.927051438	0	0	0	0	0	0	0	0	0	0	3
78	19	0	0.939091067	0	0	0	0	0	0	0	0	0	0	3
79	19	0	0.951130696	0	0	0	0	0	0	0	0	0	0	3
80	19	0	0.963170325	0	0	0	0	0	0	0	0	0	0	3
81	20	0	0.975209954	0	0	0	0	0	0	0	0	0	0	3
82	20	0	0.987249583	0	0	0	0	0	0	0	0	0	0	3
83	20	0	0.999289212	0	0	0	0	0	0	0	0	0	0	3
84	20	0	1.01132884	0	0	0	0	0	5e-06	0	0	0	0	3
