Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0119920459	293.199988	293.199988	293.199988	293.199988	0	0	0	0	0	0	3
2	2	0	0.0239840919	293.19997	293.199979	293.19997	293.199988	8.83233486e-06	0	0	0	0	0	3
3	2	0	0.0359761378	293.199968	293.199975	293.199968	293.199988	1.2709427e-05	0	0	0	0	0	3
4	2	0	0.0479681837	293.199962	293.199972	293.199962	293.199988	1.61865213e-05	0	0	0	0	0	3
5	2	0	0.0599602296	293.199956	293.199969	293.199956	293.199988	1.93160249e-05	0	0	0	0	0	3
6	3	0	0.0719522756	293.199947	293.199965	293.199947	293.199988	2.30136826e-05	0	0	0	0	0	3
7	3	0	0.0839443215	293.199936	293.199961	293.199936	293.199988	2.72149411e-05	0	0	0	0	0	3
8	3	0	0.0959363674	293.199925	293.199956	293.199925	293.199988	3.17648351e-05	0	0	0	0	0	3
9	3	0	0.107928413	293.199914	293.199952	293.199914	293.199988	3.64490083e-05	0	0	0	0	0	3
10	3	0	0.119920459	293.199904	293.199947	293.199904	293.199988	4.1188277e-05	0	0	0	0	0	3
11	4	0	0.131912505	293.199893	293.199942	293.199893	293.199988	4.61121371e-05	0	0	0	0	0	3
12	4	0	0.143904551	293.199882	293.199937	293.199882	293.199988	5.11003248e-05	0	0	0	0	0	3
13	4	0	0.155896597	293.199873	293.199932	293.199873	293.199988	5.60482215e-05	0	0	0	0	0	3
14	4	0	0.167888643	293.199864	293.199927	293.199864	293.199988	6.09338469e-05	0	0	0	0	0	3
15	4	0	0.179880689	293.199856	293.199922	293.199856	293.199988	6.56952916e-05	0	0	0	0	0	3
16	5	0	0.191872735	293.199845	293.199918	293.199845	293.199988	7.05602791e-05	0	0	0	0	0	3
17	5	0	0.203864781	293.199835	293.199913	293.199835	293.199988	7.54279923e-05	0	0	0	0	0	3
18	5	0	0.215856827	293.199826	293.199908	293.199826	293.199988	8.0251312e-05	0	0	0	0	0	3
19	5	0	0.227848873	293.199818	293.199903	293.199818	293.199988	8.5007558e-05	0	0	0	0	0	3
20	5	0	0.239840919	293.199809	293.199898	293.199809	293.199988	8.97059028e-05	0	0	0	0	0	3
21	6	0	0.251832965	293.199797	293.199894	293.199797	293.199988	9.45551274e-05	0	0	0	0	0	3
22	6	0	0.26382501	293.199784	293.199889	293.199784	293.199988	9.95569279e-05	0	0	0	0	0	3
23	6	0	0.275817056	293.19977	293.199883	293.19977	293.199988	0.000104702257	0	0	0	0	0	3
24	6	0	0.287809102	293.199755	293.199878	293.199755	293.199988	0.000110052124	0	0	0	0	0	3
25	7	0	0.299801148	293.199739	293.199873	293.199739	293.199988	0.000115619366	0	0	0	0	0	3
26	7	0	0.311793194	293.199712	293.199866	293.199712	293.199988	0.000121803876	0	0	0	0	0	3
27	7	0	0.32378524	293.199681	293.199859	293.199681	293.199988	0.000128656154	0	0	0	0	0	3
28	7	0	0.335777286	293.199648	293.199852	293.199648	293.199988	0.000136220853	0	0	0	0	0	3
29	7	0	0.347769332	293.199612	293.199844	293.199612	293.199988	0.000144491471	0	0	0	0	0	3
30	8	0	0.359761378	293.199576	293.199835	293.199576	293.199988	0.000153424188	0	0	0	0	0	3
31	8	0	0.371753424	293.199521	293.199825	293.199521	293.199988	0.000163531348	0	0	0	0	0	3
32	8	0	0.38374547	293.199471	293.199814	293.199471	293.199988	0.000174585657	0	0	0	0	0	3
33	8	0	0.395737516	293.199426	293.199802	293.199426	293.199988	0.000186319006	0	0	0	0	0	3
34	9	0	0.407729562	293.199391	293.19979	293.199391	293.199988	0.000198416315	0	0	0	0	0	3
