Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119976212	1438.0975	1438.0975	1438.0975	1438.0975	0	0	0	0	0	0	3
2	2	0	0.0239952424	-76.6718267	680.712837	-76.6718267	1438.0975	757.384663	0	0	0	0	0	3
3	2	0	0.0359928636	-104.267949	419.052575	-104.267949	1438.0975	1019.04493	0	0	0	0	0	3
4	2	0	0.0479904848	-73.0358257	296.030475	-104.267949	1438.0975	1142.06703	0	0	0	0	0	3
5	2	0	0.0599881061	-61.2691662	224.570546	-104.267949	1438.0975	1213.52695	0	0	0	0	0	3
6	2	0	0.0719857273	-74.7018363	174.691816	-104.267949	1438.0975	1263.40568	0	0	0	0	0	3
7	3	0	0.0839833485	-81.8265949	138.046329	-104.267949	1438.0975	1300.05117	0	0	0	0	0	3
8	3	0	0.0959809697	-86.3610533	109.995406	-104.267949	1438.0975	1328.10209	0	0	0	0	0	3
9	3	0	0.107978591	-95.5398113	87.1581596	-104.267949	1438.0975	1350.93934	0	0	0	0	0	3
10	3	0	0.119976212	-99.6560419	68.4767394	-104.267949	1438.0975	1369.62076	0	0	0	0	0	3
11	3	0	0.131973833	-94.2813162	53.6805525	-104.267949	1438.0975	1384.41695	0	0	0	0	0	3
12	4	0	0.143971455	-101.753321	40.7277298	-104.267949	1438.0975	1397.36977	0	0	0	0	0	3
13	4	0	0.155969076	-96.0281842	30.2080441	-104.267949	1438.0975	1407.88946	0	0	0	0	0	3
14	4	0	0.167966697	-103.515068	20.6563932	-104.267949	1438.0975	1417.44111	0	0	0	0	0	3
15	4	0	0.179964318	-96.0241998	12.877687	-104.267949	1438.0975	1425.21981	0	0	0	0	0	3
16	4	0	0.191961939	-100.465895	5.79371317	-104.267949	1438.0975	1432.30379	0	0	0	0	0	3
17	5	0	0.203959561	-97.4897378	-0.281783951	-104.267949	1438.0975	1438.37928	0	0	0	0	0	3
18	5	0	0.215957182	-97.6890951	-5.69330123	-104.267949	1438.0975	1443.7908	0	0	0	0	0	3
19	5	0	0.227954803	-94.5762655	-10.371352	-104.267949	1438.0975	1448.46885	0	0	0	0	0	3
20	5	0	0.239952424	-96.9661123	-14.70109	-104.267949	1438.0975	1452.79859	0	0	0	0	0	3
21	5	0	0.251950045	-95.1682791	-18.5328609	-104.267949	1438.0975	1456.63036	0	0	0	0	0	3
22	6	0	0.263947667	-96.2421986	-22.0651035	-104.267949	1438.0975	1460.1626	0	0	0	0	0	3
23	6	0	0.275945288	-95.841712	-25.2727822	-104.267949	1438.0975	1463.37028	0	0	0	0	0	3
24	6	0	0.287942909	-95.4472909	-28.19672	-104.267949	1438.0975	1466.29422	0	0	0	0	0	3
25	6	0	0.29994053	-96.0133395	-30.9093848	-104.267949	1438.0975	1469.00688	0	0	0	0	0	3
26	6	0	0.311938152	-95.3151329	-33.386529	-104.267949	1438.0975	1471.48403	0	0	0	0	0	3
27	7	0	0.323935773	-94.734906	-35.6586911	-104.267949	1438.0975	1473.75619	0	0	0	0	0	3
28	7	0	0.335933394	-94.9424481	-37.7759681	-104.267949	1438.0975	1475.87347	0	0	0	0	0	3
29	7	0	0.347931015	-94.0809461	-39.7175191	-104.267949	1438.0975	1477.81502	0	0	0	0	0	3
30	7	0	0.359928636	-94.9065222	-41.5571525	-104.267949	1438.0975	1479.65465	0	0	0	0	0	3
31	8	0	0.371926258	-93.9916158	-43.2485868	-104.267949	1438.0975	1481.34609	0	0	0	0	0	3
32	8	0	0.383923879	-94.565526	-44.8522412	-104.267949	1438.0975	1482.94974	0	0	0	0	0	3
33	8	0	0.3959215	-93.7509189	-46.3340193	-104.267949	1438.0975	1484.43152	0	0	0	0	0	3
34	8	0	0.407919121	-94.257547	-47.7435348	-104.267949	1438.0975	1485.84103	0	0	0	0	0	3
35	8	0	0.419916742	-93.3460825	-49.0464647	-104.267949	1438.0975	1487.14396	0	0	0	0	0	3
36	9	0	0.431914364	-92.9787979	-50.2668073	-104.267949	1438.0975	1488.36431	0	0	0	0	0	3
37	9	0	0.443911985	-92.0177303	-51.3952107	-104.267949	1438.0975	1489.49271	0	0	0	0	0	3
38	9	0	0.455909606	-91.8111251	-52.4587873	-104.267949	1438.0975	1490.55629	0	0	0	0	0	3
39	9	0	0.467907227	-91.8446311	-53.4686808	-104.267949	1438.0975	1491.56618	0	0	0	0	0	3
40	10	0	0.479904848	-92.4647492	-54.4435825	-104.267949	1438.0975	1492.54108	0	0	0	0	0	3
41	10	0	0.49190247	-92.2858761	-55.3665653	-104.267949	1438.0975	1493.46406	0	0	0	0	0	3
42	10	0	0.503900091	-92.4255126	-56.2489211	-104.267949	1438.0975	1494.34642	0	0	0	0	0	3
43	10	0	0.515897712	-92.1355998	-92.6830426	-104.267949	-61.2691662	42.9987828	0	0	0	0	0	3
44	10	0	0.527895333	-91.8942684	-93.0454817	-104.267949	-61.2691662	42.9987828	0	0	0	0	0	3
45	11	0	0.539892955	-91.6092213	-92.7440834	-103.515068	-61.2691662	42.2459014	0	0	0	0	0	3
46	11	0	0.551890576	-91.8576127	-93.1922212	-103.515068	-61.2691662	42.2459014	0	0	0	0	0	3
47	11	0	0.563888197	-91.5074934	-93.9121813	-103.515068	-74.7018363	28.8132313	0	0	0	0	0	3
48	11	0	0.575885818	-91.7732017	-94.3186424	-103.515068	-81.8265949	21.6884727	0	0	0	0	0	3
49	12	0	0.587883439	-91.7347515	-94.5545509	-103.515068	-86.3610533	17.1540143	0	0	0	0	0	3
50	12	0	0.599881061	-91.1711321	-94.6690766	-103.515068	-91.1711321	12.3439355	0	0	0	0	0	3
51	12	0	0.611878682	-91.4108539	-94.5707681	-103.515068	-91.1711321	12.3439355	0	0	0	0	0	3
52	12	0	0.623876303	-90.9659229	-94.3638605	-103.515068	-90.9659229	12.5491448	0	0	0	0	0	3
53	13	0	0.635873924	-91.7675562	-94.304009	-103.515068	-90.9659229	12.5491448	0	0	0	0	0	3
