Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119976212	3121.8777	3121.8777	3121.8777	3121.8777	0	0	0	0	0	0	3
2	2	0	0.0239952424	394.066238	1757.97197	394.066238	3121.8777	1363.90573	0	0	0	0	0	3
3	2	0	0.0359928636	187.598777	1234.51424	187.598777	3121.8777	1887.36346	0	0	0	0	0	3
4	2	0	0.0479904848	119.278538	955.705314	119.278538	3121.8777	2166.17239	0	0	0	0	0	3
5	2	0	0.0599881061	124.447345	789.45372	119.278538	3121.8777	2332.42398	0	0	0	0	0	3
6	2	0	0.0719857273	121.460142	678.121457	119.278538	3121.8777	2443.75625	0	0	0	0	0	3
7	3	0	0.0839833485	127.436756	599.452214	119.278538	3121.8777	2522.42549	0	0	0	0	0	3
8	3	0	0.0959809697	124.676703	540.105275	119.278538	3121.8777	2581.77243	0	0	0	0	0	3
9	3	0	0.107978591	130.766157	494.623151	119.278538	3121.8777	2627.25455	0	0	0	0	0	3
10	3	0	0.119976212	129.51603	458.112439	119.278538	3121.8777	2663.76526	0	0	0	0	0	3
11	3	0	0.131973833	123.785246	427.719058	119.278538	3121.8777	2694.15864	0	0	0	0	0	3
12	4	0	0.143971455	126.629309	402.628245	119.278538	3121.8777	2719.24946	0	0	0	0	0	3
13	4	0	0.155969076	122.252032	381.060844	119.278538	3121.8777	2740.81686	0	0	0	0	0	3
14	4	0	0.167966697	126.211948	362.857352	119.278538	3121.8777	2759.02035	0	0	0	0	0	3
15	4	0	0.179964318	119.999234	346.66681	119.278538	3121.8777	2775.21089	0	0	0	0	0	3
16	4	0	0.191961939	122.897382	332.681221	119.278538	3121.8777	2789.19648	0	0	0	0	0	3
17	5	0	0.203959561	119.751684	320.155954	119.278538	3121.8777	2801.72175	0	0	0	0	0	3
18	5	0	0.215957182	119.504157	309.008632	119.278538	3121.8777	2812.86907	0	0	0	0	0	3
19	5	0	0.227954803	116.235004	298.862652	116.235004	3121.8777	2823.01505	0	0	0	0	0	3
20	5	0	0.239952424	117.230604	289.781049	116.235004	3121.8777	2832.09665	0	0	0	0	0	3
21	5	0	0.251950045	115.25669	281.470366	115.25669	3121.8777	2840.40734	0	0	0	0	0	3
22	6	0	0.263947667	115.221533	273.9136	115.221533	3121.8777	2847.9641	0	0	0	0	0	3
23	6	0	0.275945288	114.846887	266.997656	114.846887	3121.8777	2854.88005	0	0	0	0	0	3
24	6	0	0.287942909	114.219154	260.631885	114.219154	3121.8777	2861.24582	0	0	0	0	0	3
25	6	0	0.29994053	114.405514	254.782831	114.219154	3121.8777	2867.09487	0	0	0	0	0	3
26	6	0	0.311938152	113.582164	249.352036	113.582164	3121.8777	2872.52567	0	0	0	0	0	3
27	7	0	0.323935773	112.642352	244.288714	112.642352	3121.8777	2877.58899	0	0	0	0	0	3
28	7	0	0.335933394	112.574392	239.584631	112.574392	3121.8777	2882.29307	0	0	0	0	0	3
29	7	0	0.347931015	111.635297	235.172585	111.635297	3121.8777	2886.70512	0	0	0	0	0	3
30	7	0	0.359928636	111.914131	231.06397	111.635297	3121.8777	2890.81373	0	0	0	0	0	3
31	8	0	0.371926258	110.908181	227.187977	110.908181	3121.8777	2894.68973	0	0	0	0	0	3
32	8	0	0.383923879	111.112081	223.560605	110.908181	3121.8777	2898.3171	0	0	0	0	0	3
33	8	0	0.3959215	110.416126	220.131984	110.416126	3121.8777	2901.74572	0	0	0	0	0	3
34	8	0	0.407919121	110.565336	216.909436	110.416126	3121.8777	2904.96827	0	0	0	0	0	3
35	8	0	0.419916742	109.866347	213.851062	109.866347	3121.8777	2908.02664	0	0	0	0	0	3
36	9	0	0.431914364	109.311101	210.947174	109.311101	3121.8777	2910.93053	0	0	0	0	0	3
37	9	0	0.443911985	108.483834	208.177895	108.483834	3121.8777	2913.69981	0	0	0	0	0	3
38	9	0	0.455909606	108.04067	205.542705	108.04067	3121.8777	2916.335	0	0	0	0	0	3
39	9	0	0.467907227	108.040583	203.04265	108.040583	3121.8777	2918.83505	0	0	0	0	0	3
40	10	0	0.479904848	108.537173	200.680013	108.040583	3121.8777	2921.19769	0	0	0	0	0	3
41	10	0	0.49190247	108.399399	198.429267	108.040583	3121.8777	2923.44844	0	0	0	0	0	3
42	10	0	0.503900091	108.526704	196.288729	108.040583	3121.8777	2925.58897	0	0	0	0	0	3
43	10	0	0.515897712	108.260184	124.535931	108.040583	394.066238	286.025655	0	0	0	0	0	3
44	10	0	0.527895333	107.951261	117.72367	107.951261	187.598777	79.6475154	0	0	0	0	0	3
45	11	0	0.539892955	107.647029	115.820057	107.647029	130.766157	23.1191282	0	0	0	0	0	3
46	11	0	0.551890576	107.691035	115.544164	107.647029	130.766157	23.1191282	0	0	0	0	0	3
47	11	0	0.563888197	107.41652	115.138668	107.41652	130.766157	23.3496374	0	0	0	0	0	3
48	11	0	0.575885818	107.514538	114.80663	107.41652	130.766157	23.3496374	0	0	0	0	0	3
49	12	0	0.587883439	107.546473	114.333052	107.41652	130.766157	23.3496374	0	0	0	0	0	3
50	12	0	0.599881061	107.004464	113.912284	107.004464	130.766157	23.7616931	0	0	0	0	0	3
51	12	0	0.611878682	107.249344	113.35236	107.004464	129.51603	22.5115657	0	0	0	0	0	3
52	12	0	0.623876303	106.765729	112.810686	106.765729	126.629309	19.8635802	0	0	0	0	0	3
53	13	0	0.635873924	107.529797	112.423652	106.765729	126.629309	19.8635802	0	0	0	0	0	3
54	13	0	0.647871545	107.894979	111.977596	106.765729	126.211948	19.4462192	0	0	0	0	0	3
55	13	0	0.659869167	108.23955	111.643966	106.765729	126.211948	19.4462192	0	0	0	0	0	3
56	13	0	0.671866788	108.215906	111.215489	106.765729	122.897382	16.1316532	0	0	0	0	0	3
57	14	0	0.683864409	108.352867	110.938194	106.765729	122.897382	16.1316532	0	0	0	0	0	3
58	14	0	0.69586203	108.108605	110.58608	106.765729	119.751684	12.9859559	0	0	0	0	0	3
59	14	0	0.707859652	107.891855	110.303704	106.765729	119.504157	12.7384289	0	0	0	0	0	3
60	14	0	0.719857273	107.419611	110.015976	106.765729	117.230604	10.4648753	0	0	0	0	0	3
61	14	0	0.731854894	107.557942	109.80938	106.765729	117.230604	10.4648753	0	0	0	0	0	3
62	15	0	0.743852515	107.122038	109.568699	106.765729	115.25669	8.49096096	0	0	0	0	0	3
63	15	0	0.755850136	107.54233	109.385024	106.765729	115.221533	8.45580424	0	0	0	0	0	3
64	15	0	0.767847758	107.008091	109.189466	106.765729	114.846887	8.08115859	0	0	0	0	0	3
65	15	0	0.779845379	107.359107	109.011186	106.765729	114.405514	7.63978522	0	0	0	0	0	3
66	16	0	0.791843	106.717336	108.832571	106.717336	114.405514	7.68817758	0	0	0	0	0	3
67	16	0	0.803840621	107.25905	108.662417	106.717336	113.582164	6.86482764	0	0	0	0	0	3
68	16	0	0.815838242	107.129741	108.508788	106.717336	112.642352	5.92501548	0	0	0	0	0	3
69	16	0	0.827835864	107.858567	108.394888	106.717336	112.574392	5.8570554	0	0	0	0	0	3
70	17	0	0.839833485	107.712803	108.279136	106.717336	111.914131	5.19679457	0	0	0	0	0	3
71	17	0	0.851831106	108.177887	108.196817	106.717336	111.914131	5.19679457	0	0	0	0	0	3
72	17	0	0.863828727	107.727408	108.097133	106.717336	111.112081	4.39474495	0	0	0	0	0	3
73	17	0	0.875826348	108.045501	108.028974	106.717336	111.112081	4.39474495	0	0	0	0	0	3
74	18	0	0.88782397	107.530638	107.943701	106.717336	110.565336	3.84799976	0	0	0	0	0	3
75	18	0	0.899821591	107.921181	107.884298	106.717336	110.565336	3.84799976	0	0	0	0	0	3
76	18	0	0.911819212	107.596249	107.813605	106.717336	109.866347	3.14901074	0	0	0	0	0	3
