Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119976212	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0239952424	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0359928636	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0479904848	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.0599881061	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.0719857273	0	0	0	0	0	0	0	0	0	0	3
7	3	0	0.0839833485	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.0959809697	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.107978591	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.119976212	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.131973833	0	0	0	0	0	0	0	0	0	0	3
12	4	0	0.143971455	0	0	0	0	0	0	0	0	0	0	3
13	4	0	0.155969076	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.167966697	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.179964318	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.191961939	0	0	0	0	0	0	0	0	0	0	3
17	5	0	0.203959561	0	0	0	0	0	0	0	0	0	0	3
18	5	0	0.215957182	0	0	0	0	0	0	0	0	0	0	3
19	5	0	0.227954803	0	0	0	0	0	0	0	0	0	0	3
20	5	0	0.239952424	0	0	0	0	0	0	0	0	0	0	3
21	5	0	0.251950045	0	0	0	0	0	0	0	0	0	0	3
22	6	0	0.263947667	0	0	0	0	0	0	0	0	0	0	3
23	6	0	0.275945288	0	0	0	0	0	0	0	0	0	0	3
24	6	0	0.287942909	0	0	0	0	0	0	0	0	0	0	3
25	6	0	0.29994053	0	0	0	0	0	0	0	0	0	0	3
26	6	0	0.311938152	0	0	0	0	0	0	0	0	0	0	3
27	7	0	0.323935773	0	0	0	0	0	0	0	0	0	0	3
28	7	0	0.335933394	0	0	0	0	0	0	0	0	0	0	3
29	7	0	0.347931015	0	0	0	0	0	0	0	0	0	0	3
30	7	0	0.359928636	0	0	0	0	0	0	0	0	0	0	3
31	8	0	0.371926258	0	0	0	0	0	0	0	0	0	0	3
32	8	0	0.383923879	0	0	0	0	0	0	0	0	0	0	3
33	8	0	0.3959215	0	0	0	0	0	0	0	0	0	0	3
34	8	0	0.407919121	0	0	0	0	0	0	0	0	0	0	3
35	8	0	0.419916742	0	0	0	0	0	0	0	0	0	0	3
36	9	0	0.431914364	0	0	0	0	0	0	0	0	0	0	3
37	9	0	0.443911985	0	0	0	0	0	0	0	0	0	0	3
38	9	0	0.455909606	0	0	0	0	0	0	0	0	0	0	3
39	9	0	0.467907227	0	0	0	0	0	0	0	0	0	0	3
40	10	0	0.479904848	0	0	0	0	0	0	0	0	0	0	3
41	10	0	0.49190247	0	0	0	0	0	0	0	0	0	0	3
42	10	0	0.503900091	0	0	0	0	0	0	0	0	0	0	3
43	10	0	0.515897712	0	0	0	0	0	0	0	0	0	0	3
44	10	0	0.527895333	0	0	0	0	0	0	0	0	0	0	3
45	11	0	0.539892955	0	0	0	0	0	0	0	0	0	0	3
46	11	0	0.551890576	0	0	0	0	0	0	0	0	0	0	3
47	11	0	0.563888197	0	0	0	0	0	0	0	0	0	0	3
48	11	0	0.575885818	0	0	0	0	0	0	0	0	0	0	3
49	12	0	0.587883439	0	0	0	0	0	0	0	0	0	0	3
50	12	0	0.599881061	0	0	0	0	0	0	0	0	0	0	3
51	12	0	0.611878682	0	0	0	0	0	0	0	0	0	0	3
52	12	0	0.623876303	0	0	0	0	0	0	0	0	0	0	3
53	13	0	0.635873924	0	0	0	0	0	0	0	0	0	0	3
54	13	0	0.647871545	0	0	0	0	0	0	0	0	0	0	3
55	13	0	0.659869167	0	0	0	0	0	0	0	0	0	0	3
56	13	0	0.671866788	0	0	0	0	0	0	0	0	0	0	3
57	14	0	0.683864409	0	0	0	0	0	0	0	0	0	0	3
58	14	0	0.69586203	0	0	0	0	0	0	0	0	0	0	3
59	14	0	0.707859652	0	0	0	0	0	0	0	0	0	0	3
60	14	0	0.719857273	0	0	0	0	0	0	0	0	0	0	3
61	14	0	0.731854894	0	0	0	0	0	0	0	0	0	0	3
62	15	0	0.743852515	0	0	0	0	0	0	0	0	0	0	3
63	15	0	0.755850136	0	0	0	0	0	0	0	0	0	0	3
64	15	0	0.767847758	0	0	0	0	0	0	0	0	0	0	3
65	15	0	0.779845379	0	0	0	0	0	0	0	0	0	0	3
66	16	0	0.791843	0	0	0	0	0	0	0	0	0	0	3
67	16	0	0.803840621	0	0	0	0	0	0	0	0	0	0	3
68	16	0	0.815838242	0	0	0	0	0	0	0	0	0	0	3
