Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.011905887	28.1027374	28.1027374	28.1027374	28.1027374	0	0	0	0	0	0	3
2	5	0	0.0238117739	18.3570146	23.229876	18.3570146	28.1027374	4.87286142	0	0	0	0	0	3
3	6	0	0.0357176609	12.6422225	19.7006582	12.6422225	28.1027374	8.40207924	0	0	0	0	0	3
4	7	0	0.0476235478	-1.00984517	14.5230323	-1.00984517	28.1027374	13.5797051	0	0	0	0	0	3
5	8	0	0.0595294348	2.86848288	12.1921224	-1.00984517	28.1027374	15.910615	0	0	0	0	0	3
6	9	0	0.0714353217	2.18527583	10.5243147	-1.00984517	28.1027374	17.5784227	0	0	0	0	0	3
7	10	0	0.0833412087	6.13928954	9.8978825	-1.00984517	28.1027374	18.2048549	0	0	0	0	0	3
8	10	0	0.0952470956	6.79335865	9.50981702	-1.00984517	28.1027374	18.5929204	0	0	0	0	0	3
9	11	0	0.107152983	7.68087727	9.30660149	-1.00984517	28.1027374	18.7961359	0	0	0	0	0	3
10	12	0	0.11905887	6.89057209	9.06499855	-1.00984517	28.1027374	19.0377388	0	0	0	0	0	3
11	13	0	0.130964756	7.81818541	8.9516519	-1.00984517	28.1027374	19.1510855	0	0	0	0	0	3
12	14	0	0.142870643	7.81556614	8.85697809	-1.00984517	28.1027374	19.2457593	0	0	0	0	0	3
13	15	0	0.15477653	7.16479805	8.7268104	-1.00984517	28.1027374	19.375927	0	0	0	0	0	3
14	16	0	0.166682417	7.49510762	8.63883163	-1.00984517	28.1027374	19.4639058	0	0	0	0	0	3
15	16	0	0.178588304	8.16078739	8.60696201	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
16	17	0	0.190494191	9.68361734	8.67425297	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
17	18	0	0.202400078	8.26259908	8.65003803	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
18	19	0	0.214305965	9.49477888	8.69696808	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
19	20	0	0.226211852	8.17886851	8.66969968	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
20	20	0	0.238117739	8.70516396	8.6714729	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
21	21	0	0.250023626	8.83721353	8.67936531	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
22	22	0	0.261929513	9.76105927	8.72853321	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
23	23	0	0.2738354	9.52847948	8.76331349	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
24	24	0	0.285741287	9.52285098	8.79496088	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
25	24	0	0.297647174	9.59861288	8.82710696	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
26	25	0	0.309553061	10.3113858	8.88419461	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
27	26	0	0.321458948	10.1870318	8.93244784	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
28	27	0	0.333364835	9.99389147	8.97035654	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
29	28	0	0.345270722	9.94644373	9.00401472	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
30	29	0	0.357176609	9.94433512	9.03535873	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
31	29	0	0.369082495	10.5145244	9.08307375	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
32	30	0	0.380988382	10.0573522	9.11351995	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
33	31	0	0.392894269	10.4867048	9.15513162	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
34	32	0	0.404800156	10.3794793	9.19114184	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
35	33	0	0.416706043	10.55277	9.2300455	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
36	34	0	0.42861193	10.3634299	9.2615284	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
37	34	0	0.440517817	10.3464158	9.29084969	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
38	35	0	0.452423704	10.1266083	9.31284333	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
39	36	0	0.464329591	10.4970045	9.34320644	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
40	37	0	0.476235478	10.2868562	9.36679769	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
41	38	0	0.488141365	10.2494763	9.38832643	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
42	39	0	0.500047252	10.5609143	9.41624519	-1.00984517	28.1027374	19.4957754	0	0	0	0	0	3
43	40	0	0.511953139	10.6730772	9.00125328	-1.00984517	18.3570146	14.622914	0	0	0	0	0	3
44	41	0	0.523859026	10.6161943	8.81694804	-1.00984517	12.6422225	11.0936961	0	0	0	0	0	3
45	42	0	0.535764913	10.4057633	8.76369901	-1.00984517	10.6730772	5.91607031	0	0	0	0	0	3
46	42	0	0.5476708	10.3861734	9.03503279	2.18527583	10.6730772	3.58516042	0	0	0	0	0	3
47	43	0	0.559576687	10.0322986	9.20559983	2.18527583	10.6730772	1.91735266	0	0	0	0	0	3
48	44	0	0.571482574	9.98048146	9.39119996	6.13928954	10.6730772	1.29092049	0	0	0	0	0	3
49	45	0	0.583388461	10.0588471	9.48452276	6.79335865	10.6730772	0.902855012	0	0	0	0	0	3
50	46	0	0.595294348	10.1783365	9.56511747	6.89057209	10.6730772	0.958155459	0	0	0	0	0	3
51	47	0	0.607200234	10.3423145	9.62848502	6.89057209	10.6730772	1.02152301	0	0	0	0	0	3
52	48	0	0.619106121	10.4639468	9.71356537	7.16479805	10.6730772	1.10660336	0	0	0	0	0	3
53	49	0	0.631012008	10.4013575	9.77506947	7.16479805	10.6730772	1.16810746	0	0	0	0	0	3
54	50	0	0.642917895	10.6996199	9.84373742	7.16479805	10.6996199	1.23677541	0	0	0	0	0	3
55	50	0	0.654823782	10.4907718	9.92292727	7.49510762	10.6996199	1.31596526	0	0	0	0	0	3
56	51	0	0.666729669	10.8358187	10.002468	8.16078739	10.8358187	1.395506	0	0	0	0	0	3
57	52	0	0.678635556	10.5972999	10.0604802	8.17886851	10.8358187	1.41044218	0	0	0	0	0	3
58	53	0	0.690541443	10.8619243	10.0885351	8.17886851	10.8619243	1.4384971	0	0	0	0	0	3
59	54	0	0.70244733	10.6473802	10.1453156	8.17886851	10.8619243	1.47561596	0	0	0	0	0	3
60	55	0	0.714353217	10.5981008	10.1715852	8.17886851	10.8619243	1.50188553	0	0	0	0	0	3
61	56	0	0.726259104	10.458104	10.2258527	8.70516396	10.8619243	1.55437983	0	0	0	0	0	3
62	57	0	0.738164991	10.1371113	10.2599467	8.83721353	10.8619243	1.5805814	0	0	0	0	0	3
63	58	0	0.750070878	10.3303736	10.2954981	9.52285098	10.8619243	1.33907336	0	0	0	0	0	3
64	58	0	0.761976765	10.3156305	10.3087022	9.52285098	10.8619243	1.33907336	0	0	0	0	0	3
65	59	0	0.773882652	10.6028637	10.3342828	9.52285098	10.8619243	1.33907336	0	0	0	0	0	3
66	60	0	0.785788539	10.7305183	10.3630368	9.59861288	10.8619243	1.26331146	0	0	0	0	0	3
67	61	0	0.797694426	10.7225545	10.3897973	9.94433512	10.8619243	0.917589219	0	0	0	0	0	3
68	62	0	0.809600313	10.7175173	10.3994671	9.94433512	10.8619243	0.917589219	0	0	0	0	0	3
69	63	0	0.8215062	10.6405247	10.4102645	9.94433512	10.8619243	0.917589219	0	0	0	0	0	3
70	64	0	0.833412087	10.8731109	10.4311983	9.94433512	10.8731109	0.928775729	0	0	0	0	0	3
71	65	0	0.845317973	11.0422744	10.4572895	9.94433512	11.0422744	1.09793925	0	0	0	0	0	3
72	66	0	0.85722386	11.0008243	10.482444	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
73	67	0	0.869129747	10.8010557	10.4892662	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
74	67	0	0.881035634	10.5179464	10.5002327	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
75	68	0	0.892941521	10.390137	10.4979335	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
76	69	0	0.904847408	10.3094071	10.4962651	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
77	70	0	0.916753295	10.2495854	10.4890464	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
78	71	0	0.928659182	10.3488449	10.4886992	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
79	72	0	0.940565069	10.4692175	10.491623	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
80	73	0	0.952470956	10.5588703	10.501915	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
81	74	0	0.964376843	10.7569113	10.5081032	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
82	74	0	0.97628273	10.823719	10.5208857	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
83	75	0	0.988188617	10.850513	10.5351961	9.98048146	11.0422744	1.06179292	0	0	0	0	0	3
84	76	0	1.0000945	10.9412098	10.5442507	9.98048146	11.0422744	1.06179292	0.40956203	0	38.5	0	0	3
85	77	0	1.01200039	11.1097843	10.5546485	9.98048146	11.1097843	1.1293028	0.40956203	0	36.2	0	0	3
86	78	0	1.02390628	11.1095779	10.5663958	9.98048146	11.1097843	1.1293028	0.40956203	0	36.2	0	0	3
87	79	0	1.03581216	10.7732591	10.5751457	9.98048146	11.1097843	1.1293028	0.40956203	0	36.2	0	0	3
88	80	0	1.04771805	10.592293	10.5800533	9.98048146	11.1097843	1.1293028	0.40956203	0	36.2	0	0	3
89	81	0	1.05962394	10.3409655	10.5874025	9.98048146	11.1097843	1.1293028	0.40956203	0	36.2	0	0	3
90	82	0	1.07152983	10.2189632	10.5930806	10.0588471	11.1097843	1.0509372	0.40956203	0	38.9	0	0	3
91	83	0	1.08343571	10.4863858	10.6032601	10.1371113	11.1097843	0.972672916	0.40956203	0	42.1	0	0	3
92	84	0	1.0953416	10.5435913	10.6119566	10.1371113	11.1097843	0.972672916	0.40956203	0	42.1	0	0	3
93	85	0	1.10724749	10.6608189	10.6195401	10.1371113	11.1097843	0.905974716	0.40956203	0	45.2	0	0	3
94	85	0	1.11915337	10.6041547	10.6228784	10.1371113	11.1097843	0.847808902	0.40956203	0	48.3	0	0	3
95	86	0	1.13105926	10.6700066	10.6292748	10.1371113	11.1097843	0.785537361	0.40956203	0	52.1	0	0	3
96	87	0	1.14296515	10.6921011	10.6290958	10.1371113	11.1097843	0.706347509	0.40956203	0	57.9	0	0	3
97	88	0	1.15487103	10.7233283	10.6346328	10.1371113	11.1097843	0.632164811	0.40956203	0	64.7	0	0	3
98	89	0	1.16677692	10.6864982	10.6310776	10.1371113	11.1097843	0.574152609	0.40956203	0	71.3	0	0	3
99	90	0	1.17868281	10.7154311	10.6338902	10.1371113	11.1097843	0.546097681	0.40956203	0	74.9	0	0	3
100	91	0	1.1905887	10.4417222	10.6238854	10.1371113	11.1097843	0.489317178	0.40956203	0	83.7	0	0	3
101	92	0	1.20249458	10.435212	10.6188338	10.1371113	11.1097843	0.463047608	0.40956203	0	88.4	0	0	3
102	93	0	1.21440047	10.1702469	10.6086468	10.1371113	11.1097843	0.408780097	0.40956203	0	100	0	0	3
