Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.011905887	608.364337	608.364337	608.364337	608.364337	0	0	0	0	0	0	3
2	5	0	0.0238117739	98.8066576	353.585497	98.8066576	608.364337	254.77884	0	0	0	0	0	3
3	6	0	0.0357176609	46.9392146	251.37007	46.9392146	608.364337	356.994267	0	0	0	0	0	3
4	7	0	0.0476235478	23.1493027	194.314878	23.1493027	608.364337	414.049459	0	0	0	0	0	3
5	8	0	0.0595294348	25.5158025	160.555063	23.1493027	608.364337	447.809274	0	0	0	0	0	3
6	9	0	0.0714353217	19.5712682	137.057764	19.5712682	608.364337	471.306573	0	0	0	0	0	3
7	10	0	0.0833412087	25.2452029	121.084541	19.5712682	608.364337	487.279796	0	0	0	0	0	3
8	10	0	0.0952470956	19.7801234	108.421489	19.5712682	608.364337	499.942848	0	0	0	0	0	3
9	11	0	0.107152983	22.581684	98.8837326	19.5712682	608.364337	509.480605	0	0	0	0	0	3
10	12	0	0.11905887	17.1270441	90.7080637	17.1270441	608.364337	517.656273	0	0	0	0	0	3
11	13	0	0.130964756	16.8796942	83.9963937	16.8796942	608.364337	524.367943	0	0	0	0	0	3
12	14	0	0.142870643	14.5546652	78.209583	14.5546652	608.364337	530.154754	0	0	0	0	0	3
13	15	0	0.15477653	15.853883	73.4129907	14.5546652	608.364337	534.951346	0	0	0	0	0	3
14	16	0	0.166682417	14.4728496	69.2029806	14.4728496	608.364337	539.161356	0	0	0	0	0	3
15	16	0	0.178588304	15.7704048	65.6408089	14.4728496	608.364337	542.723528	0	0	0	0	0	3
16	17	0	0.190494191	14.4068889	62.4386889	14.4068889	608.364337	545.925648	0	0	0	0	0	3
17	18	0	0.202400078	14.180019	59.5999436	14.180019	608.364337	548.764393	0	0	0	0	0	3
18	19	0	0.214305965	12.9630805	57.0090068	12.9630805	608.364337	551.35533	0	0	0	0	0	3
19	20	0	0.226211852	12.3478432	54.6584192	12.3478432	608.364337	553.705918	0	0	0	0	0	3
20	20	0	0.238117739	12.8603176	52.5685142	12.3478432	608.364337	555.795823	0	0	0	0	0	3
21	21	0	0.250023626	11.9133404	50.6325535	11.9133404	608.364337	557.731784	0	0	0	0	0	3
22	22	0	0.261929513	11.3471996	48.8468556	11.3471996	608.364337	559.517481	0	0	0	0	0	3
23	23	0	0.2738354	10.2314033	47.1679229	10.2314033	608.364337	561.196414	0	0	0	0	0	3
24	24	0	0.285741287	9.48456409	45.5977829	9.48456409	608.364337	562.766554	0	0	0	0	0	3
25	24	0	0.297647174	8.2932928	44.1056033	8.2932928	608.364337	564.258734	0	0	0	0	0	3
26	25	0	0.309553061	8.8358429	42.7490741	8.2932928	608.364337	565.615263	0	0	0	0	0	3
27	26	0	0.321458948	8.49733723	41.4804912	8.2932928	608.364337	566.883846	0	0	0	0	0	3
28	27	0	0.333364835	8.45931331	40.3011635	8.2932928	608.364337	568.063174	0	0	0	0	0	3
29	28	0	0.345270722	8.24829002	39.195892	8.24829002	608.364337	569.168445	0	0	0	0	0	3
30	29	0	0.357176609	7.59565972	38.1425509	7.59565972	608.364337	570.221786	0	0	0	0	0	3
31	29	0	0.369082495	7.8300561	37.1647285	7.59565972	608.364337	571.199609	0	0	0	0	0	3
32	30	0	0.380988382	7.07201567	36.2243312	7.07201567	608.364337	572.140006	0	0	0	0	0	3
33	31	0	0.392894269	6.80959909	35.3329757	6.80959909	608.364337	573.031361	0	0	0	0	0	3
34	32	0	0.404800156	6.25289667	34.4776792	6.25289667	608.364337	573.886658	0	0	0	0	0	3
