Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.011905887	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.0238117739	0	0	0	0	0	0	0	0	0	0	3
3	6	0	0.0357176609	0	0	0	0	0	0	0	0	0	0	3
4	7	0	0.0476235478	0	0	0	0	0	0	0	0	0	0	3
5	8	0	0.0595294348	0	0	0	0	0	0	0	0	0	0	3
6	9	0	0.0714353217	0	0	0	0	0	0	0	0	0	0	3
7	10	0	0.0833412087	0	0	0	0	0	0	0	0	0	0	3
8	10	0	0.0952470956	0	0	0	0	0	0	0	0	0	0	3
9	11	0	0.107152983	0	0	0	0	0	0	0	0	0	0	3
10	12	0	0.11905887	0	0	0	0	0	0	0	0	0	0	3
11	13	0	0.130964756	0	0	0	0	0	0	0	0	0	0	3
12	14	0	0.142870643	0	0	0	0	0	0	0	0	0	0	3
13	15	0	0.15477653	0	0	0	0	0	0	0	0	0	0	3
14	16	0	0.166682417	0	0	0	0	0	0	0	0	0	0	3
15	16	0	0.178588304	0	0	0	0	0	0	0	0	0	0	3
16	17	0	0.190494191	0	0	0	0	0	0	0	0	0	0	3
17	18	0	0.202400078	0	0	0	0	0	0	0	0	0	0	3
18	19	0	0.214305965	0	0	0	0	0	0	0	0	0	0	3
19	20	0	0.226211852	0	0	0	0	0	0	0	0	0	0	3
20	20	0	0.238117739	0	0	0	0	0	0	0	0	0	0	3
21	21	0	0.250023626	0	0	0	0	0	0	0	0	0	0	3
22	22	0	0.261929513	0	0	0	0	0	0	0	0	0	0	3
23	23	0	0.2738354	0	0	0	0	0	0	0	0	0	0	3
24	24	0	0.285741287	0	0	0	0	0	0	0	0	0	0	3
25	24	0	0.297647174	0	0	0	0	0	0	0	0	0	0	3
26	25	0	0.309553061	0	0	0	0	0	0	0	0	0	0	3
27	26	0	0.321458948	0	0	0	0	0	0	0	0	0	0	3
28	27	0	0.333364835	0	0	0	0	0	0	0	0	0	0	3
29	28	0	0.345270722	0	0	0	0	0	0	0	0	0	0	3
30	29	0	0.357176609	0	0	0	0	0	0	0	0	0	0	3
31	29	0	0.369082495	0	0	0	0	0	0	0	0	0	0	3
32	30	0	0.380988382	0	0	0	0	0	0	0	0	0	0	3
33	31	0	0.392894269	0	0	0	0	0	0	0	0	0	0	3
34	32	0	0.404800156	0	0	0	0	0	0	0	0	0	0	3
35	33	0	0.416706043	0	0	0	0	0	0	0	0	0	0	3
36	34	0	0.42861193	0	0	0	0	0	0	0	0	0	0	3
37	34	0	0.440517817	0	0	0	0	0	0	0	0	0	0	3
38	35	0	0.452423704	0	0	0	0	0	0	0	0	0	0	3
39	36	0	0.464329591	0	0	0	0	0	0	0	0	0	0	3
40	37	0	0.476235478	0	0	0	0	0	0	0	0	0	0	3
41	38	0	0.488141365	0	0	0	0	0	0	0	0	0	0	3
42	39	0	0.500047252	0	0	0	0	0	0	0	0	0	0	3
43	40	0	0.511953139	0	0	0	0	0	0	0	0	0	0	3
44	41	0	0.523859026	0	0	0	0	0	0	0	0	0	0	3
45	42	0	0.535764913	0	0	0	0	0	0	0	0	0	0	3
46	42	0	0.5476708	0	0	0	0	0	0	0	0	0	0	3
47	43	0	0.559576687	0	0	0	0	0	0	0	0	0	0	3
48	44	0	0.571482574	0	0	0	0	0	0	0	0	0	0	3
49	45	0	0.583388461	0	0	0	0	0	0	0	0	0	0	3
50	46	0	0.595294348	0	0	0	0	0	0	0	0	0	0	3
51	47	0	0.607200234	0	0	0	0	0	0	0	0	0	0	3
52	48	0	0.619106121	0	0	0	0	0	0	0	0	0	0	3
53	49	0	0.631012008	0	0	0	0	0	0	0	0	0	0	3
54	50	0	0.642917895	0	0	0	0	0	0	0	0	0	0	3
55	50	0	0.654823782	0	0	0	0	0	0	0	0	0	0	3
56	51	0	0.666729669	0	0	0	0	0	0	0	0	0	0	3
57	52	0	0.678635556	0	0	0	0	0	0	0	0	0	0	3
58	53	0	0.690541443	0	0	0	0	0	0	0	0	0	0	3
59	54	0	0.70244733	0	0	0	0	0	0	0	0	0	0	3
60	55	0	0.714353217	0	0	0	0	0	0	0	0	0	0	3
61	56	0	0.726259104	0	0	0	0	0	0	0	0	0	0	3
62	57	0	0.738164991	0	0	0	0	0	0	0	0	0	0	3
63	58	0	0.750070878	0	0	0	0	0	0	0	0	0	0	3
64	58	0	0.761976765	0	0	0	0	0	0	0	0	0	0	3
65	59	0	0.773882652	0	0	0	0	0	0	0	0	0	0	3
66	60	0	0.785788539	0	0	0	0	0	0	0	0	0	0	3
67	61	0	0.797694426	0	0	0	0	0	0	0	0	0	0	3
68	62	0	0.809600313	0	0	0	0	0	0	0	0	0	0	3
69	63	0	0.8215062	0	0	0	0	0	0	0	0	0	0	3
70	64	0	0.833412087	0	0	0	0	0	0	0	0	0	0	3
71	65	0	0.845317973	0	0	0	0	0	0	0	0	0	0	3
72	66	0	0.85722386	0	0	0	0	0	0	0	0	0	0	3
73	67	0	0.869129747	0	0	0	0	0	0	0	0	0	0	3
74	67	0	0.881035634	0	0	0	0	0	0	0	0	0	0	3
75	68	0	0.892941521	0	0	0	0	0	0	0	0	0	0	3
76	69	0	0.904847408	0	0	0	0	0	0	0	0	0	0	3
77	70	0	0.916753295	0	0	0	0	0	0	0	0	0	0	3
78	71	0	0.928659182	0	0	0	0	0	0	0	0	0	0	3
79	72	0	0.940565069	0	0	0	0	0	0	0	0	0	0	3
80	73	0	0.952470956	0	0	0	0	0	0	0	0	0	0	3
81	74	0	0.964376843	0	0	0	0	0	0	0	0	0	0	3
82	74	0	0.97628273	0	0	0	0	0	0	0	0	0	0	3
83	75	0	0.988188617	0	0	0	0	0	0	0	0	0	0	3
84	76	0	1.0000945	0	0	0	0	0	5e-06	0	0	0	0	3
85	77	0	1.01200039	0	0	0	0	0	5e-06	0	0	0	0	3
86	78	0	1.02390628	0	0	0	0	0	5e-06	0	0	0	0	3
87	79	0	1.03581216	0	0	0	0	0	5e-06	0	0	0	0	3
88	80	0	1.04771805	0	0	0	0	0	5e-06	0	0	0	0	3
89	81	0	1.05962394	0	0	0	0	0	5e-06	0	0	0	0	3
90	82	0	1.07152983	0	0	0	0	0	5e-06	0	0	0	0	3
91	83	0	1.08343571	0	0	0	0	0	5e-06	0	0	0	0	3
92	84	0	1.0953416	0	0	0	0	0	5e-06	0	0	0	0	3
93	85	0	1.10724749	0	0	0	0	0	5e-06	0	0	0	0	3
94	85	0	1.11915337	0	0	0	0	0	5e-06	0	0	0	0	3
95	86	0	1.13105926	0	0	0	0	0	5e-06	0	0	0	0	3
