Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0120110776	293.199979	293.199979	293.199979	293.199979	0	0	0	0	0	0	3
2	5	0	0.0240221552	293.199964	293.199971	293.199964	293.199979	7.46907438e-06	0	0	0	0	0	3
3	6	0	0.0360332329	293.199963	293.199968	293.199963	293.199979	1.03419129e-05	0	0	0	0	0	3
4	7	0	0.0480443105	293.199958	293.199966	293.199958	293.199979	1.29835084e-05	0	0	0	0	0	3
5	8	0	0.0600553881	293.199954	293.199963	293.199954	293.199979	1.54191192e-05	0	0	0	0	0	3
6	8	0	0.0720664657	293.199946	293.19996	293.199946	293.199979	1.83868432e-05	0	0	0	0	0	3
7	9	0	0.0840775433	293.199936	293.199957	293.199936	293.199979	2.18054255e-05	0	0	0	0	0	3
8	10	0	0.0960886209	293.199927	293.199953	293.199927	293.199979	2.55459817e-05	0	0	0	0	0	3
9	11	0	0.108099699	293.199919	293.199949	293.199919	293.199979	2.93846887e-05	0	0	0	0	0	3
10	12	0	0.120110776	293.19991	293.199946	293.19991	293.199979	3.32807785e-05	0	0	0	0	0	3
11	12	0	0.132121854	293.199901	293.199941	293.199901	293.199979	3.73597412e-05	0	0	0	0	0	3
12	13	0	0.144132931	293.199891	293.199937	293.199891	293.199979	4.15255477e-05	0	0	0	0	0	3
13	14	0	0.156144009	293.199883	293.199933	293.199883	293.199979	4.56881953e-05	0	0	0	0	0	3
14	14	0	0.168155087	293.199876	293.199929	293.199876	293.199979	4.97966201e-05	0	0	0	0	0	3
15	15	0	0.180166164	293.199869	293.199925	293.199869	293.199979	5.38194842e-05	0	0	0	0	0	3
16	16	0	0.192177242	293.199859	293.199921	293.199859	293.199979	5.79388915e-05	0	0	0	0	0	3
17	17	0	0.204188319	293.199851	293.199917	293.199851	293.199979	6.2049964e-05	0	0	0	0	0	3
18	17	0	0.216199397	293.199842	293.199913	293.199842	293.199979	6.61774782e-05	0	0	0	0	0	3
19	18	0	0.228210475	293.199834	293.199908	293.199834	293.199979	7.03084172e-05	0	0	0	0	0	3
20	19	0	0.240221552	293.199825	293.199904	293.199825	293.199979	7.44587615e-05	0	0	0	0	0	3
21	20	0	0.25223263	293.199812	293.1999	293.199812	293.199979	7.88516677e-05	0	0	0	0	0	3
22	21	0	0.264243708	293.199798	293.199895	293.199798	293.199979	8.35042275e-05	0	0	0	0	0	3
23	21	0	0.276254785	293.199781	293.19989	293.199781	293.199979	8.84674298e-05	0	0	0	0	0	3
24	22	0	0.288265863	293.199763	293.199885	293.199763	293.199979	9.37814309e-05	0	0	0	0	0	3
25	23	0	0.30027694	293.199743	293.199879	293.199743	293.199979	9.94794075e-05	0	0	0	0	0	3
26	24	0	0.312288018	293.199709	293.199873	293.199709	293.199979	0.000106017636	0	0	0	0	0	3
27	24	0	0.324299096	293.199673	293.199865	293.199673	293.199979	0.000113407105	0	0	0	0	0	3
28	25	0	0.336310173	293.199635	293.199857	293.199635	293.199979	0.000121637516	0	0	0	0	0	3
29	26	0	0.348321251	293.199595	293.199848	293.199595	293.199979	0.000130676324	0	0	0	0	0	3
30	27	0	0.360332329	293.199554	293.199838	293.199554	293.199979	0.000140467082	0	0	0	0	0	3
31	27	0	0.372343406	293.199496	293.199827	293.199496	293.199979	0.000151509655	0	0	0	0	0	3
32	28	0	0.384354484	293.199443	293.199815	293.199443	293.199979	0.000163504285	0	0	0	0	0	3
33	29	0	0.396365561	293.199399	293.199803	293.199399	293.199979	0.000176118163	0	0	0	0	0	3
34	30	0	0.408376639	293.199364	293.19979	293.199364	293.199979	0.000189018651	0	0	0	0	0	3
35	30	0	0.420387717	293.199339	293.199777	293.199339	293.199979	0.000201897539	0	0	0	0	0	3
36	31	0	0.432398794	293.199319	293.199764	293.199319	293.199979	0.000214612525	0	0	0	0	0	3
37	32	0	0.444409872	293.199311	293.199752	293.199311	293.199979	0.000226858631	0	0	0	0	0	3
38	33	0	0.456420949	293.19931	293.19974	293.19931	293.199979	0.00023847876	0	0	0	0	0	3
39	34	0	0.468432027	293.199313	293.199729	293.19931	293.199979	0.000249428808	0	0	0	0	0	3
40	34	0	0.480443105	293.199318	293.199719	293.19931	293.199979	0.000259725346	0	0	0	0	0	3
41	35	0	0.492454182	293.199322	293.199709	293.19931	293.199979	0.000269404567	0	0	0	0	0	3
42	36	0	0.50446526	293.199325	293.1997	293.19931	293.199979	0.000278553659	0	0	0	0	0	3
43	37	0	0.516476338	293.199327	293.199685	293.19931	293.199964	0.000286612083	0	0	0	0	0	3
44	38	0	0.528487415	293.199327	293.19967	293.19931	293.199963	0.00029889571	0	0	0	0	0	3
45	39	0	0.540498493	293.199327	293.199654	293.19931	293.199958	0.000311391343	0	0	0	0	0	3
46	39	0	0.55250957	293.199327	293.199639	293.19931	293.199954	0.000323987852	0	0	0	0	0	3
47	40	0	0.564520648	293.199326	293.199624	293.19931	293.199946	0.00033595646	0	0	0	0	0	3
48	41	0	0.576531726	293.199326	293.19961	293.19931	293.199936	0.000347295307	0	0	0	0	0	3
49	42	0	0.588542803	293.199326	293.199595	293.19931	293.199927	0.000358099187	0	0	0	0	0	3
50	43	0	0.600553881	293.199325	293.199581	293.19931	293.199919	0.000368591583	0	0	0	0	0	3
51	44	0	0.612564958	293.199325	293.199567	293.19931	293.19991	0.000378837499	0	0	0	0	0	3
