Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0120110221	1058.21391	1058.21391	1058.21391	1058.21391	0	0	0	0	0	0	3
2	7	0	0.0240220442	-121.774268	468.21982	-121.774268	1058.21391	589.994088	0	0	0	0	0	3
3	7	0	0.0360330664	-46.8397706	296.53329	-121.774268	1058.21391	761.680619	0	0	0	0	0	3
4	8	0	0.0480440885	-45.0520284	211.13696	-121.774268	1058.21391	847.076948	0	0	0	0	0	3
5	9	0	0.0600551106	-47.2794924	159.45367	-121.774268	1058.21391	898.760239	0	0	0	0	0	3
6	10	0	0.0720661327	-72.3256575	120.823782	-121.774268	1058.21391	937.390127	0	0	0	0	0	3
7	11	0	0.0840771548	-78.6913898	92.3216146	-121.774268	1058.21391	965.892294	0	0	0	0	0	3
8	12	0	0.0960881769	-89.1336085	69.6397117	-121.774268	1058.21391	988.574197	0	0	0	0	0	3
9	13	0	0.108099199	-89.5759597	51.9490815	-121.774268	1058.21391	1006.26483	0	0	0	0	0	3
10	14	0	0.120110221	-94.1265527	37.3415181	-121.774268	1058.21391	1020.87239	0	0	0	0	0	3
11	14	0	0.132121243	-101.623085	24.7083724	-121.774268	1058.21391	1033.50554	0	0	0	0	0	3
12	16	0	0.144132265	-96.4959822	14.6080095	-121.774268	1058.21391	1043.6059	0	0	0	0	0	3
13	16	0	0.156143288	-98.4992971	5.90744745	-121.774268	1058.21391	1052.30646	0	0	0	0	0	3
14	17	0	0.16815431	-99.58279	-1.62756951	-121.774268	1058.21391	1059.84148	0	0	0	0	0	3
15	18	0	0.180165332	-95.8041956	-7.90601125	-121.774268	1058.21391	1066.11992	0	0	0	0	0	3
16	19	0	0.192176354	-100.389121	-13.6862056	-121.774268	1058.21391	1071.90011	0	0	0	0	0	3
17	20	0	0.204187376	-93.4359697	-18.3773682	-121.774268	1058.21391	1076.59128	0	0	0	0	0	3
18	21	0	0.216198398	-96.3148341	-22.7072274	-121.774268	1058.21391	1080.92114	0	0	0	0	0	3
19	21	0	0.22820942	-92.7460125	-26.3934792	-121.774268	1058.21391	1084.60739	0	0	0	0	0	3
20	22	0	0.240220442	-95.8890404	-29.8682573	-121.774268	1058.21391	1088.08217	0	0	0	0	0	3
21	23	0	0.252231464	-94.4577477	-32.9439473	-121.774268	1058.21391	1091.15786	0	0	0	0	0	3
22	24	0	0.264242487	-94.0130888	-35.7198174	-121.774268	1058.21391	1093.93373	0	0	0	0	0	3
23	25	0	0.276253509	-94.0519804	-38.2559984	-121.774268	1058.21391	1096.46991	0	0	0	0	0	3
24	26	0	0.288264531	-93.8171754	-40.5710474	-121.774268	1058.21391	1098.78496	0	0	0	0	0	3
25	27	0	0.300275553	-93.8466854	-42.7020729	-121.774268	1058.21391	1100.91598	0	0	0	0	0	3
26	28	0	0.312286575	-92.83942	-44.6304325	-121.774268	1058.21391	1102.84434	0	0	0	0	0	3
27	29	0	0.324297597	-92.8081359	-46.4147918	-121.774268	1058.21391	1104.6287	0	0	0	0	0	3
28	30	0	0.336308619	-91.9665728	-48.0416412	-121.774268	1058.21391	1106.25555	0	0	0	0	0	3
