Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0120110221	230.596097	230.596097	230.596097	230.596097	0	0	0	0	0	0	3
2	7	0	0.0240220442	-26.3875276	102.104285	-26.3875276	230.596097	128.491812	0	0	0	0	0	3
3	7	0	0.0360330664	-6.32389759	65.9615573	-26.3875276	230.596097	164.63454	0	0	0	0	0	3
4	8	0	0.0480440885	-9.51569336	47.0922446	-26.3875276	230.596097	183.503852	0	0	0	0	0	3
5	9	0	0.0600551106	-7.85695259	36.1024052	-26.3875276	230.596097	194.493692	0	0	0	0	0	3
6	10	0	0.0720661327	-13.5095697	27.8337427	-26.3875276	230.596097	202.762354	0	0	0	0	0	3
7	11	0	0.0840771548	-14.3325082	21.8099926	-26.3875276	230.596097	208.786104	0	0	0	0	0	3
8	12	0	0.0960881769	-17.0100075	16.9574926	-26.3875276	230.596097	213.638604	0	0	0	0	0	3
9	13	0	0.108099199	-17.3206679	13.1488081	-26.3875276	230.596097	217.447289	0	0	0	0	0	3
10	14	0	0.120110221	-17.8263529	10.051292	-26.3875276	230.596097	220.544805	0	0	0	0	0	3
11	14	0	0.132121243	-19.9874056	7.32050128	-26.3875276	230.596097	223.275596	0	0	0	0	0	3
12	16	0	0.144132265	-18.4600269	5.17212393	-26.3875276	230.596097	225.423973	0	0	0	0	0	3
13	16	0	0.156143288	-17.5887558	3.42128703	-26.3875276	230.596097	227.17481	0	0	0	0	0	3
14	17	0	0.16815431	-19.1783403	1.80702793	-26.3875276	230.596097	228.789069	0	0	0	0	0	3
15	18	0	0.180165332	-17.3981026	0.526685898	-26.3875276	230.596097	230.069411	0	0	0	0	0	3
16	19	0	0.192176354	-17.7149203	-0.613414488	-26.3875276	230.596097	231.209511	0	0	0	0	0	3
17	20	0	0.204187376	-16.4038151	-1.54226158	-26.3875276	230.596097	232.138359	0	0	0	0	0	3
18	21	0	0.216198398	-16.8864152	-2.39471456	-26.3875276	230.596097	232.990811	0	0	0	0	0	3
19	21	0	0.22820942	-15.5286936	-3.08597662	-26.3875276	230.596097	233.682074	0	0	0	0	0	3
20	22	0	0.240220442	-16.972674	-3.78031149	-26.3875276	230.596097	234.376408	0	0	0	0	0	3
21	23	0	0.252231464	-15.6968553	-4.34776595	-26.3875276	230.596097	234.943863	0	0	0	0	0	3
22	24	0	0.264242487	-16.0457744	-4.87949361	-26.3875276	230.596097	235.475591	0	0	0	0	0	3
23	25	0	0.276253509	-15.4229623	-5.33790529	-26.3875276	230.596097	235.934002	0	0	0	0	0	3
24	26	0	0.288264531	-15.4959873	-5.76115871	-26.3875276	230.596097	236.357256	0	0	0	0	0	3
25	27	0	0.300275553	-15.9246791	-6.16769953	-26.3875276	230.596097	236.763796	0	0	0	0	0	3
26	28	0	0.312286575	-15.2846994	-6.51835337	-26.3875276	230.596097	237.11445	0	0	0	0	0	3
27	29	0	0.324297597	-15.2079072	-6.84018869	-26.3875276	230.596097	237.436286	0	0	0	0	0	3
28	30	0	0.336308619	-15.4063397	-7.14612266	-26.3875276	230.596097	237.74222	0	0	0	0	0	3
29	30	0	0.348319641	-15.9126839	-7.44841787	-26.3875276	230.596097	238.044515	0	0	0	0	0	3
30	31	0	0.360330664	-15.6731397	-7.72257527	-26.3875276	230.596097	238.318672	0	0	0	0	0	3
31	32	0	0.372341686	-15.8535802	-7.98486575	-26.3875276	230.596097	238.580963	0	0	0	0	0	3
32	33	0	0.384352708	-15.6242805	-8.22359746	-26.3875276	230.596097	238.819694	0	0	0	0	0	3
33	34	0	0.39636373	-15.4939295	-8.44391055	-26.3875276	230.596097	239.040007	0	0	0	0	0	3
34	35	0	0.408374752	-15.3060442	-8.64573801	-26.3875276	230.596097	239.241835	0	0	0	0	0	3
35	36	0	0.420385774	-15.3837667	-8.83825312	-26.3875276	230.596097	239.43435	0	0	0	0	0	3
36	37	0	0.432396796	-15.4253241	-9.02122731	-26.3875276	230.596097	239.617324	0	0	0	0	0	3
37	38	0	0.444407818	-15.519974	-9.19686912	-26.3875276	230.596097	239.792966	0	0	0	0	0	3
38	39	0	0.45641884	-15.4989789	-9.36271411	-26.3875276	230.596097	239.958811	0	0	0	0	0	3
39	40	0	0.468429863	-15.2984012	-9.51491122	-26.3875276	230.596097	240.111008	0	0	0	0	0	3
40	41	0	0.480440885	-15.3584301	-9.66099919	-26.3875276	230.596097	240.257096	0	0	0	0	0	3
41	42	0	0.492451907	-15.353708	-9.79984575	-26.3875276	230.596097	240.395943	0	0	0	0	0	3
42	43	0	0.504462929	-15.0396849	-9.92460382	-26.3875276	230.596097	240.520701	0	0	0	0	0	3
43	44	0	0.516473951	-15.0678395	-15.7737452	-26.3875276	-6.32389759	20.06363	0	0	0	0	0	3
44	45	0	0.528484973	-15.0305407	-15.5033407	-19.9874056	-6.32389759	13.663508	0	0	0	0	0	3
45	46	0	0.540495995	-14.9660126	-15.7091054	-19.9874056	-7.85695259	12.130453	0	0	0	0	0	3
46	47	0	0.552507017	-15.072465	-15.8414094	-19.9874056	-7.85695259	12.130453	0	0	0	0	0	3
47	48	0	0.56451804	-15.1040626	-16.0139597	-19.9874056	-13.5095697	6.47783592	0	0	0	0	0	3
48	48	0	0.576529062	-15.1195102	-16.0522916	-19.9874056	-14.3325082	5.65489736	0	0	0	0	0	3
49	49	0	0.588540084	-15.230836	-16.0736804	-19.9874056	-14.9660126	5.021393	0	0	0	0	0	3
50	50	0	0.600551106	-15.2010824	-16.0306107	-19.9874056	-14.9660126	5.021393	0	0	0	0	0	3
51	51	0	0.612562128	-15.3256108	-15.9831094	-19.9874056	-14.9660126	5.021393	0	0	0	0	0	3
52	52	0	0.62457315	-15.1798778	-15.920098	-19.9874056	-14.9660126	5.021393	0	0	0	0	0	3
53	53	0	0.636584172	-15.3274595	-15.8091469	-19.1783403	-14.9660126	4.21232773	0	0	0	0	0	3
54	54	0	0.648595194	-15.1468519	-15.7302618	-19.1783403	-14.9660126	4.21232773	0	0	0	0	0	3
55	55	0	0.660606216	-15.1066337	-15.6711637	-19.1783403	-14.9660126	4.21232773	0	0	0	0	0	3
56	56	0	0.672617239	-15.0495295	-15.5728587	-17.7149203	-14.9660126	2.74890768	0	0	0	0	0	3
57	57	0	0.684628261	-15.0833329	-15.5177451	-17.7149203	-14.9660126	2.74890768	0	0	0	0	0	3
58	58	0	0.696639283	-15.1071673	-15.4556557	-16.972674	-14.9660126	2.00666141	0	0	0	0	0	3
