Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0120110221	101326.407	101326.407	101326.407	101326.407	0	0	0	0	0	0	3
2	7	0	0.0240220442	101324.934	101325.67	101324.934	101326.407	0.736685987	0	0	0	0	0	3
3	7	0	0.0360330664	101325.12	101325.487	101324.934	101326.407	0.920175109	0	0	0	0	0	3
4	8	0	0.0480440885	101325.05	101325.378	101324.934	101326.407	1.02944355	0	0	0	0	0	3
5	9	0	0.0600551106	101325.061	101325.314	101324.934	101326.407	1.09276581	0	0	0	0	0	3
6	10	0	0.0720661327	101325.041	101325.269	101324.934	101326.407	1.13841117	0	0	0	0	0	3
7	11	0	0.0840771548	101325.069	101325.24	101324.934	101326.407	1.16696156	0	0	0	0	0	3
8	12	0	0.0960881769	101325.043	101325.216	101324.934	101326.407	1.19166564	0	0	0	0	0	3
9	13	0	0.108099199	101325.067	101325.199	101324.934	101326.407	1.2081862	0	0	0	0	0	3
10	14	0	0.120110221	101325.04	101325.183	101324.934	101326.407	1.22411981	0	0	0	0	0	3
11	14	0	0.132121243	101325.063	101325.172	101324.934	101326.407	1.23505432	0	0	0	0	0	3
12	16	0	0.144132265	101325.037	101325.161	101324.934	101326.407	1.24632275	0	0	0	0	0	3
13	16	0	0.156143288	101325.059	101325.153	101324.934	101326.407	1.25414991	0	0	0	0	0	3
14	17	0	0.16815431	101325.033	101325.144	101324.934	101326.407	1.26272568	0	0	0	0	0	3
15	18	0	0.180165332	101325.053	101325.138	101324.934	101326.407	1.26882805	0	0	0	0	0	3
16	19	0	0.192176354	101325.032	101325.132	101324.934	101326.407	1.27550453	0	0	0	0	0	3
17	20	0	0.204187376	101325.041	101325.126	101324.934	101326.407	1.28083319	0	0	0	0	0	3
18	21	0	0.216198398	101325.03	101325.121	101324.934	101326.407	1.28618302	0	0	0	0	0	3
