Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0108981161	9713.72994	9713.72994	9713.72994	9713.72994	0	0	0	0	0	0	3
2	5	0	0.0217962323	4843.34743	7278.53868	4843.34743	9713.72994	2435.19125	0	0	0	0	0	3
3	5	0	0.0326943484	3280.73705	5945.93814	3280.73705	9713.72994	3767.7918	0	0	0	0	0	3
4	6	0	0.0435924646	2032.50224	4967.57916	2032.50224	9713.72994	4746.15077	0	0	0	0	0	3
5	6	0	0.0544905807	1430.95528	4260.25439	1430.95528	9713.72994	5453.47555	0	0	0	0	0	3
6	7	0	0.0653886968	1077.06469	3729.72277	1077.06469	9713.72994	5984.00716	0	0	0	0	0	3
7	8	0	0.076286813	901.550706	3325.69819	901.550706	9713.72994	6388.03175	0	0	0	0	0	3
8	8	0	0.0871849291	728.617673	3001.06313	728.617673	9713.72994	6712.66681	0	0	0	0	0	3
9	9	0	0.0980830452	651.162476	2739.96305	651.162476	9713.72994	6973.76688	0	0	0	0	0	3
10	10	0	0.108981161	576.85871	2523.65262	576.85871	9713.72994	7190.07732	0	0	0	0	0	3
11	10	0	0.119879278	555.507072	2344.7303	555.507072	9713.72994	7368.99964	0	0	0	0	0	3
12	11	0	0.130777394	540.609452	2194.38689	540.609452	9713.72994	7519.34304	0	0	0	0	0	3
13	12	0	0.14167551	526.952801	2066.12273	526.952801	9713.72994	7647.6072	0	0	0	0	0	3
14	12	0	0.152573626	507.447698	1954.7888	507.447698	9713.72994	7758.94113	0	0	0	0	0	3
15	13	0	0.163471742	484.418397	1856.76411	484.418397	9713.72994	7856.96583	0	0	0	0	0	3
16	13	0	0.174369858	461.988654	1769.59064	461.988654	9713.72994	7944.13929	0	0	0	0	0	3
17	14	0	0.185267974	430.463016	1690.81843	430.463016	9713.72994	8022.91151	0	0	0	0	0	3
