Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0108981161	-811.442138	-811.442138	-811.442138	-811.442138	0	0	0	0	0	0	3
2	5	0	0.0217962323	-664.273291	-737.857715	-811.442138	-664.273291	73.5844234	0	0	0	0	0	3
3	5	0	0.0326943484	-450.235167	-641.983532	-811.442138	-450.235167	169.458606	0	0	0	0	0	3
4	6	0	0.0435924646	-383.310096	-577.315173	-811.442138	-383.310096	234.126965	0	0	0	0	0	3
5	6	0	0.0544905807	-244.575402	-510.767219	-811.442138	-244.575402	300.674919	0	0	0	0	0	3
6	7	0	0.0653886968	-314.051005	-477.981183	-811.442138	-244.575402	333.460955	0	0	0	0	0	3
7	8	0	0.076286813	-225.78774	-441.953549	-811.442138	-225.78774	369.488589	0	0	0	0	0	3
8	8	0	0.0871849291	-282.374988	-422.006229	-811.442138	-225.78774	389.43591	0	0	0	0	0	3
9	9	0	0.0980830452	-230.798369	-400.760911	-811.442138	-225.78774	410.681227	0	0	0	0	0	3
10	10	0	0.108981161	-283.610484	-389.045868	-811.442138	-225.78774	422.39627	0	0	0	0	0	3
11	10	0	0.119879278	-241.45965	-375.628939	-811.442138	-225.78774	435.813199	0	0	0	0	0	3
12	11	0	0.130777394	-269.209962	-366.760691	-811.442138	-225.78774	444.681447	0	0	0	0	0	3
13	12	0	0.14167551	-250.420656	-357.811458	-811.442138	-225.78774	453.63068	0	0	0	0	0	3
14	12	0	0.152573626	-267.838443	-351.384814	-811.442138	-225.78774	460.057324	0	0	0	0	0	3
15	13	0	0.163471742	-242.592069	-344.131964	-811.442138	-225.78774	467.310174	0	0	0	0	0	3
16	13	0	0.174369858	-244.791388	-337.923178	-811.442138	-225.78774	473.51896	0	0	0	0	0	3
17	14	0	0.185267974	-229.942998	-331.571403	-811.442138	-225.78774	479.870735	0	0	0	0	0	3
18	15	0	0.19616609	-221.813324	-325.473732	-811.442138	-221.813324	485.968406	0	0	0	0	0	3
19	16	0	0.207064207	-211.539905	-319.477215	-811.442138	-211.539905	491.964924	0	0	0	0	0	3
20	16	0	0.217962323	-205.19077	-313.762892	-811.442138	-205.19077	497.679246	0	0	0	0	0	3
21	17	0	0.228860439	-192.354344	-307.981533	-811.442138	-192.354344	503.460605	0	0	0	0	0	3
22	18	0	0.239758555	-179.559533	-302.144169	-811.442138	-179.559533	509.297969	0	0	0	0	0	3
23	19	0	0.250656671	-162.876609	-296.089058	-811.442138	-162.876609	515.35308	0	0	0	0	0	3
24	19	0	0.261554787	-146.884189	-289.872188	-811.442138	-146.884189	521.56995	0	0	0	0	0	3
25	20	0	0.272452903	-129.816577	-283.469964	-811.442138	-129.816577	527.972174	0	0	0	0	0	3
26	21	0	0.28335102	-116.266981	-277.03908	-811.442138	-116.266981	534.403058	0	0	0	0	0	3
27	21	0	0.294249136	-99.2099229	-270.452815	-811.442138	-99.2099229	540.989323	0	0	0	0	0	3
28	22	0	0.305147252	-84.019136	-263.794469	-811.442138	-84.019136	547.647669	0	0	0	0	0	3
29	23	0	0.316045368	-68.3565308	-257.05523	-811.442138	-68.3565308	554.386908	0	0	0	0	0	3
30	24	0	0.326943484	-54.5551408	-250.305227	-811.442138	-54.5551408	561.136911	0	0	0	0	0	3
31	24	0	0.3378416	-42.4226199	-243.599337	-811.442138	-42.4226199	567.842802	0	0	0	0	0	3
32	25	0	0.348739716	-30.2119072	-236.930979	-811.442138	-30.2119072	574.511159	0	0	0	0	0	3
33	26	0	0.359637833	-19.3413713	-230.337355	-811.442138	-19.3413713	581.104783	0	0	0	0	0	3
34	26	0	0.370535949	-11.1238118	-223.889898	-811.442138	-11.1238118	587.55224	0	0	0	0	0	3
35	27	0	0.381434065	-4.34799137	-217.617272	-811.442138	-4.34799137	593.824866	0	0	0	0	0	3
36	28	0	0.392332181	-0.454200967	-211.584964	-811.442138	-0.454200967	599.857174	0	0	0	0	0	3
37	28	0	0.403230297	3.6356212	-205.768192	-811.442138	3.6356212	605.673946	0	0	0	0	0	3
38	29	0	0.414128413	6.8957006	-200.171773	-811.442138	6.8957006	611.270365	0	0	0	0	0	3
39	30	0	0.425026529	10.0984024	-194.780231	-811.442138	10.0984024	616.661908	0	0	0	0	0	3
40	30	0	0.435924646	12.456538	-189.599311	-811.442138	12.456538	621.842827	0	0	0	0	0	3
41	31	0	0.446822762	13.9352777	-184.635053	-811.442138	13.9352777	626.807085	0	0	0	0	0	3
42	32	0	0.457720878	15.2976173	-179.874751	-811.442138	15.2976173	631.567387	0	0	0	0	0	3
43	33	0	0.468618994	16.3108229	-175.312296	-811.442138	16.3108229	636.129842	0	0	0	0	0	3
44	33	0	0.47951711	17.3840832	-170.932833	-811.442138	17.3840832	640.509305	0	0	0	0	0	3
45	34	0	0.490415226	18.325579	-166.72709	-811.442138	18.325579	644.715048	0	0	0	0	0	3
46	35	0	0.501313342	19.2158764	-162.684852	-811.442138	19.2158764	648.757286	0	0	0	0	0	3
47	35	0	0.512211458	19.2623097	-144.62606	-664.273291	19.2623097	593.231655	0	0	0	0	0	3
48	36	0	0.523109575	18.7656532	-129.777387	-450.235167	19.2623097	469.497477	0	0	0	0	0	3
49	37	0	0.534007691	18.2787674	-119.592301	-383.310096	19.2623097	402.572405	0	0	0	0	0	3
50	38	0	0.544905807	17.6527937	-110.875717	-314.051005	19.2623097	333.313315	0	0	0	0	0	3
51	38	0	0.555803923	17.3335654	-105.182044	-314.051005	19.2623097	333.313315	0	0	0	0	0	3
52	39	0	0.566702039	17.1890975	-97.9811719	-283.610484	19.2623097	302.872794	0	0	0	0	0	3
53	40	0	0.577600155	16.7292518	-92.7090634	-283.610484	19.2623097	302.872794	0	0	0	0	0	3
54	41	0	0.588498271	16.2570101	-86.2170634	-283.610484	19.2623097	302.872794	0	0	0	0	0	3
55	41	0	0.599396388	15.7906457	-80.8564327	-283.610484	19.2623097	302.872794	0	0	0	0	0	3
56	42	0	0.610294504	15.1604686	-74.361412	-269.209962	19.2623097	288.472272	0	0	0	0	0	3
57	43	0	0.62119262	14.635357	-68.7941292	-269.209962	19.2623097	288.472272	0	0	0	0	0	3
58	43	0	0.632090736	14.0498278	-62.6363077	-267.838443	19.2623097	287.100753	0	0	0	0	0	3
59	44	0	0.642988852	13.527865	-56.8982964	-267.838443	19.2623097	287.100753	0	0	0	0	0	3
60	45	0	0.653886968	12.8789211	-50.795745	-244.791388	19.2623097	264.053698	0	0	0	0	0	3
61	45	0	0.664785084	12.5379623	-45.2494399	-244.791388	19.2623097	264.053698	0	0	0	0	0	3
62	46	0	0.675683201	12.0475728	-39.6659843	-229.942998	19.2623097	249.205308	0	0	0	0	0	3
63	47	0	0.686581317	11.3774592	-34.4198874	-221.813324	19.2623097	241.075633	0	0	0	0	0	3
64	47	0	0.697479433	10.8559713	-29.3618592	-211.539905	19.2623097	230.802215	0	0	0	0	0	3
65	48	0	0.708377549	10.1686488	-24.5421081	-205.19077	19.2623097	224.45308	0	0	0	0	0	3
66	49	0	0.719275665	9.49769752	-19.8749675	-192.354344	19.2623097	211.616654	0	0	0	0	0	3
67	49	0	0.730173781	8.8015968	-15.5020122	-179.559533	19.2623097	198.821843	0	0	0	0	0	3
68	50	0	0.741071897	8.23150036	-11.4195985	-162.876609	19.2623097	182.138919	0	0	0	0	0	3
69	50	0	0.751970014	7.39892367	-7.71795643	-146.884189	19.2623097	166.146499	0	0	0	0	0	3
70	51	0	0.76286813	6.86006392	-4.37569006	-129.816577	19.2623097	149.078887	0	0	0	0	0	3
71	52	0	0.773766246	6.32506811	-1.41608908	-116.266981	19.2623097	135.529291	0	0	0	0	0	3
72	53	0	0.784664362	5.90147698	1.23974698	-99.2099229	19.2623097	118.472233	0	0	0	0	0	3
73	53	0	0.795562478	5.22261634	3.51001957	-84.019136	19.2623097	103.281446	0	0	0	0	0	3
74	54	0	0.806460594	4.79945931	5.4408586	-68.3565308	19.2623097	87.6188405	0	0	0	0	0	3
75	55	0	0.81735871	4.40387353	7.02260652	-54.5551408	19.2623097	73.8174505	0	0	0	0	0	3
76	55	0	0.828256826	4.33125807	8.30274563	-42.4226199	19.2623097	61.6849295	0	0	0	0	0	3
77	56	0	0.839154943	4.11978848	9.31453711	-30.2119072	19.2623097	49.4742169	0	0	0	0	0	3
78	57	0	0.850053059	3.83144524	10.05461	-19.3413713	19.2623097	38.603681	0	0	0	0	0	3
79	58	0	0.860951175	3.50562337	10.5512838	-11.1238118	19.2623097	30.3861214	0	0	0	0	0	3
80	60	0	0.871849291	3.45397703	10.8681922	-4.34799137	19.2623097	23.610301	0	0	0	0	0	3
81	61	0	0.882747407	3.46719846	11.0380877	-0.454200967	19.2623097	19.7165106	0	0	0	0	0	3
82	62	0	0.893645523	3.86189011	11.1319157	3.45397703	19.2623097	15.8083326	0	0	0	0	0	3
83	63	0	0.904543639	3.77346132	11.1349123	3.45397703	19.2623097	15.8083326	0	0	0	0	0	3
84	64	0	0.915441756	3.50333923	11.0611653	3.45397703	19.2623097	15.8083326	0	0	0	0	0	3
85	65	0	0.926339872	3.2051097	10.9113111	3.2051097	19.2623097	16.0572	0	0	0	0	0	3
86	66	0	0.937237988	3.10228394	10.7079577	3.10228394	19.2623097	16.1600257	0	0	0	0	0	3
87	66	0	0.948136104	3.02810937	10.4708454	3.02810937	19.2623097	16.2342003	0	0	0	0	0	3
88	67	0	0.95903422	3.30651618	10.2101693	3.02810937	19.2623097	16.2342003	0	0	0	0	0	3
