Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0108981161	9747.61995	9747.61995	9747.61995	9747.61995	0	0	0	0	0	0	3
2	5	0	0.0217962323	4888.70941	7318.16468	4888.70941	9747.61995	2429.45527	0	0	0	0	0	3
3	5	0	0.0326943484	3311.48746	5982.60561	3311.48746	9747.61995	3765.01435	0	0	0	0	0	3
4	6	0	0.0435924646	2068.33806	5004.03872	2068.33806	9747.61995	4743.58123	0	0	0	0	0	3
5	6	0	0.0544905807	1451.72675	4293.57633	1451.72675	9747.61995	5454.04363	0	0	0	0	0	3
6	7	0	0.0653886968	1121.91919	3764.9668	1121.91919	9747.61995	5982.65315	0	0	0	0	0	3
7	8	0	0.076286813	929.409771	3359.88723	929.409771	9747.61995	6387.73272	0	0	0	0	0	3
8	8	0	0.0871849291	781.425046	3037.57946	781.425046	9747.61995	6710.0405	0	0	0	0	0	3
9	9	0	0.0980830452	690.857685	2776.83259	690.857685	9747.61995	6970.78736	0	0	0	0	0	3
10	10	0	0.108981161	642.808012	2563.43013	642.808012	9747.61995	7184.18982	0	0	0	0	0	3
11	10	0	0.119879278	605.719172	2385.45641	605.719172	9747.61995	7362.16354	0	0	0	0	0	3
12	11	0	0.130777394	603.934706	2236.99627	603.934706	9747.61995	7510.62368	0	0	0	0	0	3
13	12	0	0.14167551	583.432809	2109.79908	583.432809	9747.61995	7637.82087	0	0	0	0	0	3
14	12	0	0.152573626	573.797342	2000.08467	573.797342	9747.61995	7747.53528	0	0	0	0	0	3
15	13	0	0.163471742	541.76923	1902.86364	541.76923	9747.61995	7844.75631	0	0	0	0	0	3
16	13	0	0.174369858	522.839361	1816.61212	522.839361	9747.61995	7931.00783	0	0	0	0	0	3
17	14	0	0.185267974	488.032096	1738.46036	488.032096	9747.61995	8009.1596	0	0	0	0	0	3
18	15	0	0.19616609	463.623707	1667.6361	463.623707	9747.61995	8079.98386	0	0	0	0	0	3
19	16	0	0.207064207	439.005745	1602.97134	439.005745	9747.61995	8144.64861	0	0	0	0	0	3
20	16	0	0.217962323	420.239148	1543.83473	420.239148	9747.61995	8203.78522	0	0	0	0	0	3
21	17	0	0.228860439	399.709048	1489.35256	399.709048	9747.61995	8258.2674	0	0	0	0	0	3
22	18	0	0.239758555	377.283653	1438.80397	377.283653	9747.61995	8308.81598	0	0	0	0	0	3
23	19	0	0.250656671	355.245195	1391.69272	355.245195	9747.61995	8355.92723	0	0	0	0	0	3
24	19	0	0.261554787	333.812296	1347.61437	333.812296	9747.61995	8400.00558	0	0	0	0	0	3
25	20	0	0.272452903	311.863046	1306.18432	311.863046	9747.61995	8441.43564	0	0	0	0	0	3
26	21	0	0.28335102	294.58634	1267.2767	294.58634	9747.61995	8480.34325	0	0	0	0	0	3
27	21	0	0.294249136	273.241182	1230.46057	273.241182	9747.61995	8517.15938	0	0	0	0	0	3
28	22	0	0.305147252	253.388287	1195.56513	253.388287	9747.61995	8552.05482	0	0	0	0	0	3
29	23	0	0.316045368	234.724652	1162.4327	234.724652	9747.61995	8585.18725	0	0	0	0	0	3
30	24	0	0.326943484	217.683782	1130.94107	217.683782	9747.61995	8616.67888	0	0	0	0	0	3
31	24	0	0.3378416	205.124789	1101.07603	205.124789	9747.61995	8646.54392	0	0	0	0	0	3
32	25	0	0.348739716	191.769065	1072.66019	191.769065	9747.61995	8674.95977	0	0	0	0	0	3
33	26	0	0.359637833	179.930016	1045.60776	179.930016	9747.61995	8702.0122	0	0	0	0	0	3
34	26	0	0.370535949	169.905322	1019.8518	169.905322	9747.61995	8727.76815	0	0	0	0	0	3
35	27	0	0.381434065	160.995739	995.313059	160.995739	9747.61995	8752.30689	0	0	0	0	0	3
36	28	0	0.392332181	154.399946	971.954361	154.399946	9747.61995	8775.66559	0	0	0	0	0	3
37	28	0	0.403230297	148.290776	949.693183	148.290776	9747.61995	8797.92677	0	0	0	0	0	3
38	29	0	0.414128413	144.484817	928.50349	144.484817	9747.61995	8819.11646	0	0	0	0	0	3
39	30	0	0.425026529	142.294984	908.344297	142.294984	9747.61995	8839.27566	0	0	0	0	0	3
40	30	0	0.435924646	141.141221	889.16422	141.141221	9747.61995	8858.45573	0	0	0	0	0	3
41	31	0	0.446822762	140.728223	870.909684	140.728223	9747.61995	8876.71027	0	0	0	0	0	3
42	32	0	0.457720878	141.123907	853.533832	140.728223	9747.61995	8894.08612	0	0	0	0	0	3
43	33	0	0.468618994	141.720079	836.980024	140.728223	9747.61995	8910.63993	0	0	0	0	0	3
44	33	0	0.47951711	142.720296	821.201393	140.728223	9747.61995	8926.41856	0	0	0	0	0	3
45	34	0	0.490415226	143.593178	806.143433	140.728223	9747.61995	8941.47652	0	0	0	0	0	3
46	35	0	0.501313342	144.828767	791.767027	140.728223	9747.61995	8955.85293	0	0	0	0	0	3
47	35	0	0.512211458	145.853498	583.032974	140.728223	4888.70941	4747.98119	0	0	0	0	0	3
48	36	0	0.523109575	146.916118	479.950511	140.728223	3311.48746	3170.75924	0	0	0	0	0	3
49	37	0	0.534007691	147.889864	411.17665	140.728223	2068.33806	1927.60983	0	0	0	0	0	3
50	38	0	0.544905807	149.162913	369.455452	140.728223	1451.72675	1310.99853	0	0	0	0	0	3
51	38	0	0.555803923	150.436052	341.166523	140.728223	1121.91919	981.190969	0	0	0	0	0	3
52	39	0	0.566702039	151.877566	320.078662	140.728223	929.409771	788.681548	0	0	0	0	0	3
53	40	0	0.577600155	153.046536	303.2012	140.728223	781.425046	640.696822	0	0	0	0	0	3
54	41	0	0.588498271	154.082409	289.563317	140.728223	690.857685	550.129462	0	0	0	0	0	3
55	41	0	0.599396388	154.633796	277.906276	140.728223	642.808012	502.079788	0	0	0	0	0	3
56	42	0	0.610294504	155.964816	267.322728	140.728223	605.719172	464.990949	0	0	0	0	0	3
57	43	0	0.62119262	156.823519	257.564127	140.728223	603.934706	463.206483	0	0	0	0	0	3
58	43	0	0.632090736	157.96322	247.869094	140.728223	583.432809	442.704586	0	0	0	0	0	3
59	44	0	0.642988852	158.591081	238.633405	140.728223	573.797342	433.069118	0	0	0	0	0	3
60	45	0	0.653886968	159.38253	229.624387	140.728223	541.76923	401.041007	0	0	0	0	0	3
61	45	0	0.664785084	159.618459	221.316762	140.728223	522.839361	382.111138	0	0	0	0	0	3
62	46	0	0.675683201	160.412234	213.437911	140.728223	488.032096	347.303873	0	0	0	0	0	3
63	47	0	0.686581317	160.959194	206.327631	140.728223	463.623707	322.895484	0	0	0	0	0	3
64	47	0	0.697479433	161.493467	199.759582	140.728223	439.005745	298.277522	0	0	0	0	0	3
65	48	0	0.708377549	161.890583	193.735339	140.728223	420.239148	279.510924	0	0	0	0	0	3
66	49	0	0.719275665	162.420637	188.130589	140.728223	399.709048	258.980825	0	0	0	0	0	3
67	49	0	0.730173781	162.594247	182.975919	140.728223	377.283653	236.555429	0	0	0	0	0	3
68	50	0	0.741071897	163.18981	178.321705	140.728223	355.245195	214.516972	0	0	0	0	0	3
69	50	0	0.751970014	163.819944	174.160287	140.728223	333.812296	193.084072	0	0	0	0	0	3
70	51	0	0.76286813	163.966459	170.467986	140.728223	311.863046	171.134823	0	0	0	0	0	3
71	52	0	0.773766246	163.982221	167.253186	140.728223	294.58634	153.858117	0	0	0	0	0	3
72	53	0	0.784664362	163.908073	164.412354	140.728223	273.241182	132.512959	0	0	0	0	0	3
73	53	0	0.795562478	163.755909	162.032239	140.728223	253.388287	112.660063	0	0	0	0	0	3
74	54	0	0.806460594	163.573767	160.07975	140.728223	234.724652	93.9964286	0	0	0	0	0	3
75	55	0	0.81735871	163.314674	158.527359	140.728223	217.683782	76.9555584	0	0	0	0	0	3
