Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0108981161	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.0217962323	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0326943484	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0435924646	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.0544905807	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0653886968	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.076286813	0	0	0	0	0	0	0	0	0	0	3
8	8	0	0.0871849291	0	0	0	0	0	0	0	0	0	0	3
9	9	0	0.0980830452	0	0	0	0	0	0	0	0	0	0	3
10	10	0	0.108981161	0	0	0	0	0	0	0	0	0	0	3
11	10	0	0.119879278	0	0	0	0	0	0	0	0	0	0	3
12	11	0	0.130777394	0	0	0	0	0	0	0	0	0	0	3
13	12	0	0.14167551	0	0	0	0	0	0	0	0	0	0	3
14	12	0	0.152573626	0	0	0	0	0	0	0	0	0	0	3
15	13	0	0.163471742	0	0	0	0	0	0	0	0	0	0	3
16	13	0	0.174369858	0	0	0	0	0	0	0	0	0	0	3
17	14	0	0.185267974	0	0	0	0	0	0	0	0	0	0	3
18	15	0	0.19616609	0	0	0	0	0	0	0	0	0	0	3
19	16	0	0.207064207	0	0	0	0	0	0	0	0	0	0	3
20	16	0	0.217962323	0	0	0	0	0	0	0	0	0	0	3
21	17	0	0.228860439	0	0	0	0	0	0	0	0	0	0	3
22	18	0	0.239758555	0	0	0	0	0	0	0	0	0	0	3
23	19	0	0.250656671	0	0	0	0	0	0	0	0	0	0	3
24	19	0	0.261554787	0	0	0	0	0	0	0	0	0	0	3
25	20	0	0.272452903	0	0	0	0	0	0	0	0	0	0	3
26	21	0	0.28335102	0	0	0	0	0	0	0	0	0	0	3
27	21	0	0.294249136	0	0	0	0	0	0	0	0	0	0	3
28	22	0	0.305147252	0	0	0	0	0	0	0	0	0	0	3
29	23	0	0.316045368	0	0	0	0	0	0	0	0	0	0	3
30	24	0	0.326943484	0	0	0	0	0	0	0	0	0	0	3
31	24	0	0.3378416	0	0	0	0	0	0	0	0	0	0	3
32	25	0	0.348739716	0	0	0	0	0	0	0	0	0	0	3
33	26	0	0.359637833	0	0	0	0	0	0	0	0	0	0	3
34	26	0	0.370535949	0	0	0	0	0	0	0	0	0	0	3
35	27	0	0.381434065	0	0	0	0	0	0	0	0	0	0	3
36	28	0	0.392332181	0	0	0	0	0	0	0	0	0	0	3
37	28	0	0.403230297	0	0	0	0	0	0	0	0	0	0	3
38	29	0	0.414128413	0	0	0	0	0	0	0	0	0	0	3
39	30	0	0.425026529	0	0	0	0	0	0	0	0	0	0	3
40	30	0	0.435924646	0	0	0	0	0	0	0	0	0	0	3
