Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0108981161	101325.406	101325.406	101325.406	101325.406	0	0	0	0	0	0	3
2	5	0	0.0217962323	101324.705	101325.056	101324.705	101325.406	0.350156733	0	0	0	0	0	3
3	5	0	0.0326943484	101324.955	101325.022	101324.705	101325.406	0.383544631	0	0	0	0	0	3
4	6	0	0.0435924646	101325.036	101325.026	101324.705	101325.406	0.383544631	0	0	0	0	0	3
5	6	0	0.0544905807	101324.915	101325.003	101324.705	101325.406	0.402251357	0	0	0	0	0	3
6	7	0	0.0653886968	101325.02	101325.006	101324.705	101325.406	0.402251357	0	0	0	0	0	3
7	8	0	0.076286813	101324.914	101324.993	101324.705	101325.406	0.412631228	0	0	0	0	0	3
8	8	0	0.0871849291	101325.025	101324.997	101324.705	101325.406	0.412631228	0	0	0	0	0	3
9	9	0	0.0980830452	101324.914	101324.988	101324.705	101325.406	0.417907206	0	0	0	0	0	3
10	10	0	0.108981161	101324.962	101324.985	101324.705	101325.406	0.420489167	0	0	0	0	0	3
11	10	0	0.119879278	101324.897	101324.977	101324.705	101325.406	0.428480204	0	0	0	0	0	3
12	11	0	0.130777394	101324.914	101324.972	101324.705	101325.406	0.433780823	0	0	0	0	0	3
13	12	0	0.14167551	101324.863	101324.964	101324.705	101325.406	0.442133427	0	0	0	0	0	3
14	12	0	0.152573626	101324.866	101324.957	101324.705	101325.406	0.449084059	0	0	0	0	0	3
15	13	0	0.163471742	101324.834	101324.948	101324.705	101325.406	0.457281532	0	0	0	0	0	3
16	13	0	0.174369858	101324.82	101324.94	101324.705	101325.406	0.465340896	0	0	0	0	0	3
17	14	0	0.185267974	101324.798	101324.932	101324.705	101325.406	0.473724558	0	0	0	0	0	3
18	15	0	0.19616609	101324.77	101324.923	101324.705	101325.406	0.482741726	0	0	0	0	0	3
19	16	0	0.207064207	101324.755	101324.914	101324.705	101325.406	0.491586163	0	0	0	0	0	3
20	16	0	0.217962323	101324.734	101324.905	101324.705	101325.406	0.500605548	0	0	0	0	0	3
21	17	0	0.228860439	101324.717	101324.896	101324.705	101325.406	0.509572621	0	0	0	0	0	3
22	18	0	0.239758555	101324.682	101324.886	101324.682	101325.406	0.51930058	0	0	0	0	0	3
23	19	0	0.250656671	101324.652	101324.876	101324.652	101325.406	0.529487144	0	0	0	0	0	3
24	19	0	0.261554787	101324.623	101324.866	101324.623	101325.406	0.54003723	0	0	0	0	0	3
25	20	0	0.272452903	101324.589	101324.855	101324.589	101325.406	0.551095192	0	0	0	0	0	3
