Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0108981161	293.200374	293.200374	293.200374	293.200374	0	0	0	0	0	0	3
2	5	0	0.0217962323	293.200539	293.200456	293.200374	293.200539	8.26383647e-05	0	0	0	0	0	3
3	5	0	0.0326943484	293.200638	293.200517	293.200374	293.200638	0.00014306727	0	0	0	0	0	3
4	6	0	0.0435924646	293.200731	293.20057	293.200374	293.200731	0.000196489911	0	0	0	0	0	3
5	6	0	0.0544905807	293.200804	293.200617	293.200374	293.200804	0.000243176716	0	0	0	0	0	3
6	7	0	0.0653886968	293.200914	293.200666	293.200374	293.200914	0.000292627659	0	0	0	0	0	3
7	8	0	0.076286813	293.201026	293.200718	293.200374	293.201026	0.000343926904	0	0	0	0	0	3
8	8	0	0.0871849291	293.201136	293.20077	293.200374	293.201136	0.000396251368	0	0	0	0	0	3
9	9	0	0.0980830452	293.201237	293.200822	293.200374	293.201237	0.000448143639	0	0	0	0	0	3
10	10	0	0.108981161	293.201332	293.200873	293.200374	293.201332	0.000499106383	0	0	0	0	0	3
11	10	0	0.119879278	293.201465	293.200927	293.200374	293.201465	0.000552908567	0	0	0	0	0	3
12	11	0	0.130777394	293.201589	293.200982	293.200374	293.201589	0.00060813772	0	0	0	0	0	3
13	12	0	0.14167551	293.201706	293.201038	293.200374	293.201706	0.00066384686	0	0	0	0	0	3
14	12	0	0.152573626	293.201819	293.201093	293.200374	293.201819	0.000719644542	0	0	0	0	0	3
15	13	0	0.163471742	293.201926	293.201149	293.200374	293.201926	0.000775159859	0	0	0	0	0	3
16	13	0	0.174369858	293.202083	293.201207	293.200374	293.202083	0.000833524505	0	0	0	0	0	3
17	14	0	0.185267974	293.202229	293.201267	293.200374	293.202229	0.000893637426	0	0	0	0	0	3
18	15	0	0.19616609	293.202369	293.201329	293.200374	293.202369	0.00095485266	0	0	0	0	0	3
19	16	0	0.207064207	293.202501	293.20139	293.200374	293.202501	0.0010165751	0	0	0	0	0	3
20	16	0	0.217962323	293.202627	293.201452	293.200374	293.202627	0.00107840418	0	0	0	0	0	3
21	17	0	0.228860439	293.202803	293.201517	293.200374	293.202803	0.00114271412	0	0	0	0	0	3
22	18	0	0.239758555	293.202962	293.201582	293.200374	293.202962	0.00120844015	0	0	0	0	0	3
23	19	0	0.250656671	293.203107	293.201649	293.200374	293.203107	0.001274735	0	0	0	0	0	3
24	19	0	0.261554787	293.203238	293.201715	293.200374	293.203238	0.00134097341	0	0	0	0	0	3
25	20	0	0.272452903	293.203357	293.20178	293.200374	293.203357	0.00140664993	0	0	0	0	0	3
26	21	0	0.28335102	293.203511	293.201847	293.200374	293.203511	0.00147319274	0	0	0	0	0	3
27	21	0	0.294249136	293.203643	293.201913	293.200374	293.203643	0.00153969939	0	0	0	0	0	3
28	22	0	0.305147252	293.203754	293.201979	293.200374	293.203754	0.00160542974	0	0	0	0	0	3
29	23	0	0.316045368	293.203848	293.202044	293.200374	293.203848	0.00166987217	0	0	0	0	0	3
30	24	0	0.326943484	293.203929	293.202107	293.200374	293.203929	0.00173271904	0	0	0	0	0	3
31	24	0	0.3378416	293.204028	293.202168	293.200374	293.204028	0.00179470298	0	0	0	0	0	3
32	25	0	0.348739716	293.204113	293.202229	293.200374	293.204113	0.00185545457	0	0	0	0	0	3
33	26	0	0.359637833	293.204182	293.202288	293.200374	293.204182	0.00191463207	0	0	0	0	0	3
34	26	0	0.370535949	293.204234	293.202346	293.200374	293.204234	0.00197184055	0	0	0	0	0	3
35	27	0	0.381434065	293.20427	293.202401	293.200374	293.20427	0.00202681407	0	0	0	0	0	3
36	28	0	0.392332181	293.204305	293.202454	293.200374	293.204305	0.00207972658	0	0	0	0	0	3
37	28	0	0.403230297	293.204341	293.202505	293.200374	293.204341	0.00213073498	0	0	0	0	0	3
38	29	0	0.414128413	293.20439	293.202554	293.200374	293.20439	0.00218034175	0	0	0	0	0	3
39	30	0	0.425026529	293.204455	293.202603	293.200374	293.204455	0.00222907062	0	0	0	0	0	3
40	30	0	0.435924646	293.204536	293.202651	293.200374	293.204536	0.00227740021	0	0	0	0	0	3
41	31	0	0.446822762	293.204657	293.2027	293.200374	293.204657	0.00232632913	0	0	0	0	0	3
