Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0108981161
2	5	0	0.0217962323
3	5	0	0.0326943484
4	6	0	0.0435924646
5	6	0	0.0544905807
6	7	0	0.0653886968
7	8	0	0.076286813
8	8	0	0.0871849291
9	9	0	0.0980830452
10	10	0	0.108981161
11	10	0	0.119879278
12	11	0	0.130777394
13	12	0	0.14167551
14	12	0	0.152573626
15	13	0	0.163471742
16	13	0	0.174369858
17	14	0	0.185267974
18	15	0	0.19616609
19	16	0	0.207064207
20	16	0	0.217962323
21	17	0	0.228860439
22	18	0	0.239758555
23	19	0	0.250656671
24	19	0	0.261554787
25	20	0	0.272452903
26	21	0	0.28335102
27	21	0	0.294249136
28	22	0	0.305147252
29	23	0	0.316045368
30	24	0	0.326943484
31	24	0	0.3378416
32	25	0	0.348739716
33	26	0	0.359637833
34	26	0	0.370535949
35	27	0	0.381434065
36	28	0	0.392332181
37	28	0	0.403230297
38	29	0	0.414128413
39	30	0	0.425026529
40	30	0	0.435924646
41	31	0	0.446822762
42	32	0	0.457720878
43	33	0	0.468618994
44	33	0	0.47951711
45	34	0	0.490415226
46	35	0	0.501313342
47	35	0	0.512211458
48	36	0	0.523109575
49	37	0	0.534007691
50	38	0	0.544905807
51	38	0	0.555803923
52	39	0	0.566702039
53	40	0	0.577600155
54	41	0	0.588498271
55	41	0	0.599396388
56	42	0	0.610294504
57	43	0	0.62119262
58	43	0	0.632090736
59	44	0	0.642988852
60	45	0	0.653886968
61	45	0	0.664785084
62	46	0	0.675683201
63	47	0	0.686581317
64	47	0	0.697479433
65	48	0	0.708377549
66	49	0	0.719275665
67	49	0	0.730173781
68	50	0	0.741071897
69	50	0	0.751970014
70	51	0	0.76286813
71	52	0	0.773766246
72	53	0	0.784664362
73	53	0	0.795562478
74	54	0	0.806460594
75	55	0	0.81735871
76	55	0	0.828256826
77	56	0	0.839154943
78	57	0	0.850053059
79	58	0	0.860951175
80	60	0	0.871849291
81	61	0	0.882747407
82	62	0	0.893645523
83	63	0	0.904543639
84	64	0	0.915441756
85	65	0	0.926339872
86	66	0	0.937237988
87	66	0	0.948136104
88	67	0	0.95903422
89	68	0	0.969932336
90	69	0	0.980830452
91	70	0	0.991728569
92	70	0	1.00262668
93	71	0	1.0135248
94	72	0	1.02442292
95	72	0	1.03532103
96	73	0	1.04621915
97	74	0	1.05711727
98	75	0	1.06801538
99	75	0	1.0789135
